Netpay,Tectonic regime,Basin name,Oil recovery factor,Gas recovery factor,Latitude,Permeability,Operator company,Longitude,Country,Region,Hydrocarbon type,Porosity,Structural setting,Reservoir status,Gross,Reservoir unit,Depth,Lithology,Condensate recovery factor,Period,Onshore/offshore,Field name,Oil density
13.8,0,115,0.353,0.633,53.263,0.4,110,-115.586,8,6,5,6,2,2,36,375,2520,9,0.353,7,1,413,825.073
45,0,75,0.38,0.83,32.766,5,178,-102.803,48,6,5,9,2,6,90,290,1680,6,0.513,21,1,232,815.562
12.9,0,78,0.44,0.817,44.039,7,4,-105.142,48,6,5,14,10,2,180,388,2700,6,0.353,7,1,109,842.764
15,0,104,0.38,0.79,26.983,100,152,49.683,37,5,5,20,2,8,36,213,2070,9,0.513,12,1,262,860.182
16.8,0,89,0.34,0.817,61.583,100,166,75.183,36,3,5,18,3,2,30,317,2518.4,11,0.513,7,1,397,829.912
7.8,0,115,0.28,0.77,50.028,9.9,110,-110.028,8,6,5,9.9,2,6,30,383,2430,11,0.27,7,1,305,820.29
60,0,115,0.4,0.83,48.1,0.4,4,-103.46,48,6,5,11,3,5,135,81,2550,6,0.27,4,1,219,810.888
36,0,75,0.397,0.65,32.388,10,110,-102.748,48,6,5,11,2,2,120,290,1332,6,0.493,21,1,202,810.888
10.5,2,63,0.29,0.707,57.017,100,34,2.833,46,1,5,20,6,2,10.5,185,2118.9,11,0.56,12,0,24,834.808
3.6,0,117,0.24,0.83,48.852,0.2,110,-101.142,48,6,5,5,3,2,30,231,2760,6,0.377,4,1,71,788.301
4.5,0,117,0.44,0.83,48.852,50,4,-101.1,48,6,5,18,3,2,12,231,982.5,6,0.513,4,1,219,839.763
8.4,0,78,0.28,0.77,44.039,13.5,110,-105.029,48,6,5,13,2,2,36,338,2595,11,0.353,7,1,137,844.776
27,0,115,0.4,0.76,52.838,0.5,110,-114.432,8,6,5,6,2,6,90,290,2430,6,0.353,9,1,70,820.29
60,0,115,0.32,0.73,52.838,8,155,51.738,36,3,5,10,2,5,69,25,2272.5,6,0.27,4,1,108,839.763
60,0,75,0.2,0.73,32.766,100,110,-102.801,48,6,5,10,2,6,105,290,1443,6,0.513,21,1,232,842.764
24.6,9,102,0.5,0.82,40.149,0.4,80,62.991,49,3,5,12,4,6,69,321,1662.6,9,0.513,7,1,437,825.073
13.8,2,64,0.47,0.75,60.587,500,166,3.094,30,1,5,21,6,5,19.8,58,2698.4,11,0.27,12,0,391,839.763
10.2,4,63,0.49,0.85,57.017,5000,34,2.562,46,1,5,28,6,2,12.3,58,1620,11,0.513,12,0,24,839.763
57,0,75,0.3,0.77,31.553,3,110,-102.531,48,6,5,10,2,5,120,118,1620,6,0.513,21,1,290,820.29
6,0,117,0.45,0.778,50.069,100,155,-112.235,8,6,5,10,3,5,75,361,900,6,0.513,7,1,241,834.808
4.5,0,75,0.3,0.823,32.768,2,110,-103.62,48,6,5,7,2,5,13.8,390,2889,9,0.377,21,1,294,792.717
30.6,0,75,0.24,0.83,31.8,3.5,128,3.73,31,0,5,16,3,2,105,19,2665.2,9,0.27,15,1,61,815.562
15,0,75,0.4,0.77,32.894,0.1,110,-103.554,48,6,5,5,2,2,30,290,2857,6,0.377,21,1,199,810.888
33,0,115,0.4,0.73,52.838,1000,174,51.578,36,3,5,32,2,2,34.5,389,1616.8,11,0.513,4,1,240,921.824
9.9,0,113,0.22,0.783,50.1,0.2,110,-111.1,8,6,5,6,2,2,24,311,2430,6,0.513,7,1,388,839.763
9.9,0,115,0.3,0.803,51.928,10,110,-114.54,8,6,5,10.2,2,2,24,64,1710,9,0.513,7,1,70,839.763
60,0,75,0.48,0.83,32.894,7,34,-103.454,48,6,5,10,2,6,105,290,1285,6,0.513,21,1,247,839.763
7.2,0,89,0.46,0.83,61.583,100,77,75.183,36,3,5,20,3,2,12.3,372,2250,11,0.513,7,1,367,825.073
30,0,115,0.32,0.749,52.838,0.2,155,51.538,36,3,5,10,2,2,120,24,2250,9,0.513,7,1,172,820.29
63,0,89,0.34,0.757,63.299,50,155,54.364,36,3,5,16,3,8,69,308,2220,11,0.513,7,1,216,852.41
45,4,36,0.48,0.84,41.615,100,160,83.883,9,2,5,16,4,6,1950,33,3426,11,0.27,16,1,399,844.776
7.8,0,3,0.44,0.913,39.766,0.1,110,-101.716,48,6,2,10,2,6,24,333,989.5,6,0.513,21,1,241,810.888
8.4,0,75,0.4,0.83,32.894,1,110,-103.554,48,6,5,9,2,6,12.9,118,825,6,0.513,21,1,396,815.562
120,4,63,0.427,0.7,56.65,100,178,2.343,46,1,5,20,7,2,138,185,4395,11,0.427,12,0,129,829.912
6,0,117,0.42,0.783,48.852,0.4,110,-101.1,48,6,5,6,3,6,30,385,1995.5,9,0.513,4,1,197,810.888
12,0,78,0.22,0.783,43.01,0.1,110,-105.279,48,6,2,6,3,6,75,388,2595,6,0.353,7,1,335,825.073
6.3,0,3,0.373,0.89,36.272,0.8,110,-100.262,48,6,2,5,2,6,45,2,1200,9,0.513,4,1,108,775.342
24.6,9,63,0.32,0.73,58.069,1000,61,0.231,46,1,5,28,6,5,31.1,242,2118.6,15,0.513,12,0,155,839.763
9.3,0,115,0.397,0.71,53.229,10,110,-115.602,8,6,2,11,2,2,12.9,123,2430,6,0.353,7,1,395,792.717
18.6,0,3,0.46,0.73,37.617,5,128,-98.917,48,6,5,13,2,6,24.6,83,990,6,0.513,4,1,206,815.562
8.1,0,89,0.46,0.77,61.583,100,77,75.183,36,3,5,23,3,5,19.5,375,2254.4,11,0.513,7,1,269,881.62
36,0,75,0.45,0.777,32.766,8,178,-102.554,48,6,5,8.5,2,2,120,290,1285,6,0.513,21,1,347,820.29
33,0,75,0.353,0.66,32.388,0.8,110,-102.554,48,6,5,8,2,5,120,290,1620,6,0.513,21,1,296,839.763
10.2,0,117,0.28,0.79,48.75,0.1,34,-100.92,48,6,2,4,2,2,180,108,2520,6,0.353,4,1,348,825.073
15,0,78,0.4,0.66,44.039,100,155,-105.028,48,6,5,15,3,6,30,232,2595,11,0.513,7,1,247,842.764
12,0,115,0.44,0.73,52.238,0.4,4,-114.471,8,6,5,5,2,6,90,8,2430,6,0.353,7,1,241,820.29
120,2,40,0.46,0.633,28.236,500,13,33.369,13,0,5,21,6,2,180,308,2129.1,11,0.513,15,0,30,815.562
24.6,0,115,0.44,0.66,51.629,6,110,-114.54,8,6,2,10,2,2,30,81,2310,9,0.447,7,1,105,806.268
36,0,89,0.45,0.783,61.583,100,169,75.183,36,3,5,19,3,2,99,348,2310,11,0.513,7,1,391,870.769
4.5,0,75,0.3,0.803,31.92,10,128,3.653,29,0,5,14,2,6,30,319,2646,9,0.27,15,1,65,839.763
3.6,0,117,0.28,0.85,48.75,100,4,-101.1,48,6,5,14,3,6,18,231,1482,9,0.513,4,1,219,854.985
9.9,2,63,0.32,0.77,57.056,450,178,2.069,46,1,5,20,6,2,13.8,58,2113.2,11,0.513,12,0,179,839.763
7.8,0,3,0.47,0.913,36.272,0.1,110,-100.578,48,6,2,9,2,6,105,118,4713,6,0.513,4,1,348,779.614
30,0,115,0.28,0.73,53.229,10,155,-115.47,8,6,5,10,2,2,195,373,2430,9,0.353,7,1,70,820.29
14.7,2,9,0.447,0.84,37.867,100,160,118.75,9,2,5,15,6,5,177,301,1423.8,11,0.513,17,1,406,892.744
7.2,0,115,0.38,0.76,53.264,0.2,110,-115.929,8,6,2,6,2,5,75,349,2565,6,0.27,9,1,410,815.562
19.8,4,63,0.44,0.77,57.056,1000,178,2.069,46,1,5,25,6,5,30,185,2250,11,0.513,12,0,186,825.073
24.6,0,3,0.3,0.707,37.417,5,110,-100.782,48,6,2,6,10,6,90,83,1414.5,6,0.513,4,1,96,779.614
8.4,0,113,0.26,0.73,51.928,20,110,-114.54,8,6,5,10.2,2,2,42.3,339,2550,9,0.353,4,1,110,820.29
6.9,0,113,0.42,0.827,52.838,7,155,51.214,36,3,5,9.4,2,6,44.4,199,2292.9,9,0.27,4,1,210,839.763
4.5,0,117,0.3,0.76,48.852,3,4,-101.029,48,6,5,10,3,5,75,231,2485.5,6,0.27,4,1,259,820.29
6,0,117,0.4,0.823,48.1,1.5,110,-102.743,48,6,5,13,3,6,30,231,1140,6,0.513,4,1,172,854.985
7.8,0,115,0.397,0.84,50.069,20,4,-111.143,8,6,2,13,9,13,21.6,385,2430,11,0.4,7,1,205,775.342
24.6,0,75,0.46,0.73,31.92,5,34,-103.716,48,6,5,6,2,6,180,118,1230,6,0.513,21,1,348,792.717
15.6,0,117,0.5,0.71,48.75,0.4,4,-100.92,48,6,5,11,3,6,30,232,993,9,0.513,4,1,258,810.888
9,0,117,0.3,0.777,49.928,1.5,110,-100.734,8,6,5,10,2,5,19.2,385,982.5,9,0.513,4,1,247,834.808
24.6,2,9,0.27,0.433,37.917,100,160,118.283,9,2,5,10.467,6,5,225,162,2782.8,11,0.27,17,1,433,887.147
6.9,0,117,0.447,0.75,48.852,1000,34,-100.292,48,6,5,30,2,2,21,84,1304.8,11,0.513,4,1,169,904.153
33.6,2,56,0.28,0.637,70.262,25,22,-148.473,48,6,5,18.333,5,6,120,361,344.4,11,0.513,7,1,308,887.147
45,0,37,0.46,0.83,42.262,0.5,4,-107.334,48,6,2,10,2,2,75,256,1650,6,0.513,7,1,219,842.764
13.8,0,115,0.46,0.79,55.114,0.2,34,-114.471,8,6,2,3,10,6,45,85,3000,2,0.377,7,1,65,777.046
