Netpay,Tectonic regime,Basin name,Oil recovery factor,Gas recovery factor,Latitude,Permeability,Operator company,Longitude,Country,Region,Hydrocarbon type,Porosity,Structural setting,Reservoir status,Gross,Reservoir unit,Depth,Lithology,Condensate recovery factor,Period,Onshore/offshore,Field name,Oil density
60,0,75,0.2,0.73,32.766,100,110,-102.801,48,6,5,10,2,6,105,290,1443,6,0.513,21,1,232,842.764
6.9,0,117,0.353,0.89,48.852,2,110,-101.334,48,6,5,10,3,5,30,95,990,6,0.513,4,1,108,829.912
12,0,78,0.22,0.783,43.01,0.1,110,-105.279,48,6,2,6,3,6,75,388,2595,6,0.353,7,1,335,825.073
9.9,2,56,0.3,0.73,70.343,100,22,-148.019,48,6,5,17,5,6,12,311,2520,11,0.27,12,1,291,854.985
16.8,0,115,0.25,0.77,53.229,30,106,-115.547,8,6,5,10,2,6,44.4,290,2550,11,0.353,9,1,388,820.29
15,0,115,0.31,0.77,53.263,5,110,-115.704,8,6,5,8.7,2,6,30,381,2845.2,9,0.353,9,1,70,810.888
6.9,0,115,0.38,0.76,53.229,10,176,-115.801,8,6,5,8.3,2,5,24,375,2430,9,0.513,7,1,183,825.073
4.5,0,89,0.397,0.82,61.583,8.9,169,75.183,36,3,5,18,3,8,21,371,2310,9,0.513,7,1,433,865.443
60,0,75,0.35,0.73,32.768,100,152,-103.37,48,6,5,10,2,6,135,290,1448.7,6,0.513,21,1,412,829.912
14.1,2,64,0.35,0.777,60.587,1000,166,2.913,30,1,5,27,6,2,15,108,1679.7,11,0.513,12,0,391,834.808
30,0,75,0.31,0.677,32.766,8.3,178,-102.801,48,6,5,10,2,5,165,290,1290,6,0.513,21,1,345,865.443
8.1,0,89,0.46,0.77,61.583,100,77,75.183,36,3,5,23,3,5,19.5,375,2254.4,11,0.513,7,1,269,881.62
13.2,0,75,0.26,0.71,32.766,0.8,128,-103.716,48,6,5,5,2,2,24,290,2769,6,0.353,21,1,294,810.888
30.6,0,115,0.44,0.757,53.229,35,155,-113.554,8,6,5,9.667,2,2,705,232,2430,9,0.353,7,1,172,820.29
27,0,75,0.48,0.827,32.767,0.1,69,-103.33,48,6,5,9,2,6,120,290,1275,6,0.513,21,1,150,825.073
24.6,0,115,0.31,0.79,53.264,20,110,-115.801,8,6,5,9,2,5,36,319,2430,9,0.513,9,1,406,820.29
7.2,0,115,0.49,0.83,50.039,235,24,-3.541,46,1,5,14,2,5,9,356,2128.1,11,0.513,12,2,319,834.808
45,9,39,0.353,0.66,29.959,2000,46,-93.833,48,6,5,27,7,2,180,181,2952,11,0.377,17,1,148,860.182
5.4,0,3,0.397,0.913,36.617,0.2,110,-100.472,48,6,2,9,2,2,36,118,7800,6,0.513,4,1,71,779.614
8.4,0,113,0.22,0.73,55.114,8,34,-114.54,8,6,5,9.667,2,2,19.5,375,2550,11,0.353,9,1,240,834.808
7.8,0,113,0.44,0.77,52.838,0.1,155,51.214,36,3,5,10,2,2,44.4,184,2529.3,9,0.27,12,1,124,829.912
16.8,2,9,0.29,0.79,38.21,30,128,117.06,9,2,5,10.833,6,2,49.2,162,3420,11,0.483,17,1,438,849.85
12.9,0,75,0.32,0.73,32.767,0.1,110,-103.7,48,6,5,6,2,6,180,290,1290,6,0.513,21,1,411,842.764
45,4,63,0.28,0.73,56.567,10,155,3.085,30,1,5,20,7,2,480,58,3306,11,0.4,12,0,392,829.912
6.9,0,89,0.29,0.77,58.1,1000,77,81.2,36,3,5,28,3,2,9.9,371,984.3,11,0.513,7,1,267,921.824
6.9,0,117,0.397,0.84,48.1,0.4,110,72.7,9,3,2,8.9,10,2,21.3,371,2466.6,11,0.513,7,1,406,844.776
9.9,0,75,0.35,0.757,32.767,3,110,-103.62,48,6,5,6,2,5,14.1,118,2550,6,0.353,21,1,391,792.574
6.3,9,115,0.327,0.61,53.464,30,110,-115.801,8,6,3,13,2,6,90,344,2550,11,0.27,7,1,172,792.574
13.8,0,89,0.29,0.827,61.583,0.4,169,75.183,36,3,5,10,3,2,44.4,371,2460,11,0.547,7,1,268,829.912
18,4,63,0.46,0.83,56.412,1000,155,2.029,46,1,5,28,6,2,24,108,2118.9,11,0.513,12,0,178,860.182
18,9,63,0.35,0.77,56.567,1000,4,3.099,47,1,5,28,7,7,24,59,2250,1,0.513,12,0,391,839.763
3.6,0,117,0.38,0.84,48.852,100,110,-101.143,48,6,5,14,3,6,29.4,231,2482.5,9,0.27,4,1,290,834.808
24.6,9,102,0.44,0.7,40.114,1000,128,62.991,49,3,5,20,4,2,69,357,1834.1,11,0.513,12,1,399,860.182
8.4,0,117,0.38,0.76,49.66,10,110,-100.92,8,6,2,14,3,2,30,372,924,9,0.513,4,1,296,815.562
8.4,0,113,0.26,0.73,51.928,20,110,-114.54,8,6,5,10.2,2,2,42.3,339,2550,9,0.353,4,1,110,820.29
60,0,75,0.28,0.84,32.894,0.5,110,-103.532,48,6,5,6,2,6,90,290,2520,6,0.27,21,1,412,842.764
24.6,0,113,0.353,0.42,51.928,9,110,-114.54,8,6,3,9.667,2,2,90,318,2430,11,0.353,4,1,70,829.912
45,9,102,0.26,0.77,1.296,500,120,101.23,18,2,5,32,4,6,135,318,246,11,0.513,15,1,340,865.443
12.3,2,63,0.28,0.84,56.262,225,170,2.029,46,1,5,17,6,6,21.3,382,2268,11,0.513,12,0,39,839.763
7.2,0,78,0.46,0.73,43.746,5,4,-105.786,48,6,5,12,2,6,21,232,2595,6,0.353,7,1,205,810.888
12.9,0,78,0.353,0.73,43.06,0.8,128,-105.279,48,6,2,8,9,2,180,390,2790,6,0.353,7,1,246,815.562
57,4,63,0.46,0.777,57.056,1000,34,2.069,46,1,5,25,6,2,69,274,2125.2,11,0.513,12,0,130,839.763
6,0,115,0.32,0.61,51.928,24,177,-114.54,8,6,5,9,2,6,90,361,2430,9,0.353,7,1,70,825.073
60,0,3,0.3,0.783,36.272,1,128,-100.574,48,6,5,11,2,6,90,290,630,6,0.513,4,1,150,892.744
13.8,9,115,0.5,0.66,48.271,200,110,2.844,15,1,5,23,11,5,21.3,93,2250,11,0.513,12,1,130,834.808
10.2,0,117,0.447,0.83,49.65,0.8,155,-114.027,8,6,2,4,2,2,60,279,2520,6,0.353,10,1,241,825.073
16.8,0,115,0.28,0.86,55.1,0.2,34,-116.99,8,6,2,5,2,5,30,343,2520,6,0.27,9,1,71,788.301
6,0,117,0.3,0.71,48.1,7,110,-103.47,48,6,5,10,3,5,30,232,2905,6,0.377,4,1,247,820.29
33,0,75,0.3,0.777,32.199,0.5,61,-102.252,48,6,5,6,2,6,300,290,1740,6,0.513,21,1,296,865.443
60,0,75,0.46,0.77,32.766,0.5,191,-102.531,48,6,5,8,2,5,300,290,1448.7,6,0.513,21,1,394,892.744
30,0,115,0.32,0.749,52.838,0.2,155,51.538,36,3,5,10,2,2,120,24,2250,9,0.513,7,1,172,820.29
18.6,0,3,0.46,0.73,37.617,5,128,-98.917,48,6,5,13,2,6,24.6,83,990,6,0.513,4,1,206,815.562
6,0,75,0.5,0.66,32.768,0.5,110,-102.854,48,6,5,6,2,6,30,290,1447.5,6,0.513,21,1,232,854.985
24.6,0,117,0.45,0.66,48.859,25,4,-101.142,48,6,5,14,3,5,30,7,1448.7,9,0.513,4,1,219,844.776
7.8,0,115,0.49,0.84,55.114,100,155,52.231,36,3,5,17,2,5,42.3,308,1560,11,0.513,4,1,259,839.763
45,9,40,0.447,0.61,28.236,1000,69,33.102,13,0,5,25,6,7,60,174,1314,11,0.513,7,0,25,854.985
14.7,2,64,0.4,0.73,61.29,1200,166,2.358,30,1,5,25,6,2,19.8,317,1611,11,0.513,27,0,394,839.763
36,0,75,0.25,0.8,31.578,5,34,-102.734,48,6,5,10,2,6,90,290,1140,6,0.513,21,1,168,854.985
24.6,0,113,0.22,0.77,53.399,0.4,155,-113.492,8,6,5,6,2,2,30,232,2280,9,0.513,7,1,406,839.763
60,0,75,0.35,0.75,32.766,7,178,-102.803,48,6,5,8.5,2,6,105,290,825,6,0.513,21,1,208,892.744
6.9,4,63,0.24,0.86,55.114,1000,155,5.137,15,1,5,28,6,2,12.3,25,2027.5,11,0.513,7,0,65,825.073
12.9,4,2,0.44,0.83,-21.807,1000,127,114.531,3,2,5,28,6,2,19.5,123,627,11,0.513,15,0,354,933.993
6,0,115,0.4,0.827,53.263,4,4,-115.929,8,6,5,6,2,5,30,232,2568,6,0.377,7,1,109,810.888
24.6,0,115,0.26,0.66,50.069,9,110,-111.143,8,6,3,9.4,9,2,90,319,2430,11,0.353,7,1,247,788.301
24.6,2,63,0.5,0.61,56.567,150,91,3.094,30,1,5,25,6,5,30,58,2328.6,11,0.353,12,0,155,825.073
42.6,0,104,0.38,0.76,26.533,0.4,22,49.982,37,5,5,8.2,2,2,60,26,2785.8,9,0.27,7,1,0,825.073
24.6,2,64,0.49,0.778,60.587,1000,166,3.094,30,1,5,20,6,2,30,58,2699.7,11,0.547,12,0,391,834.808
15,0,115,0.26,0.73,52.238,120,155,143.219,36,9,5,14,3,2,45,316,1596.3,11,0.513,15,1,132,881.62
6.9,0,3,0.427,0.603,35.433,10,110,-100.1,48,6,2,14,2,2,21,85,4443,13,0.513,4,1,172,775.342
60,2,63,0.29,0.64,55.1,20,155,52.833,36,3,5,13.5,4,2,87,299,2274,11,0.4,7,1,303,825.073
30,0,75,0.38,0.84,31.429,50,163,9.825,42,0,5,14,8,2,105,308,1800,11,0.513,15,1,25,839.763
27,0,104,0.417,0.66,26.983,5,121,49.617,37,5,5,10,2,5,30,213,2018.6,9,0.513,7,1,240,815.562
24.6,2,64,0.27,0.707,60.893,200,166,2.913,30,1,5,20,6,2,30,108,2175,11,0.56,12,0,339,829.912
10.5,0,117,0.38,0.77,49.9,0.6,110,-100.1,8,6,3,10,2,2,30,376,2580,11,0.27,4,1,259,775.342
27,2,64,0.44,0.71,61.204,1000,166,1.743,46,1,5,27,6,5,39,58,2148.9,11,0.513,12,0,24,829.912
