,Unnamed: 0,state_code,lat,lon,bird,lat_zone,real_identifier
72,72,5.0,40.31,-104.85,17.0,2.0,0
73,73,11.0,21.35,-158.05,15.0,1.0,0
74,74,32.0,34.85,-107.19,14.0,2.0,0
75,75,0.0,57.85,-153.21,28.0,2.0,0
76,76,49.0,37.39,-81.25,19.0,2.0,0
77,77,16.0,39.83,-101.59,26.0,2.0,0
78,78,44.0,39.85,-109.29,6.0,2.0,0
79,79,32.0,35.59,-107.93,14.0,2.0,0
80,80,11.0,20.51,-156.83,15.0,1.0,0
81,81,5.0,38.13,-105.95,17.0,2.0,0
82,82,17.0,36.85,-86.91,19.0,2.0,0
83,83,8.0,39.39,-75.49,11.0,2.0,0
84,84,11.0,19.35,-155.91,15.0,1.0,0
85,85,32.0,33.59,-104.89,14.0,2.0,0
86,86,44.0,38.45,-110.55,6.0,2.0,0
87,87,8.0,39.71,-75.43,11.0,2.0,0
88,88,5.0,38.29,-105.51,17.0,2.0,0
89,89,49.0,37.83,-80.95,19.0,2.0,0
90,90,17.0,37.41,-84.59,19.0,2.0,0
91,91,0.0,66.19,-153.85,28.0,0.0,0
92,92,44.0,40.51,-111.29,6.0,2.0,0
93,93,11.0,20.21,-155.15,15.0,1.0,0
94,94,32.0,34.49,-106.59,14.0,2.0,0
95,95,49.0,37.29,-81.51,19.0,2.0,0
96,96,8.0,39.22,-75.81,11.0,2.0,0
97,97,5.0,39.67,-103.35,17.0,2.0,0
98,98,44.0,39.18,-113.21,6.0,2.0,0
99,99,17.0,38.55,-82.99,19.0,2.0,0
100,100,0.0,69.58,-151.21,28.0,0.0,0
101,101,32.0,33.19,-107.53,14.0,2.0,0
102,102,49.0,37.46,-81.09,19.0,2.0,0
103,103,11.0,19.59,-155.67,15.0,1.0,0
104,104,8.0,39.49,-75.29,11.0,2.0,0
105,105,5.0,38.85,-106.49,17.0,2.0,0
106,106,44.0,40.82,-110.93,6.0,2.0,0
107,107,17.0,37.93,-83.85,19.0,2.0,0
108,108,0.0,67.93,-154.59,28.0,0.0,0
109,109,32.0,34.01,-105.83,14.0,2.0,0
110,110,49.0,37.67,-80.71,19.0,2.0,0
111,111,8.0,39.35,-75.59,11.0,2.0,0
112,112,5.0,39.41,-105.29,17.0,2.0,0
113,113,44.0,39.41,-113.05,6.0,2.0,0
114,114,17.0,37.59,-84.27,19.0,2.0,0
115,115,0.0,68.71,-152.51,28.0,0.0,0
116,116,32.0,33.85,-104.31,14.0,2.0,0
117,117,49.0,37.51,-81.35,19.0,2.0,0
118,118,11.0,20.04,-155.39,15.0,1.0,0
119,119,8.0,39.57,-75.41,11.0,2.0,0
120,120,5.0,38.51,-105.95,17.0,2.0,0
121,121,44.0,40.49,-111.79,6.0,2.0,0
122,122,17.0,38.29,-82.51,19.0,2.0,0
123,123,0.0,66.49,-153.29,28.0,0.0,0
124,124,32.0,40.93,-76.31,12.0,2.0,0
125,125,5.0,39.05,-103.16,17.0,2.0,0
126,126,11.0,20.43,-155.85,15.0,1.0,0
127,127,49.0,38.19,-80.94,19.0,2.0,0
128,128,44.0,37.83,-113.49,6.0,2.0,0
129,129,32.0,43.92,-74.39,12.0,2.0,0
130,130,5.0,38.45,-105.54,17.0,2.0,0
131,131,49.0,39.28,-78.21,19.0,2.0,0
132,132,11.0,19.88,-155.39,15.0,1.0,0
133,133,32.0,42.49,-73.41,12.0,2.0,0
134,134,0.0,61.39,-152.85,28.0,0.0,0
135,135,49.0,37.95,-81.27,19.0,2.0,0
136,136,5.0,40.17,-104.93,17.0,2.0,0
137,137,32.0,35.07,-106.95,14.0,2.0,0
138,138,44.0,40.85,-112.19,6.0,2.0,0
139,139,5.0,37.53,-102.49,17.0,2.0,0
140,140,32.0,33.92,-105.58,14.0,2.0,0
141,141,11.0,19.31,-155.65,15.0,1.0,0
142,142,49.0,38.57,-79.88,19.0,2.0,0
143,143,32.0,44.39,-74.99,12.0,2.0,0
144,144,0.0,66.17,-159.69,28.0,0.0,0
145,145,5.0,38.83,-103.75,17.0,2.0,0
146,146,32.0,41.16,-74.14,12.0,2.0,0
147,147,49.0,39.01,-80.59,19.0,2.0,0
148,148,44.0,37.45,-113.07,6.0,2.0,0
149,149,11.0,20.09,-155.58,15.0,1.0,0
150,150,32.0,43.19,-75.49,12.0,2.0,0
151,151,5.0,39.32,-105.03,17.0,2.0,0
152,152,49.0,38.81,-80.38,19.0,2.0,0
153,153,0.0,60.31,-141.49,28.0,0.0,0
154,154,32.0,34.85,-103.35,14.0,2.0,0
155,155,5.0,40.53,-107.05,17.0,2.0,0
156,156,49.0,37.77,-81.49,19.0,2.0,0
157,157,44.0,40.59,-112.83,6.0,2.0,0
158,158,11.0,19.59,-155.46,15.0,1.0,0
159,159,32.0,42.28,-73.59,12.0,2.0,0
160,160,5.0,38.11,-104.48,17.0,2.0,0
161,161,49.0,39.22,-78.39,19.0,2.0,0
162,162,0.0,64.29,-153.39,28.0,0.0,0
163,163,32.0,35.53,-107.23,14.0,2.0,0
164,164,44.0,40.27,-112.45,6.0,2.0,0
165,165,5.0,37.75,-102.67,17.0,2.0,0
166,166,11.0,19.92,-155.51,15.0,1.0,0
167,167,32.0,44.01,-74.53,12.0,2.0,0
168,168,49.0,38.46,-79.96,19.0,2.0,0
169,169,49.0,39.43,-79.19,19.0,2.0,0
170,170,11.0,20.31,-156.19,15.0,1.0,0
171,171,16.0,38.03,-95.98,26.0,2.0,0
172,172,17.0,37.98,-84.53,19.0,2.0,0
173,173,32.0,42.79,-74.29,12.0,2.0,0
174,174,5.0,40.29,-103.51,17.0,2.0,0
175,175,8.0,38.85,-75.59,11.0,2.0,0
176,176,0.0,66.26,-145.67,28.0,0.0,0
177,177,44.0,37.84,-112.39,6.0,2.0,0
178,178,16.0,37.57,-98.55,26.0,2.0,0
179,179,49.0,39.51,-78.29,19.0,2.0,0
180,180,11.0,19.51,-155.41,15.0,1.0,0
181,181,17.0,36.95,-85.63,19.0,2.0,0
182,182,32.0,43.33,-74.51,12.0,2.0,0
183,183,5.0,39.84,-102.29,17.0,2.0,0
184,184,16.0,37.82,-98.85,26.0,2.0,0
185,185,0.0,64.85,-147.35,28.0,0.0,0
186,186,44.0,39.09,-113.85,6.0,2.0,0
187,187,8.0,38.19,-75.85,11.0,2.0,0
188,188,17.0,37.29,-86.79,19.0,2.0,0
189,189,49.0,39.73,-79.83,19.0,2.0,0
190,190,11.0,20.58,-156.49,15.0,1.0,0
191,191,32.0,42.51,-73.99,12.0,2.0,0
192,192,5.0,40.63,-103.85,17.0,2.0,0
193,193,16.0,38.46,-95.19,26.0,2.0,0
194,194,0.0,65.93,-143.19,28.0,0.0,0
195,195,44.0,37.46,-112.95,6.0,2.0,0
196,196,8.0,38.73,-75.49,11.0,2.0,0
197,197,17.0,37.83,-87.35,19.0,2.0,0
198,198,49.0,39.29,-78.99,19.0,2.0,0
199,199,11.0,19.29,-155.67,15.0,1.0,0
200,200,32.0,43.09,-74.79,12.0,2.0,0
201,201,5.0,40.41,-102.95,17.0,2.0,0
202,202,16.0,37.95,-98.67,26.0,2.0,0
203,203,0.0,67.19,-152.85,28.0,0.0,0
204,204,44.0,39.55,-113.51,6.0,2.0,0
205,205,16.0,38.27,-95.67,26.0,2.0,0
206,206,17.0,36.73,-84.95,19.0,2.0,0
207,207,49.0,39.85,-79.47,19.0,2.0,0
208,208,11.0,20.85,-156.67,15.0,1.0,0
209,209,32.0,42.29,-74.01,12.0,2.0,0
210,210,5.0,40.85,-103.39,17.0,2.0,0
211,211,0.0,66.49,-146.29,28.0,0.0,0
212,212,32.0,43.19,-73.51,12.0,2.0,0
213,213,11.0,20.73,-156.21,15.0,1.0,0
214,214,8.0,39.29,-75.39,11.0,2.0,0
215,215,0.0,65.39,-144.91,28.0,0.0,0
216,216,49.0,38.49,-81.29,19.0,2.0,0
217,217,5.0,39.55,-105.19,17.0,2.0,0
218,218,17.0,37.45,-87.39,19.0,2.0,0
219,219,16.0,37.85,-100.51,26.0,2.0,0
220,220,32.0,41.59,-74.81,12.0,2.0,0
221,221,44.0,39.05,-113.45,6.0,2.0,0
222,222,0.0,67.31,-158.59,28.0,0.0,0
223,223,11.0,22.41,-159.79,15.0,1.0,0
224,224,8.0,38.93,-75.51,11.0,2.0,0
225,225,49.0,39.19,-80.79,19.0,2.0,0
226,226,5.0,40.31,-104.59,17.0,2.0,0
227,227,32.0,33.51,-107.81,14.0,2.0,0
228,228,16.0,38.25,-98.21,26.0,2.0,0
229,229,17.0,37.71,-83.29,19.0,2.0,0
230,230,0.0,63.87,-142.59,28.0,0.0,0
231,231,32.0,42.79,-74.39,12.0,2.0,0
232,232,11.0,20.19,-157.49,15.0,1.0,0
233,233,8.0,39.63,-75.85,11.0,2.0,0
234,234,49.0,38.75,-81.51,19.0,2.0,0
235,235,5.0,38.21,-106.39,17.0,2.0,0
236,236,32.0,34.09,-106.59,14.0,2.0,0
237,237,16.0,37.49,-99.71,26.0,2.0,0
238,238,17.0,38.13,-84.51,19.0,2.0,0
239,239,0.0,66.55,-159.31,28.0,0.0,0
240,240,32.0,41.31,-74.91,12.0,2.0,0
241,241,11.0,21.91,-158.71,15.0,1.0,0
242,242,8.0,39.41,-75.29,11.0,2.0,0
243,243,49.0,39.01,-80.91,19.0,2.0,0
244,244,5.0,40.49,-105.01,17.0,2.0,0
245,245,32.0,33.29,-108.51,14.0,2.0,0
246,246,16.0,37.91,-100.91,26.0,2.0,0
247,247,17.0,37.59,-82.91,19.0,2.0,0
248,248,32.0,43.81,-72.59,12.0,2.0,0
249,249,8.0,39.51,-75.41,11.0,2.0,0
250,250,5.0,37.59,-108.81,17.0,2.0,0
251,251,17.0,37.41,-85.31,19.0,2.0,0
252,252,16.0,37.85,-100.59,26.0,2.0,0
253,253,44.0,38.35,-112.85,6.0,2.0,0
254,254,32.0,42.98,-74.51,12.0,2.0,0
255,255,17.0,38.47,-83.85,19.0,2.0,0
256,256,0.0,67.31,-158.21,28.0,0.0,0
257,257,11.0,20.81,-156.51,15.0,1.0,0
258,258,5.0,39.59,-107.31,17.0,2.0,0
259,259,8.0,38.79,-75.29,11.0,2.0,0
260,260,49.0,39.09,-79.51,19.0,2.0,0
261,261,17.0,36.95,-85.89,19.0,2.0,0
262,262,32.0,43.19,-73.85,12.0,2.0,0
263,263,16.0,39.51,-97.81,26.0,2.0,0
264,264,5.0,38.59,-103.29,17.0,2.0,0
265,265,44.0,37.85,-113.49,6.0,2.0,0
266,266,8.0,39.29,-75.85,11.0,2.0,0
267,267,32.0,34.51,-106.41,14.0,2.0,0
268,268,17.0,36.59,-86.59,19.0,2.0,0
269,269,0.0,64.81,-164.91,28.0,0.0,0
270,270,11.0,21.51,-157.29,15.0,1.0,0
271,271,32.0,42.59,-77.29,12.0,2.0,0
272,272,8.0,38.41,-75.49,11.0,2.0,0
273,273,5.0,40.41,-108.15,17.0,2.0,0
274,274,49.0,39.49,-79.29,19.0,2.0,0
275,275,17.0,38.25,-83.49,19.0,2.0,0
276,276,32.0,33.81,-106.59,14.0,2.0,0
277,277,16.0,37.41,-99.41,26.0,2.0,0
278,278,44.0,39.09,-112.99,6.0,2.0,0
279,279,5.0,37.09,-107.81,17.0,2.0,0
280,280,8.0,38.85,-75.59,11.0,2.0,0
281,281,32.0,44.09,-73.09,12.0,2.0,0
282,282,17.0,37.81,-85.59,19.0,2.0,0
283,283,0.0,66.59,-157.81,28.0,0.0,0
284,284,11.0,20.29,-156.09,15.0,1.0,0
285,285,32.0,42.85,-74.09,12.0,2.0,0
286,286,8.0,39.59,-75.85,11.0,2.0,0
287,287,5.0,38.85,-102.85,17.0,2.0,0
288,288,49.0,39.09,-79.09,19.0,2.0,0
289,289,17.0,37.51,-86.29,19.0,2.0,0
290,290,32.0,34.29,-106.09,14.0,2.0,0
291,291,16.0,39.09,-97.59,26.0,2.0,0
292,292,44.0,37.59,-113.29,6.0,2.0,0
293,293,5.0,39.49,-106.49,17.0,2.0,0
294,294,8.0,38.49,-75.29,11.0,2.0,0
295,295,32.0,43.49,-72.29,12.0,2.0,0
296,296,17.0,37.09,-85.09,19.0,2.0,0
297,297,0.0,65.09,-164.49,28.0,0.0,0
298,298,17.0,38.47,-85.67,19.0,2.0,0
299,299,32.0,42.91,-77.33,12.0,2.0,0
300,300,49.0,38.85,-81.91,19.0,2.0,0
301,301,16.0,39.22,-101.49,26.0,2.0,0
302,302,5.0,40.49,-104.91,17.0,2.0,0
303,303,11.0,20.88,-156.45,15.0,1.0,0
304,304,44.0,41.31,-110.91,6.0,2.0,0
305,305,8.0,38.26,-75.51,11.0,2.0,0
306,306,17.0,37.85,-84.29,19.0,2.0,0
307,307,32.0,43.67,-74.91,12.0,2.0,0
308,308,49.0,39.59,-80.57,19.0,2.0,0
309,309,16.0,38.67,-100.87,26.0,2.0,0
310,310,5.0,40.19,-105.35,17.0,2.0,0
311,311,11.0,19.49,-155.29,15.0,1.0,0
312,312,0.0,65.39,-159.51,28.0,0.0,0
313,313,17.0,36.99,-83.85,19.0,2.0,0
314,314,32.0,35.59,-107.49,14.0,2.0,0
315,315,49.0,38.31,-81.59,19.0,2.0,0
316,316,16.0,39.49,-101.91,26.0,2.0,0
317,317,5.0,40.85,-105.79,17.0,2.0,0
318,318,11.0,20.31,-156.67,15.0,1.0,0
319,319,44.0,41.85,-111.49,6.0,2.0,0
320,320,8.0,38.69,-75.79,11.0,2.0,0
321,321,17.0,37.47,-84.69,19.0,2.0,0
322,322,32.0,42.39,-76.79,12.0,2.0,0
323,323,49.0,39.01,-80.91,19.0,2.0,0
324,324,16.0,38.85,-100.49,26.0,2.0,0
325,325,5.0,40.51,-104.59,17.0,2.0,0
326,326,11.0,19.67,-155.79,15.0,1.0,0
327,327,0.0,62.13,-162.79,28.0,0.0,0
328,328,17.0,37.19,-83.49,19.0,2.0,0
329,329,32.0,35.89,-107.91,14.0,2.0,0
330,330,49.0,38.59,-81.31,19.0,2.0,0
331,331,16.0,39.79,-101.19,26.0,2.0,0
332,332,5.0,40.29,-105.49,17.0,2.0,0
333,333,11.0,20.49,-156.39,15.0,1.0,0
334,334,44.0,41.59,-110.29,6.0,2.0,0
335,335,8.0,38.49,-75.29,11.0,2.0,0
336,336,17.0,37.79,-84.49,19.0,2.0,0
337,337,8.0,38.43,-74.91,11.0,2.0,0
338,338,44.0,38.29,-110.85,6.0,2.0,0
339,339,16.0,39.08,-98.69,26.0,2.0,0
340,340,32.0,33.85,-106.19,14.0,2.0,0
341,341,11.0,19.53,-155.41,15.0,1.0,0
342,342,0.0,65.19,-162.51,28.0,0.0,0
343,343,5.0,39.46,-104.91,17.0,2.0,0
344,344,49.0,38.82,-82.15,19.0,2.0,0
345,345,8.0,38.67,-75.29,11.0,2.0,0
346,346,0.0,62.91,-163.59,28.0,0.0,0
347,347,16.0,39.49,-99.46,26.0,2.0,0
348,348,5.0,40.26,-105.13,17.0,2.0,0
349,349,44.0,37.92,-111.49,6.0,2.0,0
350,350,32.0,42.51,-77.85,12.0,2.0,0
351,351,49.0,38.39,-81.49,19.0,2.0,0
352,352,8.0,39.01,-75.45,11.0,2.0,0
353,353,0.0,68.59,-149.53,28.0,0.0,0
354,354,16.0,38.65,-95.35,26.0,2.0,0
355,355,32.0,34.49,-103.29,14.0,2.0,0
356,356,5.0,37.49,-102.85,17.0,2.0,0
357,357,11.0,20.01,-155.91,15.0,1.0,0
358,358,44.0,38.05,-110.59,6.0,2.0,0
359,359,8.0,38.76,-75.11,11.0,2.0,0
360,360,0.0,66.35,-157.93,28.0,0.0,0
361,361,16.0,39.24,-98.85,26.0,2.0,0
362,362,32.0,33.11,-107.79,14.0,2.0,0
363,363,5.0,40.59,-104.73,17.0,2.0,0
364,364,49.0,38.95,-82.01,19.0,2.0,0
365,365,8.0,39.19,-75.57,11.0,2.0,0
366,366,0.0,63.19,-146.59,28.0,0.0,0
367,367,16.0,39.58,-99.25,26.0,2.0,0
368,368,32.0,34.92,-103.85,14.0,2.0,0
369,369,5.0,37.29,-102.41,17.0,2.0,0
370,370,11.0,19.79,-155.29,15.0,1.0,0
371,371,44.0,38.51,-110.93,6.0,2.0,0
372,372,8.0,38.58,-75.25,11.0,2.0,0
373,373,0.0,69.31,-149.85,28.0,0.0,0
374,0,49.0,37.85,-81.23,19.0,2.0,1
375,1,16.0,38.06,-98.88,26.0,2.0,1
376,2,32.0,34.75,-106.89,14.0,2.0,1
377,3,8.0,38.8,-75.63,11.0,2.0,1
378,4,49.0,38.18,-80.06,19.0,2.0,1
379,5,17.0,38.57,-82.91,19.0,2.0,1
380,6,49.0,38.02,-81.0,19.0,2.0,1
381,7,17.0,37.5,-84.77,19.0,2.0,1
382,8,17.0,36.89,-88.03,19.0,2.0,1
383,9,32.0,35.7,-103.1,14.0,2.0,1
384,10,8.0,38.48,-75.63,11.0,2.0,1
385,11,32.0,32.88,-103.7,14.0,2.0,1
386,12,11.0,19.62,-155.77,15.0,1.0,1
387,13,8.0,39.82,-75.61,11.0,2.0,1
388,14,0.0,69.31,-143.09,28.0,0.0,1
389,15,0.0,65.11,-164.58,28.0,0.0,1
390,16,11.0,19.55,-155.61,15.0,1.0,1
391,17,49.0,38.43,-82.22,19.0,2.0,1
392,18,32.0,41.26,-73.68,12.0,2.0,1
393,19,32.0,34.56,-108.94,14.0,2.0,1
394,20,49.0,39.68,-79.56,19.0,2.0,1
395,21,16.0,39.96,-95.88,26.0,2.0,1
396,22,11.0,19.3,-155.51,15.0,1.0,1
397,23,49.0,39.16,-79.83,19.0,2.0,1
398,24,49.0,38.24,-80.33,19.0,2.0,1
399,25,5.0,39.99,-102.59,17.0,2.0,1
400,26,32.0,42.46,-73.37,12.0,2.0,1
401,27,32.0,33.82,-108.16,14.0,2.0,1
402,28,5.0,39.23,-108.51,17.0,2.0,1
403,29,44.0,41.93,-111.28,6.0,2.0,1
404,30,49.0,38.33,-80.09,19.0,2.0,1
405,31,44.0,40.2,-109.29,6.0,2.0,1
406,32,5.0,39.1,-104.55,17.0,2.0,1
407,33,0.0,69.58,-142.82,28.0,0.0,1
408,34,32.0,41.9,-74.78,12.0,2.0,1
409,35,49.0,37.74,-81.99,19.0,2.0,1
410,36,49.0,39.17,-79.64,19.0,2.0,1
411,37,44.0,41.83,-113.04,6.0,2.0,1
412,38,8.0,38.82,-75.28,11.0,2.0,1
413,39,8.0,39.66,-75.72,11.0,2.0,1
414,40,16.0,38.78,-97.26,26.0,2.0,1
415,41,8.0,38.98,-75.49,11.0,2.0,1
416,42,17.0,37.34,-83.49,19.0,2.0,1
417,43,49.0,37.61,-80.7,19.0,2.0,1
418,44,5.0,40.25,-108.46,17.0,2.0,1
419,45,32.0,43.17,-74.61,12.0,2.0,1
420,46,49.0,37.92,-80.33,19.0,2.0,1
421,47,11.0,19.43,-154.96,15.0,1.0,1
422,48,44.0,38.02,-112.41,6.0,2.0,1
423,49,5.0,40.85,-102.97,17.0,2.0,1
424,50,16.0,39.89,-99.87,26.0,2.0,1
425,51,32.0,32.7,-107.01,14.0,2.0,1
426,52,8.0,39.07,-75.56,11.0,2.0,1
427,53,5.0,40.45,-102.38,17.0,2.0,1
428,54,32.0,35.45,-106.18,14.0,2.0,1
429,55,16.0,39.96,-99.74,26.0,2.0,1
430,56,32.0,42.72,-76.78,12.0,2.0,1
431,57,8.0,39.42,-75.69,11.0,2.0,1
432,58,0.0,68.67,-152.94,28.0,0.0,1
433,59,11.0,19.11,-155.63,15.0,1.0,1
434,60,5.0,37.68,-106.55,17.0,2.0,1
435,61,32.0,36.3,-103.72,14.0,2.0,1
436,62,8.0,39.38,-75.76,11.0,2.0,1
437,63,32.0,41.98,-74.39,12.0,2.0,1
438,64,0.0,68.93,-144.56,28.0,0.0,1
439,65,32.0,43.36,-77.98,12.0,2.0,1
440,66,11.0,19.93,-155.35,15.0,1.0,1
441,67,0.0,57.21,-156.48,28.0,2.0,1
442,68,17.0,37.1,-83.49,19.0,2.0,1
443,69,44.0,40.9,-111.47,6.0,2.0,1
444,70,44.0,40.09,-111.08,6.0,2.0,1
445,71,44.0,39.35,-113.65,6.0,2.0,1
446,72,16.0,39.09,-95.7,26.0,2.0,1
447,73,11.0,21.33,-157.91,15.0,1.0,1
448,74,44.0,38.49,-109.51,6.0,2.0,1
449,75,17.0,37.83,-83.61,19.0,2.0,1
450,76,16.0,39.44,-99.57,26.0,2.0,1
451,77,11.0,19.65,-155.44,15.0,1.0,1
452,78,32.0,42.98,-73.43,12.0,2.0,1
453,79,0.0,57.11,-132.94,28.0,2.0,1
454,80,16.0,37.05,-95.38,26.0,2.0,1
455,81,11.0,22.11,-159.46,15.0,1.0,1
456,82,32.0,32.15,-103.52,14.0,2.0,1
457,83,5.0,37.24,-105.97,17.0,2.0,1
458,84,16.0,37.47,-96.09,26.0,2.0,1
459,85,8.0,38.46,-75.33,11.0,2.0,1
460,86,5.0,40.62,-108.24,17.0,2.0,1
461,87,16.0,38.95,-96.28,26.0,2.0,1
462,88,44.0,38.98,-112.02,6.0,2.0,1
463,89,44.0,41.96,-114.02,6.0,2.0,1
464,90,16.0,39.3,-95.72,26.0,2.0,1
465,91,32.0,43.35,-73.94,12.0,2.0,1
466,92,8.0,39.28,-75.7,11.0,2.0,1
467,93,32.0,42.96,-74.27,12.0,2.0,1
468,94,44.0,37.3,-111.13,6.0,2.0,1
469,95,32.0,32.13,-104.32,14.0,2.0,1
470,96,8.0,38.92,-75.4,11.0,2.0,1
471,97,8.0,39.0,-75.5,11.0,2.0,1
472,98,11.0,22.02,-159.71,15.0,1.0,1
473,99,32.0,32.91,-106.94,14.0,2.0,1
474,100,49.0,38.42,-81.18,19.0,2.0,1
475,101,49.0,39.08,-81.55,19.0,2.0,1
476,102,32.0,32.09,-106.55,14.0,2.0,1
477,103,5.0,37.83,-102.24,17.0,2.0,1
478,104,17.0,36.71,-84.63,19.0,2.0,1
479,105,11.0,21.6,-157.99,15.0,1.0,1
480,106,44.0,39.76,-114.03,6.0,2.0,1
481,107,5.0,39.84,-105.79,17.0,2.0,1
482,108,32.0,34.72,-105.73,14.0,2.0,1
483,109,8.0,38.52,-75.55,11.0,2.0,1
484,110,32.0,42.23,-79.69,12.0,2.0,1
485,111,11.0,21.99,-159.38,15.0,1.0,1
486,112,17.0,38.33,-85.19,19.0,2.0,1
487,113,44.0,40.27,-111.91,6.0,2.0,1
488,114,11.0,19.88,-155.26,15.0,1.0,1
489,115,16.0,37.41,-94.68,26.0,2.0,1
490,116,0.0,60.15,-158.61,28.0,0.0,1
491,117,44.0,39.97,-109.46,6.0,2.0,1
492,118,32.0,33.19,-108.55,14.0,2.0,1
493,119,0.0,66.73,-150.25,28.0,0.0,1
494,120,5.0,38.3,-102.86,17.0,2.0,1
495,121,5.0,40.44,-104.6,17.0,2.0,1
496,122,11.0,19.04,-155.78,15.0,1.0,1
497,123,16.0,37.33,-99.15,26.0,2.0,1
498,124,32.0,32.34,-106.97,14.0,2.0,1
499,125,32.0,44.82,-74.36,12.0,2.0,1
500,126,44.0,40.63,-109.25,6.0,2.0,1
501,127,32.0,35.85,-107.54,14.0,2.0,1
502,128,32.0,34.99,-108.19,14.0,2.0,1
503,129,49.0,37.82,-81.92,19.0,2.0,1
504,130,17.0,37.69,-87.14,19.0,2.0,1
505,131,17.0,36.77,-86.99,19.0,2.0,1
506,132,44.0,39.67,-109.18,6.0,2.0,1
507,133,17.0,37.79,-87.03,19.0,2.0,1
508,134,8.0,38.48,-75.22,11.0,2.0,1
509,135,11.0,20.8,-156.13,15.0,1.0,1
510,136,5.0,38.39,-105.73,17.0,2.0,1
511,137,5.0,38.19,-106.09,17.0,2.0,1
512,138,0.0,57.32,-153.37,28.0,2.0,1
513,139,8.0,39.45,-75.62,11.0,2.0,1
514,140,11.0,21.48,-157.92,15.0,1.0,1
