,fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,class,real_identifier
36,24.3519,13.3519,2.3519,0.6019,0.4019,20.3519,20.3519,-9.3519,85.3519,120.351,1.0,0
37,27.3519,10.3519,2.3519,0.4919,0.3019,15.3519,20.3519,6.3519,10.3519,184.351,0.0,0
38,50.3519,14.3519,2.8319,0.2519,0.1319,-44.3519,29.3519,-7.3519,9.3519,154.351,0.0,0
39,32.3519,12.3519,2.6319,0.4819,0.2919,17.3519,15.3519,8.3519,11.3519,190.351,0.0,0
40,34.1234,18.4567,2.9012,0.4211,0.2456,-12.3456,25.6789,-9.8765,10.2345,201.234,0.0,0
41,56.789,22.1234,3.0123,0.3567,0.2012,7.8901,40.1234,-15.6789,18.9012,219.012,0.0,0
42,28.9012,16.789,2.5678,0.5123,0.3012,-20.1234,20.9012,-8.4567,12.3456,194.567,0.0,0
43,49.0123,25.4567,3.2345,0.2789,0.1567,5.0123,35.6789,-12.9012,9.0123,206.789,0.0,0
44,67.8901,20.1234,2.9012,0.4567,0.2678,-15.6789,45.0123,-18.4567,14.5678,231.234,0.0,0
45,38.4567,19.0123,2.6789,0.6234,0.3456,-8.9012,28.9012,-10.1234,11.2345,198.456,0.0,0
46,52.1234,24.5678,3.0123,0.1987,0.109,2.3456,38.4567,-14.0123,7.8901,214.567,0.0,0
47,29.0123,17.8901,2.4567,0.5012,0.289,-22.1234,22.1234,-9.0123,13.4567,196.789,0.0,0
48,60.9012,22.9012,3.2345,0.4012,0.2345,-10.5678,42.9012,-16.789,16.0123,225.012,0.0,0
49,44.5678,20.4567,2.9012,0.5678,0.3123,-18.0123,32.8901,-11.4567,10.9012,203.456,0.0,0
50,28.4191,14.2354,2.6349,0.3842,0.2011,18.2156,12.6543,6.4211,30.8194,149.351,0.0,0
51,44.8198,18.3519,2.9438,0.2619,0.1414,39.4219,-22.3519,-3.3519,10.3519,199.819,0.0,0
52,19.3519,11.8198,2.4219,0.4819,0.2619,23.3519,9.3519,4.8198,24.8198,134.351,0.0,0
53,51.8198,17.3519,2.9938,0.2198,0.1231,3.3519,-29.3519,-4.8198,21.3519,129.351,1.0,0
54,35.3519,24.8198,2.8198,0.2431,0.1231,29.3519,22.3519,16.3519,15.3519,164.819,0.0,0
55,92.3519,33.3519,3.2431,0.1431,0.0831,61.3519,82.3519,20.3519,14.3519,186.351,0.0,0
56,27.3519,13.3519,2.3519,0.4431,0.2431,36.3519,17.3519,7.3519,18.3519,174.351,0.0,0
57,22.3519,15.3519,2.4431,0.4131,0.2131,28.3519,-7.3519,8.3519,4.3519,210.351,0.0,0
58,16.3519,9.3519,2.5938,0.5531,0.3031,7.3519,12.3519,-2.3519,22.3519,70.3519,1.0,0
59,31.3519,23.3519,2.7938,0.2519,0.1319,26.3519,21.3519,15.3519,16.3519,160.351,0.0,0
60,41.2345,18.7654,2.6789,0.3812,0.2019,14.5632,32.1098,-4.5678,23.9876,201.3456,0.0,0
61,67.8901,25.1234,3.0123,0.2911,0.1532,-23.4567,-41.2345,-12.3456,56.789,289.0123,1.0,0
62,35.6789,16.5432,2.9012,0.4567,0.2789,10.2345,28.7654,-2.3456,39.0123,156.789,0.0,0
63,93.4567,33.8901,3.4567,0.2345,0.1234,-35.6789,-61.2345,-23.4567,71.8901,321.2345,1.0,0
64,27.8901,12.4567,2.5678,0.5234,0.3123,25.6789,19.0123,-6.789,49.0123,81.2345,0.0,0
65,59.0123,20.9012,2.8901,0.3456,0.2012,17.4567,39.0123,-8.9012,29.6789,239.0123,0.0,0
66,85.6789,29.4567,3.2345,0.2012,0.1098,-41.9012,-65.6789,-25.9012,83.4567,351.2345,1.0,0
67,32.4567,14.9012,2.7012,0.4567,0.2567,12.9012,25.8901,-3.4567,41.9012,143.8901,0.0,0
68,72.9012,26.4567,3.0123,0.2789,0.1567,-28.9012,-49.0123,-16.4567,62.9012,297.8901,1.0,0
69,44.9012,19.2345,2.8234,0.4012,0.2345,15.6789,36.9012,-5.9012,33.4567,211.2345,0.0,0
70,61.391,17.193,3.302,0.292,0.155,-23.219,51.171,2.651,12.201,236.761,0.0,0
71,35.172,9.391,2.651,0.421,0.243,13.982,10.49,5.39,7.319,192.481,0.0,0
72,128.911,93.417,4.449,0.082,0.042,-67.141,93.153,-114.481,31.011,275.341,1.0,0
73,40.297,11.902,2.875,0.351,0.203,44.195,25.591,9.39,14.191,208.813,0.0,0
74,19.377,8.512,2.492,0.609,0.401,5.651,14.39,-7.011,25.991,159.011,1.0,0
75,91.635,32.195,3.661,0.196,0.123,-54.391,80.431,15.521,3.011,284.381,0.0,0
76,29.166,7.982,2.592,0.541,0.322,-16.391,-19.431,-6.011,5.391,181.651,0.0,0
77,53.911,14.593,3.022,0.299,0.166,51.011,29.011,7.391,16.491,225.201,0.0,0
78,117.011,79.491,4.231,0.087,0.045,-81.391,90.011,-123.201,33.011,270.011,1.0,0
79,31.166,10.902,2.751,0.483,0.293,11.391,7.011,4.011,9.491,199.011,0.0,0
80,38.5512,14.3221,2.9345,0.4258,0.2219,10.2354,-22.1894,10.9352,65.1823,201.3948,1.0,0
81,29.3842,12.1935,2.5123,0.5519,0.2864,3.1947,15.6309,-8.4219,41.9355,182.3519,0.0,0
82,40.8193,20.4732,3.0219,0.3789,0.1954,-13.4859,-35.8192,14.2198,91.3947,257.8231,1.0,0
83,32.1935,16.3947,2.8192,0.4821,0.2519,6.3947,-10.3948,7.3947,28.3947,194.8231,0.0,0
84,45.3947,24.8231,3.3947,0.3947,0.2019,-20.3948,40.3947,-23.3948,53.3947,302.3948,1.0,0
85,39.8231,17.3947,2.9732,0.5319,0.2794,4.8231,-18.3948,11.3947,39.3947,221.8231,0.0,0
86,25.3947,11.8231,2.3947,0.6231,0.3231,9.3947,12.3947,-6.3947,49.3947,169.3947,0.0,0
87,43.8231,22.3947,3.1947,0.3947,0.2019,-16.3948,-38.3948,16.3947,96.3947,278.3948,1.0,0
88,36.3947,15.8231,2.8231,0.5132,0.2659,2.3947,-14.3948,9.3947,34.3947,209.8231,0.0,0
89,31.8231,14.3947,2.6321,0.4581,0.2381,8.3947,-12.3948,8.3947,59.3947,192.3948,0.0,0
90,43.2131,20.5123,2.9015,0.2811,0.1432,-10.3942,15.6284,-12.1945,58.2193,198.351,1.0,0
91,67.3847,18.2935,3.0353,0.2459,0.1264,22.1853,-25.9419,18.3512,14.5915,140.819,0.0,0
92,29.4639,24.1819,2.8129,0.3162,0.1649,-7.3941,11.4738,-15.6303,82.3519,221.498,1.0,0
93,50.1928,14.5919,2.9439,0.2013,0.1025,35.4732,28.3945,10.1928,48.3512,129.351,0.0,0
94,96.3519,36.3519,3.9015,0.1432,0.0726,-20.3519,80.1928,25.6284,5.2193,351.351,1.0,0
95,23.9015,19.3847,2.6284,0.3519,0.1819,9.1928,-18.3519,13.2193,70.3519,251.351,0.0,0
96,75.2193,29.4639,3.3519,0.2193,0.1132,-15.6284,60.1928,-22.3519,2.3519,291.351,1.0,0
97,41.6284,26.3519,2.9015,0.2935,0.1519,-4.2193,17.3519,-16.2193,61.3519,209.351,0.0,0
98,65.3519,16.9015,3.0193,0.2632,0.1351,28.3519,-23.9015,14.6284,39.3519,161.351,1.0,0
99,34.9015,21.9015,2.7935,0.3291,0.1732,-12.6284,12.9015,-11.2193,79.3519,231.351,0.0,0
100,43.6157,14.5143,2.8445,0.3849,0.2011,-18.1421,-12.6121,4.3053,61.4153,195.4683,1.0,0
101,56.2085,29.4392,2.9382,0.4598,0.2945,22.5164,40.5695,-16.3849,29.1805,246.9562,1.0,0
102,25.3918,18.4179,2.6933,0.4915,0.3221,-28.3751,-19.5103,10.3519,56.3053,172.9119,1.0,0
103,49.0792,10.8495,2.8234,0.4245,0.2359,60.1921,34.5491,-5.9213,72.4631,209.3518,1.0,0
104,76.4569,34.8519,2.9555,0.2931,0.1506,20.4695,44.9219,22.4982,6.2945,330.5148,0.0,0
105,31.4905,25.6159,3.0519,0.2619,0.1321,-15.4695,18.3519,-24.5695,45.3053,101.9513,0.0,0
106,40.5098,12.3951,2.6349,0.4831,0.2995,29.3519,25.5695,-8.3053,77.1805,235.4695,1.0,0
107,93.6157,24.4392,2.8195,0.4351,0.2459,-109.5695,-43.3519,11.1805,3.6305,309.1805,0.0,0
108,36.5098,11.3951,2.6753,0.4509,0.2735,55.1805,30.5695,-6.3053,69.4631,191.5148,1.0,0
109,66.2085,31.4392,3.0119,0.3119,0.1631,28.5164,52.5695,26.3849,5.6305,373.9562,0.0,0
110,24.1914,13.4093,2.4819,0.4271,0.2429,17.3545,19.6635,7.8594,34.7219,182.9514,0.0,0
111,82.3587,24.3319,3.1954,0.2765,0.1519,-28.4211,-35.1854,-18.3519,73.4219,302.1913,1.0,0
112,41.9238,18.3194,2.7321,0.3199,0.1832,22.9119,23.4819,9.1847,4.1919,249.8193,0.0,0
113,29.1919,11.4819,2.4219,0.4919,0.2619,-19.8193,15.4819,6.3519,44.8193,159.8193,0.0,0
114,46.8193,21.4819,3.0819,0.2943,0.1649,15.8193,26.4819,4.3519,3.8193,235.8193,0.0,0
115,88.4819,29.4819,3.4819,0.2341,0.1319,25.4819,-43.8193,-16.4819,24.4819,371.8193,1.0,0
116,51.8193,23.4819,3.3194,0.2831,0.1593,-36.4819,-31.8193,-24.4819,77.8193,229.8193,1.0,0
117,39.4819,15.4819,2.6619,0.2945,0.1645,-18.4819,5.4819,-4.4819,22.8193,170.8193,0.0,0
118,33.4819,12.4819,2.4819,0.4945,0.2619,-38.4819,13.4819,5.4819,41.8193,149.8193,0.0,0
119,43.8193,17.8193,2.8193,0.3194,0.1839,20.4819,25.4819,8.4819,5.4819,257.8193,0.0,0
120,98.123,29.456,3.012,0.351,0.201,-12.456,58.123,-15.234,9.012,301.234,0.0,0
121,43.987,17.654,2.789,0.456,0.278,21.123,39.234,-8.902,14.567,221.123,1.0,0
122,109.876,39.012,3.456,0.189,0.109,-20.901,69.012,-22.456,4.567,351.789,0.0,0
123,61.234,22.789,2.901,0.401,0.234,16.789,50.123,-12.901,11.234,281.456,0.0,0
124,85.678,31.901,3.234,0.278,0.167,7.012,59.901,-18.234,8.456,311.789,0.0,0
125,49.012,19.456,2.678,0.509,0.301,24.901,43.789,-9.567,17.012,241.234,1.0,0
126,76.901,27.901,3.012,0.234,0.145,-14.789,55.678,-16.901,6.789,291.456,0.0,0
127,29.012,12.456,2.456,0.601,0.401,-10.234,-11.901,3.012,90.123,261.789,1.0,0
128,67.901,24.789,2.901,0.401,0.234,18.901,51.234,-13.456,12.789,271.012,0.0,0
129,93.456,34.901,3.456,0.201,0.123,-16.901,64.789,-20.901,5.678,321.234,0.0,0
130,23.4112,12.1984,2.4598,0.5421,0.2835,-13.4211,-8.2198,-5.3842,46.2198,201.351,1.0,0
131,49.8194,20.4919,2.9399,0.2619,0.1391,28.3921,16.3919,-10.2198,7.4219,241.819,0.0,0
132,17.3821,9.4219,2.3519,0.6291,0.3519,2.2198,-6.3919,-4.2198,51.3919,189.219,1.0,0
133,64.3919,28.2198,3.1038,0.2198,0.1179,51.2198,33.3919,-15.3919,6.2198,278.391,1.0,0
134,38.2198,16.3919,2.6519,0.3919,0.2198,-20.3919,-12.2198,-7.3919,85.2198,221.391,0.0,0
135,93.3919,43.2198,3.2198,0.2019,0.1098,67.3919,93.3919,-29.3919,71.2198,309.391,1.0,0
136,42.3919,24.3919,3.0519,0.2519,0.1359,-5.3919,24.3919,-25.3919,80.3919,251.391,1.0,0
137,13.2198,7.3919,2.2198,0.7038,0.3919,0.3919,-4.3919,-2.2198,56.3919,161.391,1.0,0
138,75.3919,32.3919,3.2198,0.2198,0.1179,58.3919,74.3919,-20.3919,4.3919,301.391,1.0,0
139,29.3919,15.3919,2.6519,0.3519,0.2198,15.3919,17.3919,12.3919,13.3919,201.391,0.0,0
140,31.8592,24.1289,3.0632,0.2589,0.1432,-28.5105,19.8234,10.3498,14.1289,201.421,0.0,0
141,67.3949,19.5756,3.2189,0.2758,0.1449,56.3825,58.4394,4.2489,29.4211,281.351,1.0,0
142,49.1387,29.0632,2.9875,0.2365,0.1289,23.5621,32.1978,16.9285,11.4219,245.823,0.0,0
143,91.5098,27.3949,3.4211,0.2019,0.1098,-49.8234,69.1978,20.5632,5.4219,335.351,0.0,0
144,25.3949,10.3949,2.4211,0.3949,0.2178,-17.4211,-13.4211,6.1289,38.4211,143.421,0.0,0
145,58.4211,34.1978,3.1289,0.2178,0.1178,67.3949,49.3949,-15.4211,15.3949,221.421,1.0,0
146,36.1978,23.4211,3.0632,0.2832,0.1532,41.5098,29.3949,8.4211,24.3949,206.197,0.0,0
147,82.5098,30.3949,3.5098,0.1949,0.1019,-59.3949,64.5098,22.3949,3.5098,323.421,0.0,0
148,51.5098,40.5098,2.9349,0.2949,0.1549,73.1978,-23.9349,-29.5098,65.9349,259.509,1.0,0
149,28.9349,0.9349,2.2598,0.7598,0.4199,-4.9349,12.9349,-0.5098,8.5098,193.934,0.0,0
150,51.2319,14.5421,2.9119,0.3948,0.2234,22.1931,18.4319,-7.3518,11.4219,218.391,0.0,0
151,29.1847,16.3519,2.4638,0.5832,0.3159,-13.4219,-22.1931,6.3518,25.4219,189.391,0.0,0
152,65.9821,20.3519,3.0119,0.2948,0.1634,35.1931,28.4319,-3.3518,16.4219,251.391,0.0,0
153,46.2319,12.5421,2.7119,0.4948,0.2834,10.1931,15.4319,-5.3518,20.4219,211.391,0.0,0
154,58.1847,18.3519,2.9638,0.3832,0.2159,25.4219,22.1931,8.3518,14.4219,229.391,0.0,0
155,41.9821,15.3519,2.8119,0.5948,0.3334,-18.1931,-19.4319,4.3518,24.4219,201.391,0.0,0
156,34.2319,13.5421,2.5119,0.3948,0.2234,15.1931,12.4319,-6.3518,18.4219,191.391,0.0,0
157,62.1847,19.3519,3.0638,0.2832,0.1559,32.4219,25.1931,-2.3518,15.4219,241.391,0.0,0
158,49.9821,14.3519,2.7119,0.4948,0.2834,12.1931,17.4319,-4.3518,21.4219,221.391,0.0,0
159,55.2319,17.5421,2.9119,0.3948,0.2234,20.1931,20.4319,-5.3518,17.4219,231.391,0.0,0
160,83.4197,28.1419,3.0321,0.2785,0.1593,51.4191,71.4195,12.4195,24.4191,201.419,1.0,0
161,31.4198,14.4199,2.7419,0.4198,0.2419,-10.419,15.4199,-8.4199,58.419,141.419,0.0,0
162,49.4199,22.4199,3.1419,0.2649,0.1519,12.419,33.4199,-15.419,4.419,259.419,0.0,0
163,24.4199,11.4199,2.2419,0.5199,0.2699,-22.419,-7.4199,-4.4199,65.419,151.419,0.0,0
164,42.4199,21.4199,2.9419,0.2499,0.1499,40.419,-19.419,9.4199,3.419,204.419,0.0,0
165,29.4199,19.4199,2.8199,0.3899,0.2399,8.419,-13.419,-14.419,14.419,124.419,0.0,0
166,98.419,52.4199,3.1199,0.3699,0.1849,-64.419,-106.419,39.4199,30.419,419.419,1.0,0
167,63.4199,4.4199,2.9199,0.3949,0.2049,19.419,62.4199,-4.4199,6.419,249.419,1.0,0
168,90.4199,17.4199,3.1799,0.2399,0.1519,48.419,50.4199,11.4199,55.419,181.419,1.0,0
169,23.4199,8.4199,2.4799,0.7199,0.3719,24.419,11.4199,-6.4199,69.419,72.4199,1.0,0
170,38.4219,22.1358,2.8351,0.3912,0.2169,18.4192,14.8213,10.3948,32.1456,198.4219,0.0,0
171,29.1934,17.6285,2.6549,0.4688,0.2835,24.8193,20.4632,4.8213,56.2134,135.9821,1.0,0
172,43.9821,25.4698,3.0123,0.2519,0.1345,15.9821,30.4632,18.3948,10.4219,221.9821,0.0,0
173,26.4219,20.9821,2.7285,0.3987,0.2293,6.4219,16.9821,12.1358,61.9821,93.4219,0.0,0
174,35.9821,10.3948,2.8213,0.5098,0.3192,33.9821,24.4219,2.6285,5.9821,191.9821,1.0,0
175,28.6285,23.4219,2.9821,0.2948,0.1613,-1.9821,22.9821,-5.9821,46.9821,251.9821,1.0,0
176,24.9821,16.9821,2.4698,0.4469,0.2763,28.6285,15.9821,-8.9821,28.9821,163.9821,0.0,0
177,41.9821,20.9821,3.0357,0.2263,0.1132,51.9821,22.9821,-17.9821,16.9821,110.9821,0.0,0
178,96.9821,49.9821,4.0357,0.1385,0.0703,-53.9821,-55.9821,35.9821,1.9821,398.9821,0.0,0
179,32.9821,7.9821,2.7585,0.5235,0.3235,30.9821,18.9821,1.9821,4.9821,169.9821,1.0,0
180,27.1234,18.4567,2.6789,0.3987,0.2345,18.2345,22.4567,10.1234,14.5678,201.2345,0.0,0
181,32.9876,20.8765,2.5432,0.3211,0.1987,-12.6543,-15.8765,-8.2345,28.7654,191.8765,0.0,0
182,41.7654,24.1098,3.0123,0.3567,0.2134,25.8765,30.1098,14.7654,10.9876,243.1098,0.0,0
183,19.8765,12.5432,2.3456,0.5234,0.3123,-20.9876,-10.7654,5.1098,22.8765,214.7654,0.0,0
184,35.6543,16.2345,2.6789,0.2945,0.1567,24.1098,26.5432,9.8765,17.1234,173.7654,0.0,0
185,63.1098,28.7654,3.4567,0.3123,0.1678,-40.9876,40.1098,16.7654,1.2345,362.1098,0.0,0
186,11.2345,8.7654,2.3012,0.6234,0.3812,-6.5432,12.1098,8.7654,25.8765,251.8765,1.0,0
187,39.8765,13.4567,2.8765,0.4956,0.3291,12.1098,22.7654,4.1098,27.8765,198.7654,1.0,0
188,49.1098,17.8765,2.6543,0.4678,0.2678,-45.8765,-18.2345,-4.1098,21.8765,289.8765,0.0,0
189,29.7654,19.2345,2.7012,0.4123,0.2456,19.8765,24.1098,11.8765,15.8765,211.1098,0.0,0
190,57.4399,18.3512,2.9396,0.4219,0.2218,32.1414,43.9114,16.3214,11.4679,198.179,1.0,0
191,48.1822,20.8383,2.7812,0.2941,0.1559,19.3249,34.1935,9.1834,5.2314,154.822,0.0,0
192,82.5379,40.2925,3.4591,0.1439,0.0804,67.1533,78.4854,31.4456,38.2495,243.761,1.0,0
193,65.6137,26.3719,3.1059,0.2659,0.1434,41.6728,51.2359,20.1421,16.7859,219.497,0.0,0
194,90.7488,49.9284,3.6441,0.1234,0.0703,82.8545,85.4321,41.1714,49.1351,279.982,1.0,0
195,29.3511,13.5514,2.3868,0.5011,0.2613,-23.1938,-29.4923,5.2345,52.1794,172.351,0.0,0
196,75.2829,17.5403,2.9841,0.3635,0.1949,59.1194,23.1834,-6.4209,75.4195,141.912,1.0,0
197,42.8828,19.4929,2.6539,0.3978,0.2099,12.5349,26.4958,7.5391,2.4378,203.175,0.0,0
198,61.4299,23.9214,3.0245,0.2935,0.1561,-48.5631,58.2485,-11.3309,5.9123,294.391,0.0,0
199,208.219,62.3515,3.8119,0.0925,0.0525,-229.551,-148.432,-40.8211,82.9296,229.191,1.0,0
200,18.2345,15.6789,2.4567,0.4231,0.2345,10.9821,12.3456,-5.6789,29.1234,135.791,0.0,0
201,45.6789,30.1234,3.4567,0.1987,0.1098,-20.1234,40.9876,15.6789,11.2345,250.135,1.0,0
202,67.8901,55.6789,4.1234,0.0753,0.0391,35.6789,60.9876,28.9012,7.6543,180.123,1.0,0
203,89.0123,70.5678,4.5678,0.0456,0.0234,-50.1234,80.9012,-35.6789,14.3567,320.987,0.0,0
204,27.4567,22.9012,2.8901,0.3123,0.1789,18.1234,25.6789,-10.1234,51.2345,150.135,0.0,0
205,34.5678,28.9012,3.0123,0.2567,0.1456,-22.9012,32.1234,12.3456,8.7654,120.987,0.0,0
206,56.789,48.0123,3.9012,0.1345,0.0712,30.1234,52.6789,20.9012,4.5678,140.135,0.0,0
207,41.2345,33.4567,3.4567,0.2012,0.1123,-18.9012,38.9012,14.5678,12.3456,230.987,1.0,0
208,24.5678,20.1234,2.6789,0.3945,0.2198,12.9012,22.1234,-7.8901,49.0123,130.135,0.0,0
209,50.1234,42.9012,3.8012,0.1567,0.0856,28.9012,48.0123,18.9012,5.6789,160.987,0.0,0
210,63.159,20.328,2.812,0.294,0.155,-50.235,53.427,16.267,22.985,251.331,1.0,0
211,29.354,12.141,2.499,0.589,0.323,13.475,25.656,5.159,42.221,193.411,0.0,0
212,95.459,34.299,3.399,0.208,0.126,-82.132,76.289,35.194,39.195,270.819,1.0,0
213,54.982,19.813,2.751,0.316,0.164,-26.854,49.538,13.459,18.389,238.192,0.0,0
214,23.419,11.394,2.394,0.646,0.365,-7.281,20.654,6.593,55.281,159.321,0.0,0
215,72.357,24.479,2.909,0.249,0.136,58.117,62.349,21.921,31.197,284.495,1.0,0
216,39.915,16.258,2.651,0.375,0.201,17.482,34.469,-9.316,19.476,221.458,0.0,0
217,48.219,17.951,2.796,0.304,0.158,-33.951,43.984,12.351,25.196,257.958,1.0,0
218,67.991,22.914,2.859,0.281,0.149,-45.192,60.317,18.509,23.395,274.812,0.0,0
219,85.637,30.499,3.446,0.193,0.105,-20.854,67.281,-16.497,3.518,310.249,0.0,0
220,43.2194,21.4593,2.9831,0.2845,0.1526,34.1182,12.3919,-13.4211,8.4218,201.394,0.0,0
221,29.1355,14.3512,2.6549,0.3949,0.2069,-10.3159,-7.3519,3.1939,18.3519,151.395,0.0,0
222,50.3519,24.1987,3.1048,0.2361,0.1264,60.2198,25.3912,-18.3519,6.3519,241.351,0.0,0
223,19.3519,11.2194,2.4219,0.6193,0.3949,-5.2194,2.3519,6.3519,12.2194,186.351,0.0,0
224,38.2194,16.3519,2.7831,0.3298,0.1735,15.3519,-10.2194,-8.3519,14.3519,143.219,0.0,0
225,46.3519,22.7831,3.0512,0.2469,0.1355,52.3519,22.2194,-16.3519,9.3519,211.219,0.0,0
226,31.2194,14.7831,2.6949,0.3645,0.1927,-7.3519,-5.2194,2.3519,16.3519,161.351,0.0,0
227,55.3519,25.6949,3.1735,0.2134,0.1145,67.3519,29.2194,-20.3519,5.3519,261.351,0.0,0
228,23.3519,12.3519,2.5135,0.5949,0.3845,-3.3519,1.2194,5.3519,11.3519,196.351,0.0,0
229,40.7831,18.2194,2.9277,0.3012,0.1593,21.3519,-12.3519,-10.2194,13.3519,153.351,0.0,0
230,61.4192,23.1919,3.0431,0.2783,0.1415,28.3519,36.4928,15.6231,10.2198,201.931,0.0,0
231,49.8613,18.3492,2.8194,0.3942,0.2011,-23.4819,29.3919,-4.1928,4.5832,221.819,0.0,0
232,67.3928,20.5919,2.9349,0.3199,0.1623,51.4819,43.8192,12.3919,8.2198,261.492,0.0,0
233,56.1394,15.8192,2.5031,0.4639,0.2349,-41.4819,32.4928,-6.3919,3.5832,229.819,0.0,0
234,45.8613,24.5919,3.0949,0.2942,0.1494,18.4819,26.8192,10.3919,11.2198,193.492,0.0,0
235,51.4192,19.3492,2.7344,0.4139,0.2134,-29.4819,30.4928,-5.1928,6.5832,241.819,0.0,0
236,63.3928,16.5919,2.6049,0.3399,0.1723,44.4819,38.8192,11.3919,9.2198,279.492,0.0,0
237,41.8613,22.5919,3.0549,0.3042,0.1544,15.4819,24.4928,9.3919,12.2198,187.492,0.0,0
238,59.1394,17.8192,2.6344,0.4239,0.2234,-35.4819,34.4928,-5.5919,5.5832,251.819,0.0,0
239,46.3928,20.3492,2.8449,0.2842,0.1444,22.4819,27.8192,10.5919,10.2198,205.492,0.0,0
240,91.4191,51.3519,3.0833,0.2669,0.1438,74.3914,88.3914,48.3914,52.4191,294.419,1.0,0
241,19.3519,14.4191,2.6304,0.5038,0.2739,10.6304,7.6304,3.6304,6.4191,141.351,0.0,0
242,118.63,93.0833,3.4191,0.2369,0.1667,-83.6304,-157.63,69.6304,86.3519,351.419,1.0,0
