beds,baths,size,lot_size,lot_size_units,zip_code,price,size_units
3.0,2.5,5500.0,3080.0,1.0,98117.0,820000.0,0.0
2.0,1.0,1420.0,985.0,1.0,98136.0,575000.0,0.0
1.0,1.0,0.0,900.0,1.0,98118.0,599900.0,0.0
4.0,2.0,1700.0,3099.0,1.0,98105.0,1305000.0,0.0
4.0,1.0,2663.0,5428.0,1.0,98107.0,886000.0,0.0
2.0,1.0,2528.0,5160.0,1.0,98106.0,750000.0,0.0
3.0,2.0,1825.0,1.0,1.0,98103.0,1050000.0,0.0
5.0,2.0,1670.0,2370.0,1.0,98125.0,449000.0,0.0
3.0,3.0,1112.0,5100.0,1.0,98122.0,875000.0,0.0
3.0,2.0,1520.0,1.24,1.0,98145.0,890000.0,0.0
4.0,3.0,1310.0,6200.0,1.0,98125.0,656500.0,0.0
2.0,1.0,1360.0,1858.0,1.0,98117.0,750000.0,0.0
2.0,2.0,2160.0,9200.0,1.0,98136.0,1095000.0,0.0
3.0,2.5,1575.0,1525.0,1.0,98133.0,500000.0,0.0
3.0,2.0,1560.0,5000.0,1.0,98144.0,672500.0,0.0
3.0,3.5,1680.0,0.13,0.0,98117.0,734950.0,0.0
3.0,2.0,5500.0,2380.0,0.0,98106.0,680000.0,0.0
2.0,1.0,2960.0,1110.0,1.0,98177.0,1140000.0,0.0
4.0,1.0,660.0,0.2,1.0,98178.0,1075000.0,0.0
3.0,3.0,1360.0,5450.0,1.0,98109.0,900000.0,0.0
4.0,3.0,1340.0,6000.0,1.0,98117.0,543750.0,0.0
4.0,3.0,2147.0,5000.0,1.0,98122.0,600000.0,0.0
7.0,2.0,1350.0,3270.0,1.0,98117.0,685000.0,0.0
3.0,2.0,1350.0,6200.0,1.0,98133.0,1200000.0,0.0
4.0,3.5,1250.0,859.0,1.0,98144.0,1650000.0,0.0
2.0,2.0,114050.0,0.38,1.0,98125.0,975000.0,0.0
3.0,3.0,1470.0,7.0,1.0,98105.0,560000.0,0.0
3.0,1.5,1320.0,0.23,1.0,98107.0,519950.0,0.0
3.0,2.5,3160.0,4790.0,1.0,98115.0,525000.0,0.0
