,Aa,Ao,Dcl,Iy,Sh,Class,real_identifier
41,0.473,2.754,-0.395,-0.198,0.183,0.0,0
42,0.075,0.321,0.315,0.498,0.0,0.0,0
43,0.865,1.192,1.523,-0.482,0.827,1.0,0
44,0.312,1.289,2.134,0.705,-0.252,0.0,0
45,0.108,0.841,1.142,-0.947,-0.347,0.0,0
46,0.142,0.379,0.698,1.432,0.0,0.0,0
47,0.784,2.811,-0.475,-0.219,0.374,0.0,0
48,2.621,-0.195,0.165,0.082,0.071,0.0,0
49,1.123,2.198,1.298,-0.439,-0.151,1.0,0
50,0.482,0.412,0.789,1.134,1.215,0.0,0
51,0.912,1.482,1.125,0.984,-0.523,1.0,0
52,0.732,1.954,0.845,1.302,-0.362,1.0,0
53,2.634,0.382,-0.206,0.12,0.152,0.0,0
54,0.431,1.55,2.053,-0.68,-0.178,0.0,0
55,1.341,0.87,0.496,0.365,-0.064,0.0,0
56,0.179,0.455,0.735,0.619,-0.29,0.0,0
57,3.809,0.484,-0.03,-0.187,0.157,0.0,0
58,0.425,0.754,1.739,1.321,1.717,1.0,0
59,0.624,2.081,-0.406,0.229,0.1,0.0,0
60,0.512,0.812,0.548,1.132,0.987,1.0,0
61,0.312,2.102,0.479,0.297,-0.115,0.0,0
62,2.812,-0.29,-0.105,-0.096,0.124,0.0,0
63,0.463,1.48,2.054,-0.468,0.385,0.0,0
64,0.639,2.92,-0.753,0.323,0.01,0.0,0
65,-0.125,0.629,0.912,1.724,-0.818,1.0,0
66,0.59,2.531,-0.352,-0.175,0.163,0.0,0
67,0.702,2.454,-0.539,-0.209,0.01,0.0,0
68,0.74,2.517,0.691,0.436,-0.471,0.0,0
69,2.325,0.841,-0.148,0.091,0.108,0.0,0
70,0.742,1.965,0.612,0.403,-0.271,1.0,0
71,1.792,0.987,0.318,0.186,-0.309,0.0,0
72,0.507,0.584,1.589,1.165,1.179,1.0,0
73,1.325,1.678,-0.356,-0.371,1.421,0.0,0
74,0.267,2.034,0.809,0.275,0.154,0.0,0
75,1.087,2.563,-0.431,-0.161,-0.102,0.0,0
76,0.683,1.237,1.812,0.827,1.015,1.0,0
77,0.349,2.489,-0.387,0.216,-0.329,0.0,0
78,0.131,0.454,0.892,2.098,-0.695,1.0,0
79,1.278,2.493,1.054,0.567,-0.152,0.0,0
80,0.312,0.712,0.512,0.678,0.934,1.0,0
81,0.512,1.987,0.298,0.412,-0.123,0.0,0
82,0.789,2.123,0.912,1.234,0.672,1.0,0
83,1.234,1.789,-0.234,0.678,0.123,0.0,0
84,0.567,0.845,1.234,1.456,-0.789,1.0,0
85,0.678,2.345,0.567,0.89,0.456,0.0,0
86,0.345,2.678,0.123,0.567,-0.234,0.0,0
87,1.567,0.678,0.789,-0.123,0.234,0.0,0
88,0.789,0.912,0.678,0.89,0.789,1.0,0
89,0.456,2.456,-0.456,0.234,-0.123,0.0,0
90,1.502,2.005,0.612,-0.214,0.234,0.0,0
91,0.642,1.243,0.481,-0.678,1.102,1.0,0
92,0.987,2.134,-0.523,0.291,0.319,0.0,0
93,3.402,-0.291,0.202,0.092,0.081,0.0,0
94,-0.123,1.482,2.045,0.698,-0.287,0.0,0
95,0.412,0.932,1.389,1.489,-0.952,1.0,0
96,3.108,0.352,-0.142,0.123,0.097,0.0,0
97,2.501,0.267,0.174,0.151,-0.049,0.0,0
98,0.198,0.759,2.098,-0.682,0.412,0.0,0
99,0.174,1.298,2.523,-0.731,-0.301,0.0,0
100,0.612,0.925,2.045,-0.356,0.643,1.0,0
101,1.759,1.903,-0.184,0.179,0.162,0.0,0
102,0.289,1.089,0.993,1.792,-0.801,1.0,0
103,0.398,2.512,2.123,-0.498,-0.175,1.0,0
104,0.328,2.045,-0.412,0.278,-0.132,0.0,0
105,1.871,0.789,0.135,0.121,-0.143,0.0,0
106,2.689,-0.198,0.194,0.112,0.092,0.0,0
107,0.417,2.913,0.912,0.612,-0.245,1.0,0
108,0.823,2.207,0.678,0.812,0.567,1.0,0
109,0.298,0.815,0.924,-0.378,-0.017,1.0,0
110,0.312,1.372,1.914,0.924,-0.623,1.0,0
111,0.856,1.489,0.412,0.084,0.023,0.0,0
112,0.281,1.532,2.154,0.923,1.045,0.0,0
113,1.102,2.487,-0.324,-0.126,-0.085,0.0,0
114,0.832,2.842,0.854,0.589,0.389,0.0,0
115,0.391,1.478,2.689,-0.634,-0.295,0.0,0
116,0.104,0.299,0.274,0.357,-0.311,0.0,0
117,-0.092,0.467,0.712,1.489,-0.943,1.0,0
118,0.478,1.923,1.163,-0.312,-0.142,0.0,0
119,0.934,1.117,2.193,0.734,0.512,1.0,0
120,0.412,1.895,-0.512,-0.098,0.142,0.0,0
121,0.157,0.642,0.294,0.791,-0.041,1.0,0
122,0.228,1.389,1.832,-0.612,-0.293,0.0,0
123,0.381,0.589,1.623,1.201,-0.845,1.0,0
124,0.132,0.544,0.811,1.532,-0.902,1.0,0
125,0.365,0.823,2.286,0.932,1.389,1.0,0
126,0.312,0.429,1.371,1.489,-0.723,0.0,0
127,0.589,3.012,1.198,0.634,-0.215,0.0,0
128,2.012,1.259,0.472,0.327,-0.122,0.0,0
129,0.295,0.989,1.503,1.049,-0.612,1.0,0
130,0.512,3.215,-0.512,-0.287,-0.142,0.0,0
131,2.987,0.532,-0.11,0.102,0.083,0.0,0
132,0.498,2.489,-0.634,0.589,1.123,0.0,0
133,0.221,1.467,2.134,-0.832,-0.309,0.0,0
134,0.542,1.198,-0.315,-0.102,-0.065,0.0,0
135,0.398,0.498,1.789,1.372,-0.392,0.0,0
136,2.301,0.372,-0.085,-0.045,0.055,0.0,0
137,1.289,2.632,0.892,0.512,-0.162,0.0,0
138,0.329,2.023,-0.409,0.289,0.123,0.0,0
139,0.553,1.089,1.602,-0.495,-0.275,1.0,0
140,0.451,2.512,0.812,0.702,1.1,0.0,0
141,0.312,1.05,2.845,-0.823,0.0,0.0,0
142,1.195,2.389,-0.432,-0.165,-0.102,0.0,0
143,0.978,2.301,-0.398,-0.215,0.0,0.0,0
144,0.223,0.632,0.892,1.312,0.715,1.0,0
145,2.482,0.281,0.145,0.091,0.072,0.0,0
146,0.192,1.127,1.542,-0.472,0.0,0.0,0
147,0.335,0.661,0.401,1.059,0.0,1.0,0
148,1.174,1.251,-0.252,-0.087,-0.045,0.0,0
149,1.263,2.328,-0.309,-0.142,0.232,0.0,0
150,0.523,1.987,0.642,0.345,-0.387,0.0,0
151,0.412,1.032,0.798,-0.402,0.0,1.0,0
152,1.482,1.352,-0.193,0.112,-0.065,0.0,0
153,1.215,1.098,1.543,-0.489,-0.204,0.0,0
154,1.456,0.589,0.202,0.134,0.082,0.0,0
155,0.058,0.327,0.298,0.482,-0.415,0.0,0
156,0.265,1.142,0.832,0.698,0.0,1.0,0
157,0.209,0.689,2.378,1.198,1.203,1.0,0
158,1.387,2.045,-0.321,-0.215,0.163,0.0,0
159,0.276,1.288,2.241,-0.511,0.0,0.0,0
160,0.567,1.234,-0.354,-0.112,0.072,0.0,0
161,0.245,0.789,1.732,-0.542,0.512,1.0,0
162,1.987,1.876,-0.287,-0.134,-0.054,0.0,0
163,0.301,0.543,0.912,2.345,-0.712,1.0,0
164,0.854,2.123,-0.412,-0.198,-0.091,0.0,0
165,0.478,0.678,2.157,-0.645,0.874,1.0,0
166,0.092,0.567,0.999,2.198,-0.823,0.0,0
167,2.134,1.456,-0.312,-0.165,0.043,0.0,0
168,0.623,2.654,-0.389,-0.203,-0.101,0.0,0
169,0.346,0.789,1.876,-0.601,0.423,1.0,0
170,0.512,0.789,1.823,1.413,0.652,1.0,0
171,0.967,2.134,-0.523,0.421,-0.178,0.0,0
172,0.142,0.315,0.289,0.487,0.0,0.0,0
173,0.689,0.613,2.104,-0.529,0.431,1.0,0
174,1.034,2.456,-0.301,0.198,-0.092,0.0,0
175,0.084,0.293,0.502,1.198,0.0,0.0,0
176,0.279,0.427,0.439,1.623,1.754,0.0,0
177,1.362,1.015,0.378,0.312,-0.147,0.0,0
178,3.427,-0.318,0.142,-0.073,-0.092,0.0,0
179,1.534,2.287,-0.349,0.251,0.148,0.0,0
180,0.678,0.912,2.154,0.923,0.478,0.0,0
181,1.256,0.789,1.832,0.592,-0.197,1.0,0
182,0.812,3.014,-0.512,-0.245,-0.089,0.0,0
183,0.198,0.634,0.975,1.689,0.034,1.0,0
184,0.523,1.689,1.602,-0.415,-0.178,0.0,0
185,0.309,0.487,-0.312,1.123,1.489,1.0,0
186,3.214,-0.201,0.234,-0.138,0.094,0.0,0
187,0.367,0.712,1.482,1.245,0.632,0.0,0
188,0.456,1.896,1.148,0.512,-0.239,0.0,0
189,2.479,1.082,-0.315,-0.124,0.043,0.0,0
190,0.512,0.982,1.305,0.841,2.061,1.0,0
191,3.021,0.483,-0.115,-0.072,-0.053,0.0,0
192,0.385,0.529,1.834,2.49,-0.752,1.0,0
193,0.135,0.702,0.439,0.859,0.012,1.0,0
194,1.392,2.241,-0.523,-0.215,0.112,0.0,0
195,0.207,1.148,1.679,-0.582,0.012,0.0,0
196,0.288,2.061,0.639,0.325,0.012,0.0,0
197,0.272,1.138,1.846,-0.739,-0.289,0.0,0
198,0.53,1.14,0.976,1.288,1.744,1.0,0
199,2.317,0.631,-0.081,0.074,0.064,0.0,0
200,0.212,0.512,-0.512,1.234,1.261,0.0,0
201,0.621,1.231,2.156,0.787,-0.2,1.0,0
202,0.351,1.233,-0.263,-0.098,-0.089,0.0,0
203,0.193,0.381,0.471,0.341,0.1,0.0,0
204,0.244,0.831,2.488,-0.91,-0.31,0.0,0
205,3.314,-0.143,0.287,-0.181,0.182,0.0,0
206,2.07,-0.358,0.374,0.364,-0.224,0.0,0
207,0.485,2.397,0.784,0.432,-0.306,0.0,0
208,1.844,-0.334,-0.045,-0.179,-0.156,0.0,0
209,0.651,0.518,2.03,0.81,0.385,1.0,0
210,0.789,1.754,1.342,1.103,-0.389,1.0,0
211,0.641,1.912,1.289,1.082,0.911,0.0,0
212,0.372,1.623,1.304,0.512,-0.245,0.0,0
213,1.279,0.755,1.799,1.602,-0.428,1.0,0
214,3.524,-0.254,0.192,0.122,-0.071,0.0,0
215,0.267,0.732,1.746,0.988,0.462,1.0,0
216,0.491,2.301,1.015,0.421,-0.219,0.0,0
217,1.138,2.735,-0.427,-0.215,0.265,0.0,0
218,0.251,1.483,2.069,1.039,1.192,0.0,0
219,0.329,2.109,-0.521,0.366,-0.148,0.0,0
220,1.123,1.512,0.723,0.345,-0.154,0.0,0
221,2.456,0.312,0.198,0.234,-0.078,0.0,0
222,0.521,2.543,0.845,0.523,0.215,0.0,0
223,0.634,0.532,0.798,1.423,-0.612,1.0,0
224,1.654,1.874,-0.243,-0.136,0.087,0.0,0
225,0.512,2.732,0.967,0.812,0.685,1.0,0
226,-0.134,1.432,1.872,0.723,0.012,0.0,0
227,0.145,0.473,0.842,0.703,0.014,1.0,0
228,0.192,0.654,1.012,2.034,-0.563,0.0,0
229,2.234,0.754,0.312,0.256,-0.412,0.0,0
230,0.312,0.482,0.512,1.15,1.98,0.0,0
231,0.679,2.764,-0.578,-0.198,-0.132,0.0,0
232,1.145,1.512,-0.412,-0.107,-0.095,0.0,0
233,0.925,1.289,1.792,0.902,0.823,1.0,0
234,0.602,2.433,1.623,0.693,-0.243,0.0,0
235,0.672,3.187,-0.489,0.758,0.415,1.0,0
236,0.523,0.482,2.037,-0.532,0.472,1.0,0
237,0.294,0.377,0.688,1.314,0.901,1.0,0
238,0.134,0.634,0.612,-0.573,2.598,0.0,0
239,0.487,0.528,1.115,2.372,-0.712,0.0,0
240,0.521,1.482,1.652,1.212,-0.245,1.0,0
241,0.832,2.654,-0.432,-0.315,0.792,0.0,0
242,0.789,2.317,-0.384,-0.098,-0.052,0.0,0
243,0.412,0.623,1.723,0.978,0.912,0.0,0
244,0.153,0.712,0.312,0.478,0.812,1.0,0
245,0.192,0.523,1.512,0.892,-0.978,0.0,0
246,0.682,1.412,1.689,-0.612,-0.145,0.0,0
247,2.712,0.623,0.612,0.754,0.345,0.0,0
248,0.364,1.315,0.467,0.312,0.125,0.0,0
249,0.495,3.217,-0.432,0.598,-0.152,0.0,0
250,1.213,0.612,0.134,0.092,0.078,0.0,0
251,0.278,0.682,1.012,1.315,-0.589,1.0,0
252,0.198,1.172,1.632,-0.489,-0.213,0.0,0
253,1.982,0.325,-0.075,0.065,-0.098,0.0,0
254,0.452,2.695,-0.685,0.628,1.012,0.0,0
255,0.132,0.455,0.432,1.118,0.005,0.0,0
256,0.635,2.489,0.728,0.534,-0.205,0.0,0
257,1.159,1.854,-0.342,-0.152,-0.115,0.0,0
258,0.192,0.482,0.554,1.005,0.002,1.0,0
259,1.113,2.669,-0.475,0.315,0.372,0.0,0
260,0.512,1.234,1.123,0.145,-0.232,0.0,0
261,1.432,0.912,1.784,1.532,-0.421,1.0,0
262,0.289,1.432,1.542,-0.389,0.0,0.0,0
263,0.745,0.823,2.014,-0.612,-0.192,1.0,0
264,0.173,0.687,1.201,1.092,0.0,0.0,0
265,2.512,0.712,1.123,-0.312,-0.087,0.0,0
266,0.572,1.812,0.923,0.198,0.112,0.0,0
267,0.192,0.542,1.412,1.923,-0.512,0.0,0
268,0.221,1.013,1.754,-0.472,0.0,0.0,0
269,0.312,1.492,1.732,1.223,1.045,0.0,0
270,1.842,1.234,0.512,0.312,0.521,0.0,0
271,0.452,1.125,0.812,2.123,-0.612,1.0,0
272,0.372,1.256,1.432,0.712,-0.452,0.0,0
273,1.652,1.512,-0.312,-0.215,-0.112,0.0,0
274,0.412,0.823,0.932,1.452,1.312,1.0,0
275,0.612,2.912,-0.412,-0.312,-0.215,0.0,0
276,-0.215,1.152,2.432,-0.712,-0.312,0.0,0
277,0.612,2.452,0.912,-0.412,1.312,0.0,0
278,2.152,0.832,0.412,-0.152,-0.112,0.0,0
279,0.732,2.312,-0.512,-0.312,-0.215,0.0,0
280,0.432,1.512,1.201,0.812,-0.234,1.0,0
281,1.125,0.765,0.243,0.145,-0.112,0.0,0
282,0.689,1.832,1.678,0.521,0.098,1.0,0
283,0.297,2.001,0.934,-0.213,0.245,0.0,0
284,1.512,0.654,0.432,0.599,0.876,0.0,0
285,0.874,1.112,1.987,0.732,-0.178,1.0,0
286,1.623,1.345,0.567,0.432,0.912,0.0,0
287,0.213,1.789,1.234,0.678,-0.456,1.0,0
288,1.098,0.987,0.345,0.123,0.654,0.0,0
289,0.456,2.145,1.678,0.789,-0.321,1.0,0
290,0.215,0.751,0.612,1.934,0.0,0.0,0
291,-0.132,-0.521,-0.732,-0.947,0.0,1.0,0
292,0.524,2.412,-0.482,0.456,-0.165,0.0,0
293,0.189,1.589,0.812,0.743,-0.238,0.0,0
294,0.372,0.684,2.389,-0.674,0.698,1.0,0
295,0.894,0.912,0.283,0.164,0.092,0.0,0
296,1.195,2.124,-0.298,-0.213,0.215,0.0,0
297,0.956,1.203,0.412,-0.145,0.078,0.0,0
298,0.461,0.928,1.294,1.987,0.0,1.0,0
299,2.512,1.132,0.623,0.874,0.298,0.0,0
300,0.345,1.456,1.678,-0.412,-0.157,0.0,0
301,0.612,2.987,-0.512,-0.198,0.045,0.0,0
302,0.754,0.934,1.954,-0.732,-0.641,1.0,0
303,0.423,1.267,1.512,1.623,-0.654,1.0,0
304,0.156,0.478,0.432,0.912,1.098,0.0,0
305,0.317,1.312,2.689,-0.599,-0.283,0.0,0
306,0.301,0.945,2.398,-0.497,-0.276,0.0,0
307,0.598,2.512,1.234,0.795,-0.342,1.0,0
308,0.987,0.562,1.689,0.912,-0.213,1.0,0
309,1.058,3.045,-0.591,-0.238,0.198,0.0,0
310,0.72,1.32,-0.25,0.19,-0.08,0.0,0
311,0.52,1.01,2.05,-0.48,-0.35,0.0,0
312,2.35,1.35,0.5,0.12,0.28,0.0,0
313,2.45,0.5,1.7,-0.4,-0.12,0.0,0
314,0.45,1.05,2.65,-0.75,-0.3,0.0,0
315,1.35,1.0,0.35,0.14,-0.18,0.0,0
316,0.8,0.5,1.3,2.1,-0.6,0.0,0
317,0.5,1.45,2.15,-0.5,0.05,0.0,0
318,0.15,0.3,0.45,1.2,0.02,0.0,0
319,1.2,1.9,-0.35,0.25,0.15,0.0,0
320,0.321,0.482,0.512,0.812,-0.05,1.0,0
321,1.104,0.612,1.684,0.645,-0.232,1.0,0
322,1.092,2.201,-0.315,0.185,-0.148,0.0,0
323,0.254,0.471,1.561,1.362,0.705,0.0,0
324,0.795,2.032,-0.421,-0.328,1.445,0.0,0
325,2.351,1.294,0.712,0.923,-0.225,0.0,0
326,0.278,0.921,2.184,-0.598,-0.365,1.0,0
327,0.231,1.573,1.145,0.495,-0.189,0.0,0
328,0.619,2.429,-0.512,0.316,0.012,0.0,0
329,0.879,2.648,-0.469,-0.173,-0.108,0.0,0
330,0.157,0.812,1.432,1.568,-0.512,1.0,0
331,0.305,0.712,1.134,0.812,0.1,1.0,0
332,0.132,0.195,0.201,-0.523,0.956,1.0,0
333,0.289,1.123,2.654,-0.732,0.1,0.0,0
334,0.087,0.498,0.812,2.345,0.1,1.0,0
335,0.348,2.925,-0.512,0.532,0.785,0.0,0
336,0.115,0.412,0.923,0.572,0.1,1.0,0
337,0.278,1.145,2.312,-0.612,-0.752,1.0,0
338,0.712,2.567,-0.623,-0.312,-0.212,0.0,0
339,2.134,0.689,-0.132,0.112,-0.142,0.0,0
340,0.256,1.678,1.512,-0.834,0.0,0.0,0
341,3.482,-0.265,0.195,-0.089,-0.052,0.0,0
342,0.412,0.389,0.867,2.012,-0.543,0.0,0
343,0.612,1.876,-0.423,-0.207,0.0,0.0,0
344,1.153,1.374,0.299,0.182,0.175,0.0,0
345,0.162,0.472,0.911,2.189,-0.711,0.0,0
346,0.942,0.735,-0.173,0.089,-0.032,0.0,0
347,1.278,2.107,-0.398,0.201,0.151,0.0,0
348,1.654,2.214,0.527,0.239,-0.145,0.0,0
349,3.421,0.493,1.118,-0.289,-0.112,0.0,0
350,1.152,1.524,0.412,0.298,-0.192,0.0,0
351,2.372,0.421,0.201,0.125,0.092,0.0,0
352,0.934,2.045,-0.399,-0.183,-0.125,0.0,0
353,0.347,1.722,0.589,0.312,0.142,0.0,0
354,0.548,0.782,1.827,1.465,0.682,1.0,0
355,0.197,0.523,0.738,1.792,-0.582,1.0,0
356,0.382,2.093,0.856,-0.215,0.198,0.0,0
357,0.315,0.781,1.072,1.328,-0.352,0.0,0
358,2.042,1.369,0.341,0.432,0.712,0.0,0
359,1.975,1.063,-0.075,0.145,0.132,0.0,0
360,0.312,1.478,0.812,1.015,-0.398,0.0,0
361,0.752,3.057,-0.534,0.657,0.412,1.0,0
362,1.702,1.843,-0.294,-0.132,-0.089,0.0,0
363,0.678,1.425,-0.802,1.172,-0.319,1.0,0
364,0.402,1.298,1.315,0.604,-0.239,0.0,0
365,1.389,0.854,0.482,-0.098,-0.057,0.0,0
366,-0.248,0.712,1.389,-0.742,-0.519,0.0,0
367,0.335,0.872,2.195,1.489,1.287,1.0,0
368,0.963,1.732,0.612,0.649,-0.193,1.0,0
369,0.221,0.479,0.802,0.737,0.743,1.0,0
370,0.612,2.832,-0.421,0.278,0.342,0.0,0
371,0.784,1.537,0.487,0.324,-0.278,0.0,0
372,0.824,2.564,0.732,0.489,0.879,0.0,0
373,0.271,0.923,-0.412,-0.395,0.392,0.0,0
374,0.263,0.811,2.172,-0.672,0.013,0.0,0
375,0.715,2.134,-0.317,0.166,0.102,0.0,0
376,0.289,1.582,2.542,-0.769,0.012,0.0,0
377,0.754,1.762,0.834,0.472,0.314,1.0,0
378,0.482,2.289,1.798,0.726,-0.271,0.0,0
379,0.589,0.612,1.489,0.823,0.407,1.0,0
380,0.672,2.432,0.789,0.621,1.013,0.0,0
381,0.112,0.498,0.312,0.589,0.056,1.0,0
382,1.742,0.924,0.203,0.149,0.245,0.0,0
383,0.913,1.682,0.532,0.298,-0.278,0.0,0
384,0.251,2.143,0.832,1.372,-0.397,1.0,0
385,0.483,2.513,-0.543,0.328,-0.124,0.0,0
386,2.157,0.789,0.372,-0.198,0.412,0.0,0
387,0.134,0.329,0.401,-0.652,-0.972,0.0,0
388,0.173,1.024,0.661,1.294,1.132,1.0,0
389,0.304,0.789,1.031,1.096,-0.321,1.0,0
390,0.512,1.234,0.123,0.456,0.0,1.0,0
391,0.928,2.345,-0.567,-0.123,0.0,0.0,0
392,0.456,0.789,1.678,0.987,0.654,1.0,0
393,0.312,0.567,0.543,0.876,0.0,0.0,0
394,0.678,1.89,-0.234,-0.456,0.123,0.0,0
395,-0.123,1.456,0.789,-0.987,0.321,0.0,0
396,0.234,0.456,0.876,1.234,1.098,1.0,0
397,1.123,2.678,-0.345,0.123,0.567,0.0,0
398,0.789,1.567,0.234,0.678,0.0,1.0,0
399,0.345,2.234,-0.123,-0.567,0.234,0.0,0
400,0.312,0.754,0.812,-0.982,0.0,0.0,0
401,0.432,2.312,-0.652,-0.312,-0.132,1.0,0
402,0.265,0.695,1.602,1.395,-0.412,0.0,0
403,3.102,-0.298,0.198,0.312,-0.085,0.0,0
404,0.678,1.032,2.198,-0.382,0.512,0.0,0
405,-0.095,0.712,1.482,0.0,0.0,1.0,0
406,0.365,1.782,2.512,-0.602,-0.252,0.0,0
407,0.342,0.812,0.732,1.162,1.312,1.0,0
408,0.281,1.232,0.752,0.892,0.0,1.0,0
409,2.032,1.982,-0.452,-0.172,-0.092,0.0,0
410,0.512,2.134,1.102,1.472,-0.423,1.0,0
411,0.601,1.152,0.989,2.187,-0.712,1.0,0
412,2.384,0.278,0.162,0.192,-0.072,0.0,0
413,0.576,0.589,2.312,1.134,0.526,1.0,0
414,0.179,1.091,1.641,-0.701,0.012,0.0,0
415,2.142,0.398,-0.104,-0.074,-0.062,0.0,0
416,0.389,2.376,0.823,0.372,0.219,0.0,0
417,1.176,2.756,0.947,-0.274,0.153,0.0,0
418,2.521,-0.231,0.227,0.203,-0.089,0.0,0
419,0.354,2.874,-0.648,0.569,1.012,0.0,0
420,0.489,-0.923,-1.21,-0.645,-0.32,0.0,0
421,1.102,2.31,1.512,-0.415,-0.172,1.0,0
422,0.412,2.187,1.465,1.015,0.045,0.0,0
423,1.205,2.354,1.274,-0.233,-0.14,1.0,0
424,1.29,1.38,-0.19,-0.099,-0.065,0.0,0
425,0.392,1.489,1.59,0.995,1.02,0.0,0
426,2.601,0.995,0.27,0.075,-0.06,0.0,0
427,1.31,2.18,-0.32,-0.178,0.32,0.0,0
428,0.54,2.75,-0.42,1.21,-0.36,0.0,0
429,0.67,2.67,-0.59,0.35,0.58,1.0,0
430,1.234,0.612,0.345,0.245,-0.165,0.0,0
431,0.312,0.589,0.789,2.112,1.045,1.0,0
432,0.098,0.432,0.712,-0.275,0.012,0.0,0
433,2.923,0.745,-0.132,0.215,-0.075,0.0,0
434,0.256,1.602,1.198,-0.495,0.015,0.0,0
435,0.432,0.575,2.035,0.895,0.678,1.0,0
436,0.358,1.489,0.967,-0.312,0.472,0.0,0
437,3.256,0.734,0.289,-0.195,0.601,0.0,0
438,1.115,0.728,-0.112,0.075,-0.06,0.0,0
439,0.172,0.715,1.032,2.082,-0.615,0.0,0
440,0.712,0.587,1.254,2.117,-0.612,0.0,0
441,0.589,2.482,1.107,0.473,-0.237,0.0,0
442,0.082,0.392,0.298,0.443,0.05,0.0,0
443,0.971,0.424,1.921,-0.613,0.32,1.0,0
444,0.34,-0.792,1.367,-0.485,0.503,1.0,0
445,3.216,-0.34,-0.12,0.121,-0.08,0.0,0
446,0.845,1.914,-0.362,0.187,0.05,0.0,0
447,0.114,0.528,1.067,0.01,0.01,0.0,0
448,0.389,1.743,1.366,-0.492,-0.272,0.0,0
449,1.561,1.124,1.257,0.749,0.626,1.0,0
450,0.25,1.25,0.85,1.0,-0.3,0.0,0
451,0.22,1.5,1.3,0.6,0.1,0.0,0
452,0.3,1.7,1.5,1.5,-0.6,1.0,0
453,0.32,2.0,1.4,0.7,0.3,0.0,0
454,0.5,2.1,1.6,-0.5,0.05,0.0,0
455,0.88,2.2,-0.5,-0.2,0.2,0.0,0
456,0.19,0.9,2.3,-0.6,0.0,0.0,0
457,0.21,0.7,1.0,1.4,-0.4,0.0,0
458,0.18,0.5,0.7,-0.8,1.8,0.0,0
459,0.24,1.8,-0.4,0.4,-0.1,0.0,0
460,0.123,0.489,0.678,1.2,0.05,1.0,0
461,0.25,0.8,1.1,1.0,-0.2,0.0,0
462,0.3,1.15,0.95,-0.3,-0.15,0.0,0
463,0.45,2.0,1.4,0.7,0.1,0.0,0
464,0.2,0.7,1.0,1.6,0.05,0.0,0
465,0.8,0.9,0.3,0.1,0.1,0.0,0
466,0.6,1.7,1.5,-0.4,-0.5,0.0,0
467,0.35,1.4,2.1,-0.6,-0.4,0.0,0
468,-0.4,-0.7,1.0,-0.5,-0.3,1.0,0
469,0.4,0.8,0.8,1.1,1.1,1.0,0
470,0.472,0.612,2.35,0.945,0.587,1.0,0
471,0.198,1.032,1.904,-0.523,0.02,0.0,0
472,0.172,0.392,0.487,-0.612,1.812,0.0,0
473,0.559,2.389,1.092,1.302,-0.349,1.0,0
474,-0.225,-0.502,0.612,1.082,0.01,0.0,0
475,0.145,0.344,0.635,1.528,-0.861,1.0,0
476,0.592,2.899,-0.805,0.536,-0.191,0.0,0
477,0.174,0.652,0.729,1.912,-0.752,0.0,0
