,Aa,Ao,Dcl,Iy,Sh,Class,real_identifier
73,3.082,-0.082,0.351,0.269,0.191,0.0,0
74,-0.351,1.219,2.351,0.492,-0.596,0.0,0
75,0.459,1.082,1.219,1.351,-0.928,1.0,0
76,2.596,0.596,-0.082,0.082,0.082,0.0,0
77,2.219,0.351,0.219,0.219,-0.082,0.0,0
78,0.082,0.928,2.596,-0.596,0.351,0.0,0
79,0.219,1.219,2.928,-0.928,-0.351,0.0,0
80,0.893,2.351,1.219,-0.185,0.459,1.0,0
81,1.351,0.982,-0.629,0.463,-0.011,0.0,0
82,0.654,1.394,1.851,1.431,-0.934,1.0,0
83,0.479,2.693,1.982,-0.649,-0.387,1.0,0
84,0.426,1.982,-0.853,0.219,-0.283,0.0,0
85,1.987,0.927,0.463,0.254,-0.269,0.0,0
86,2.531,-0.151,0.351,0.187,0.141,0.0,0
87,0.583,2.987,1.011,0.595,-0.403,1.0,0
88,0.928,2.311,0.783,0.819,0.467,1.0,0
89,0.394,0.911,1.012,-0.531,0.092,1.0,0
90,0.819,1.854,1.493,0.927,-0.582,1.0,0
91,0.351,2.135,0.628,-0.219,0.191,0.0,0
92,1.032,1.082,2.419,1.459,0.823,1.0,0
93,0.191,2.763,-0.157,0.671,-0.958,0.0,0
94,0.742,1.351,1.983,-0.483,0.275,0.0,0
95,0.958,0.859,0.492,1.082,-0.141,1.0,0
96,0.469,2.469,1.753,0.199,0.631,0.0,0
97,0.138,0.938,0.859,-0.859,-0.503,0.0,0
98,0.866,1.624,2.055,1.355,0.955,1.0,0
99,0.294,2.082,0.111,0.849,-0.729,0.0,0
100,0.542,2.351,1.019,-0.492,0.278,0.0,0
101,0.187,0.821,0.592,1.351,-0.517,1.0,0
102,0.461,1.192,2.058,0.819,1.064,1.0,0
103,0.294,0.654,1.849,-0.271,-0.982,0.0,0
104,0.139,0.491,0.934,1.793,-0.596,1.0,0
105,0.482,0.927,2.421,0.459,1.253,1.0,0
106,0.266,0.583,1.631,1.562,-0.854,0.0,0
107,0.628,2.983,1.351,0.759,-0.316,0.0,0
108,1.956,1.351,0.592,0.421,-0.193,0.0,0
109,0.362,1.053,1.649,1.191,-0.725,1.0,0
110,2.911,0.823,-0.198,0.034,0.013,0.0,0
111,0.289,2.838,-0.734,0.839,1.391,0.0,0
112,0.946,1.457,1.024,-0.451,-0.254,0.0,0
113,0.619,0.859,-0.412,-0.192,-0.098,0.0,0
114,1.147,2.274,0.538,0.301,-0.151,0.0,0
115,0.354,1.982,-0.496,0.415,0.191,0.0,0
116,2.542,0.459,-0.141,-0.083,0.056,0.0,0
117,0.491,2.091,1.893,1.621,-0.481,0.0,0
118,1.038,2.819,-0.319,0.231,0.101,0.0,0
119,0.792,1.351,0.819,-0.631,-0.321,1.0,0
120,0.513,2.135,0.619,0.829,1.091,0.0,0
121,1.049,1.753,-0.197,-0.269,-0.183,0.0,0
122,0.278,0.985,0.956,1.192,0.812,1.0,0
123,0.842,2.191,-0.482,-0.232,0.031,0.0,0
124,2.351,0.457,0.294,0.142,0.109,0.0,0
125,0.421,1.463,1.394,-0.537,0.0,0.0,0
126,1.192,2.157,-0.363,-0.173,0.218,0.0,0
127,0.358,0.751,0.449,1.091,0.0,1.0,0
128,0.947,2.265,-0.394,-0.201,-0.051,0.0,0
129,0.188,1.061,1.499,-0.488,0.0,0.0,0
130,1.082,1.917,-0.191,0.035,-0.301,0.0,0
131,0.598,0.831,1.193,-0.693,0.191,1.0,0
132,1.451,2.269,0.043,-0.351,0.118,0.0,0
133,0.819,1.014,0.898,0.562,-0.502,1.0,0
134,1.269,0.698,0.231,0.191,-0.079,0.0,0
135,0.091,1.187,0.463,-0.438,0.0,0.0,0
136,0.419,1.041,1.082,0.831,1.091,1.0,0
137,1.304,1.819,-0.269,-0.198,0.219,0.0,0
138,0.243,0.964,2.191,-0.504,0.0,0.0,0
139,1.082,1.269,0.082,0.191,-0.301,0.0,0
140,1.851,1.193,-0.531,-0.157,0.051,0.0,0
141,2.981,-0.482,0.351,0.191,-0.141,0.0,0
142,0.693,2.351,-0.492,-0.201,-0.082,0.0,0
143,0.258,0.751,1.082,2.351,0.013,1.0,0
144,1.419,2.019,-0.351,-0.129,-0.095,0.0,0
145,0.482,1.208,2.191,-0.591,0.851,1.0,0
146,0.591,0.691,1.819,-0.751,0.401,1.0,0
147,0.201,0.691,0.958,2.591,-0.901,0.0,0
148,2.351,-0.482,-0.201,-0.095,-0.051,0.0,0
149,0.901,2.691,-0.482,-0.251,-0.151,0.0,0
150,0.851,1.982,-0.187,0.491,0.082,0.0,0
151,0.419,0.831,1.351,1.019,0.599,1.0,0
152,1.039,2.469,-0.269,0.356,-0.236,0.0,0
153,0.191,0.442,0.538,1.426,0.0,0.0,0
154,2.953,0.087,0.243,-0.145,-0.193,0.0,0
155,0.982,1.139,0.461,0.319,-0.082,0.0,0
156,0.139,0.351,0.391,1.693,1.849,0.0,0
157,1.261,2.191,-0.436,0.278,0.191,0.0,0
158,0.721,0.649,2.151,-0.531,0.451,1.0,0
159,0.061,0.291,0.411,0.491,0.0,0.0,0
160,0.913,2.351,1.049,0.219,-0.481,0.0,0
161,1.851,0.192,2.113,1.039,0.837,1.0,0
162,0.592,3.498,-0.831,-0.355,0.192,0.0,0
163,2.193,1.292,0.475,-0.191,-0.913,0.0,0
164,0.819,0.851,1.934,0.699,0.462,1.0,0
165,1.499,2.699,-0.192,0.851,-0.135,0.0,0
166,0.351,1.193,0.699,1.462,0.699,1.0,0
167,2.699,0.498,1.192,-0.699,0.192,0.0,0
168,0.999,2.851,-0.498,0.351,0.851,0.0,0
169,1.292,0.699,1.851,0.192,-0.498,1.0,0
170,0.831,0.938,1.509,1.013,1.921,1.0,0
171,2.539,0.542,-0.251,-0.141,-0.108,0.0,0
172,0.492,0.613,1.963,2.235,-0.831,1.0,0
173,0.193,0.803,0.531,0.901,0.061,1.0,0
174,1.637,2.087,-0.641,-0.231,0.151,0.0,0
175,0.282,1.231,1.807,-0.651,0.061,0.0,0
176,0.372,2.142,0.761,0.421,0.061,0.0,0
177,0.317,1.218,1.927,-0.811,-0.351,0.0,0
178,0.621,1.243,1.061,1.305,1.753,1.0,0
179,2.471,0.693,-0.171,0.131,0.082,0.0,0
180,0.819,1.059,0.469,1.351,0.628,0.0,0
181,1.192,-0.192,0.082,-0.421,0.351,0.0,0
182,0.275,2.011,1.982,0.191,-0.592,1.0,0
183,0.481,0.811,-0.819,1.099,1.439,0.0,0
184,2.538,-0.538,0.269,-0.269,-0.082,0.0,0
185,0.634,1.351,0.082,0.538,-0.269,0.0,0
186,1.099,-0.099,0.538,0.082,0.192,0.0,0
187,0.192,2.269,1.538,-0.634,-0.634,1.0,0
188,2.011,-0.351,-0.192,-0.082,0.082,0.0,0
189,0.538,0.634,2.011,0.351,0.538,1.0,0
190,0.928,1.392,1.631,1.431,-0.191,1.0,0
191,0.781,1.982,1.193,1.035,0.859,0.0,0
192,0.462,1.751,1.356,0.621,-0.341,0.0,0
193,1.191,0.911,1.855,1.712,-0.503,1.0,0
194,3.181,-0.151,0.249,0.141,-0.081,0.0,0
195,0.301,0.864,1.793,1.022,0.509,1.0,0
196,0.588,2.351,1.036,0.463,-0.251,0.0,0
197,1.039,2.859,-0.351,-0.141,0.319,0.0,0
198,0.261,1.519,2.082,1.061,1.221,0.0,0
199,0.351,2.129,-0.469,0.381,-0.151,0.0,0
200,1.351,1.082,0.941,0.854,-0.219,0.0,0
201,0.819,2.351,0.467,1.219,0.351,1.0,0
202,2.192,0.854,0.193,0.492,-0.084,0.0,0
203,0.628,1.917,1.083,0.917,0.146,0.0,0
204,1.083,1.628,-0.146,-0.083,0.251,0.0,0
205,0.917,2.083,0.628,0.628,0.628,1.0,0
206,-0.083,1.628,1.628,0.628,0.0,0.0,0
207,0.146,0.628,0.917,0.917,0.0,1.0,0
208,0.628,0.917,1.083,2.083,-0.628,0.0,0
209,2.628,0.628,0.146,0.146,-0.628,0.0,0
210,0.813,1.191,-0.082,-0.319,1.057,0.0,0
211,0.459,2.698,1.278,0.982,-0.058,0.0,0
212,0.191,0.947,0.269,1.501,2.481,0.0,0
213,1.047,1.819,1.854,0.591,0.651,1.0,0
214,0.714,2.354,-0.651,0.814,0.231,1.0,0
215,0.351,0.574,1.693,-0.661,0.891,1.0,0
216,0.628,3.129,-0.313,0.459,-0.419,0.0,0
217,0.893,1.044,0.859,1.282,0.751,1.0,0
218,0.401,0.822,1.481,-0.278,2.355,0.0,0
219,0.675,2.927,0.098,0.934,-0.623,0.0,0
220,0.823,2.193,1.219,0.931,-0.542,0.0,0
221,0.491,1.082,0.893,1.452,0.753,1.0,0
222,0.657,2.651,-0.281,-0.082,0.351,0.0,0
223,0.275,0.859,1.351,0.982,-0.859,1.0,0
224,0.934,2.394,-0.192,0.219,0.142,0.0,0
225,0.438,1.501,0.628,1.193,0.394,0.0,0
226,0.781,2.819,1.035,-0.351,-0.692,0.0,0
227,0.592,1.351,0.851,0.751,0.219,1.0,0
228,0.351,0.964,1.469,1.219,-0.219,0.0,0
229,0.823,2.592,-0.394,0.542,0.082,0.0,0
230,0.819,1.351,0.275,0.431,-0.256,0.0,0
231,1.463,0.598,-0.193,0.019,0.118,0.0,0
232,0.391,2.219,1.082,1.051,-0.457,1.0,0
233,0.958,1.082,-0.519,0.693,0.851,0.0,0
234,0.176,0.811,0.631,-0.351,-0.082,0.0,0
235,1.027,2.354,0.049,0.236,-0.418,0.0,0
236,0.531,0.269,1.355,1.191,0.011,1.0,0
237,0.854,1.493,-0.227,-0.495,0.269,0.0,0
238,1.394,0.943,0.191,0.061,-0.135,0.0,0
239,0.293,2.061,0.857,0.934,0.497,0.0,0
240,0.831,1.439,0.982,-0.359,0.231,0.0,0
241,1.059,2.191,-0.219,1.382,-0.594,1.0,0
242,0.492,0.911,1.691,-0.819,0.056,0.0,0
243,2.351,1.284,0.469,0.632,-0.275,0.0,0
244,0.718,1.853,1.035,1.958,0.421,0.0,0
245,0.275,2.463,-0.138,-0.947,0.194,1.0,0
246,1.493,0.859,2.058,-0.191,-0.459,1.0,0
247,0.636,1.038,0.851,0.785,0.012,0.0,0
248,0.954,1.712,1.426,-0.654,-0.817,0.0,0
249,0.381,0.693,1.958,1.269,0.351,0.0,0
250,1.814,1.351,0.191,0.817,0.459,0.0,0
251,0.482,1.893,1.351,2.059,-0.851,1.0,0
252,0.927,0.651,0.734,1.492,1.011,1.0,0
253,1.392,2.456,-0.392,-0.351,-0.234,0.0,0
254,0.193,1.194,2.194,-0.594,-0.481,0.0,0
255,2.593,1.032,0.593,-0.143,-0.082,0.0,0
256,0.759,2.851,-0.618,-0.291,-0.171,0.0,0
257,0.429,1.082,0.964,1.851,1.351,1.0,0
258,1.056,1.684,0.429,0.658,0.482,0.0,0
259,0.851,2.351,-0.351,-0.192,-0.114,0.0,0
260,0.819,1.259,1.912,0.492,-0.421,1.0,0
261,1.066,0.637,0.289,1.235,0.193,0.0,0
262,0.457,1.857,2.011,0.819,-0.268,1.0,0
263,1.542,1.394,0.954,0.172,1.095,0.0,0
264,0.598,0.895,1.811,1.326,0.035,1.0,0
265,1.259,1.664,0.512,0.542,-0.492,1.0,0
266,0.819,1.983,2.394,0.678,-0.172,0.0,0
267,1.457,1.055,0.819,1.095,0.268,1.0,0
268,0.193,1.695,1.509,0.492,-0.492,0.0,0
269,1.822,0.637,0.542,0.172,1.421,0.0,0
270,0.819,2.351,1.094,-0.598,-0.184,1.0,0
271,0.421,1.019,2.651,0.467,0.038,0.0,0
272,0.934,3.509,-0.819,1.091,-0.591,1.0,0
273,0.192,0.851,1.235,-0.757,1.032,0.0,0
274,0.631,2.182,0.492,0.269,-0.849,1.0,0
275,0.855,1.491,2.819,-0.492,-0.115,0.0,0
276,0.394,3.627,-0.351,0.814,0.058,1.0,0
277,0.743,1.038,1.892,-0.933,-0.491,0.0,0
278,0.981,2.497,-0.192,1.059,-0.734,1.0,0
279,0.524,0.618,2.351,0.139,1.049,0.0,0
280,1.819,1.192,-0.191,0.457,-0.219,0.0,0
281,0.682,1.835,2.542,-0.692,0.0,0.0,0
282,2.197,0.823,1.351,0.381,-0.509,0.0,0
283,0.991,1.467,0.849,-0.219,0.191,0.0,0
284,1.587,1.032,2.981,-0.941,-0.457,0.0,0
285,0.557,0.672,0.988,1.732,-0.743,0.0,0
286,2.629,1.621,-0.449,0.272,0.191,0.0,0
287,0.84,1.247,1.899,-0.457,0.0,0.0,0
288,1.071,1.989,-0.272,0.219,-0.219,0.0,0
289,0.394,0.94,2.449,-0.649,-0.381,0.0,0
290,1.032,0.819,1.351,0.951,-0.187,1.0,0
291,0.459,2.118,-0.191,0.275,1.059,0.0,0
292,1.493,1.061,0.832,-0.458,-0.301,0.0,0
293,0.693,0.937,2.046,1.221,0.562,0.0,0
294,1.817,2.351,-0.621,0.083,-0.049,0.0,0
295,0.381,1.849,1.495,-0.191,0.829,1.0,0
296,0.956,0.671,0.913,0.712,-0.391,0.0,0
297,1.275,2.083,-0.278,-0.534,1.242,0.0,0
298,0.592,1.394,1.854,0.936,-0.161,1.0,0
299,1.065,0.858,0.492,-0.269,0.756,0.0,0
300,0.184,0.831,1.411,1.951,-0.734,1.0,0
301,0.292,0.601,0.911,0.781,-0.192,1.0,0
302,0.141,0.191,0.235,-0.591,1.191,1.0,0
303,0.251,1.201,2.991,-0.951,0.0,0.0,0
304,0.104,0.501,0.851,2.691,0.0,1.0,0
305,0.351,2.991,-0.701,0.531,0.821,0.0,0
306,0.116,0.431,0.901,0.791,0.0,1.0,0
307,0.281,1.151,2.391,-0.791,-0.951,1.0,0
308,0.691,2.591,-0.671,-0.351,-0.191,0.0,0
309,2.151,0.691,-0.141,0.141,-0.081,0.0,0
310,0.531,1.039,0.193,0.819,-0.181,0.0,0
311,1.253,2.514,-0.892,0.351,0.492,1.0,0
312,0.862,1.831,-0.459,1.269,-0.394,1.0,0
313,0.141,0.693,1.052,0.467,-0.558,0.0,0
314,1.082,1.194,0.817,-0.251,-0.135,0.0,0
315,0.654,3.062,-0.687,0.934,0.267,1.0,0
316,0.275,1.432,1.835,1.083,1.036,1.0,0
317,0.989,0.854,0.351,-0.492,-0.273,0.0,0
318,0.473,1.913,-0.234,0.759,-0.431,1.0,0
319,1.419,1.059,0.593,0.192,-0.082,0.0,0
320,0.278,2.194,-0.192,0.481,-0.082,0.0,0
321,0.651,1.351,1.351,0.192,0.651,0.0,0
322,0.819,2.819,0.351,-0.192,0.278,1.0,0
323,0.351,1.819,-0.819,0.651,0.192,0.0,0
324,0.192,2.651,1.192,-0.278,0.819,0.0,0
325,0.819,1.192,-0.278,0.819,0.351,1.0,0
326,0.278,2.351,0.651,-0.819,0.192,0.0,0
327,0.651,2.192,-0.351,0.278,0.819,0.0,0
328,0.351,1.278,1.819,0.192,-0.651,1.0,0
329,0.192,2.819,0.192,-0.351,0.278,0.0,0
330,0.941,2.351,0.732,0.627,1.351,0.0,0
331,0.421,1.193,0.596,0.854,-0.192,1.0,0
332,1.493,0.968,0.275,0.481,0.692,0.0,0
333,0.653,1.882,0.814,1.051,-0.581,1.0,0
334,0.381,2.429,0.956,0.278,-0.817,0.0,0
335,1.012,0.854,0.618,-0.351,0.927,0.0,0
336,0.819,2.093,-0.489,0.692,-0.269,0.0,0
337,0.269,0.467,0.531,-0.815,-1.234,0.0,0
338,0.194,1.351,0.751,1.467,1.031,1.0,0
339,0.436,0.928,1.193,0.956,-0.481,1.0,0
340,0.191,1.351,0.085,0.219,0.0,0.0,0
341,0.817,0.492,0.638,-0.319,0.0,1.0,0
342,0.431,2.193,0.179,0.756,0.0,0.0,0
343,0.651,1.912,0.977,0.569,0.0,1.0,0
344,0.275,0.816,-0.191,0.394,0.0,0.0,0
345,0.135,2.438,0.654,0.179,0.0,0.0,0
346,0.383,1.194,-0.426,0.805,0.0,0.0,0
347,0.593,0.817,0.216,-0.069,0.0,1.0,0
348,0.824,0.679,0.361,0.491,0.0,0.0,0
349,0.459,2.011,0.571,0.281,0.0,0.0,0
350,0.191,0.854,1.023,-0.935,0.201,0.0,0
351,0.472,2.191,-0.521,0.078,-0.251,1.0,0
352,0.309,0.741,1.911,1.351,-0.511,0.0,0
353,2.944,-0.131,0.291,0.361,-0.161,0.0,0
354,0.639,1.081,2.191,-0.451,0.571,0.0,0
355,-0.151,0.751,1.461,0.051,0.051,1.0,0
356,0.381,1.871,2.621,-0.671,-0.321,0.0,0
357,0.381,0.851,0.741,1.211,1.361,1.0,0
358,0.251,1.281,0.781,0.861,0.051,1.0,0
359,2.051,1.971,-0.481,-0.171,-0.141,0.0,0
360,0.821,1.935,1.501,0.938,-0.219,1.0,0
361,1.753,0.482,0.319,0.421,-0.082,0.0,0
362,0.275,2.051,1.839,1.934,0.475,1.0,0
363,2.319,-0.115,0.461,0.269,-0.141,0.0,0
364,0.517,1.402,0.933,-0.492,0.082,0.0,0
365,1.043,2.594,0.819,-0.191,0.234,0.0,0
366,0.689,0.859,2.351,1.253,0.631,1.0,0
367,2.078,0.351,-0.201,-0.142,-0.067,0.0,0
368,0.436,2.179,0.591,0.482,0.291,0.0,0
369,1.854,-0.031,0.378,0.231,-0.118,0.0,0
370,1.421,2.039,1.184,-0.529,-0.237,1.0,0
371,0.893,1.846,0.935,0.814,0.079,0.0,0
372,1.091,2.671,1.516,-0.191,-0.115,1.0,0
373,0.562,1.991,1.081,1.061,0.942,0.0,0
374,1.483,2.355,-0.011,-0.073,-0.049,0.0,0
375,0.415,2.018,1.351,1.036,1.076,0.0,0
376,2.394,1.146,0.415,0.133,-0.083,0.0,0
377,1.186,2.419,-0.246,-0.133,0.299,0.0,0
378,0.634,2.812,-0.395,1.201,-0.302,0.0,0
379,0.702,2.755,-0.548,0.406,0.592,1.0,0
380,2.459,0.848,0.191,-0.412,-0.258,0.0,0
381,0.392,1.274,1.531,1.219,0.823,1.0,0
382,0.831,0.935,0.059,0.493,-0.235,0.0,0
383,1.429,0.619,-0.351,-0.082,0.156,0.0,0
384,0.273,1.082,0.982,0.061,0.199,0.0,0
385,2.991,0.742,0.463,-0.351,0.542,0.0,0
386,0.599,0.901,1.693,1.854,0.274,1.0,0
387,1.191,1.429,0.258,-0.194,-0.099,0.0,0
388,0.438,0.765,0.917,0.719,0.445,0.0,0
389,2.538,0.632,-0.193,0.429,-0.314,0.0,0
390,1.185,1.039,1.519,-0.219,0.457,1.0,0
391,0.492,0.819,0.628,0.946,-0.359,0.0,0
392,2.059,-0.059,1.082,-0.85,0.192,0.0,0
393,0.719,2.481,0.399,0.082,0.0,0.0,0
394,0.859,-0.49,1.934,0.394,-0.531,1.0,0
395,0.268,0.982,0.655,0.0,0.0,0.0,0
396,1.367,0.458,1.247,-0.625,0.699,1.0,0
397,0.175,1.645,0.92,0.467,-0.199,0.0,0
398,0.421,0.141,1.452,0.252,0.0,0.0,0
399,0.935,0.689,0.811,-0.376,0.422,1.0,0
400,0.288,1.039,1.854,0.892,-0.293,0.0,0
401,0.461,2.351,1.071,-0.139,0.497,0.0,0
402,0.193,0.851,0.438,1.628,-0.836,0.0,0
403,0.342,1.982,-0.191,0.651,0.082,0.0,0
404,0.528,2.018,1.817,-0.855,0.0,0.0,0
405,0.249,1.456,1.351,1.191,-0.219,0.0,0
406,0.187,0.619,2.459,-0.492,0.0,0.0,0
407,0.304,1.714,1.593,0.981,-0.654,0.0,0
408,0.219,0.964,0.819,-0.678,1.491,0.0,0
409,0.492,2.392,-0.557,0.436,-0.235,0.0,0
410,0.191,1.049,1.182,0.813,-0.117,0.0,0
411,-0.235,0.492,0.854,1.351,0.0,1.0,0
412,0.538,2.181,1.492,-0.293,-0.631,0.0,0
413,0.118,0.819,0.692,1.928,0.0,0.0,0
414,0.463,1.394,1.068,-0.658,-0.271,0.0,0
415,0.782,0.958,0.421,0.251,0.193,0.0,0
416,0.289,1.732,1.854,-0.482,-0.542,0.0,0
417,-0.317,-0.592,1.216,-0.596,-0.351,1.0,0
418,0.501,0.881,0.911,1.403,1.082,1.0,0
419,0.219,1.261,1.426,0.592,0.0,0.0,0
420,0.492,1.193,1.531,0.813,0.382,1.0,0
421,0.275,0.956,2.351,-0.291,1.032,0.0,0
422,0.394,2.161,0.819,1.499,-0.549,1.0,0
423,0.157,0.492,1.912,-0.835,0.862,0.0,0
424,0.621,1.854,2.469,1.058,-0.192,1.0,0
425,0.442,0.793,1.269,0.692,1.194,0.0,0
426,0.529,2.582,0.391,0.354,-0.764,0.0,0
427,0.295,1.031,2.082,1.651,0.0,1.0,0
428,0.469,0.661,1.449,-0.459,1.481,0.0,0
429,0.572,1.467,2.318,1.266,-0.615,1.0,0
430,0.817,2.113,0.692,0.835,-0.115,0.0,0
431,2.509,1.295,-0.281,0.194,0.558,0.0,0
432,0.142,3.021,-0.859,-0.538,0.269,0.0,0
433,1.493,2.318,-0.817,0.961,0.618,0.0,0
434,0.061,0.813,1.683,1.849,0.082,0.0,0
435,0.341,0.762,0.529,1.913,-0.882,1.0,0
436,0.506,1.956,1.193,-0.721,0.429,0.0,0
437,2.831,1.151,0.542,-0.351,-0.201,0.0,0
438,0.289,0.588,1.351,1.754,0.921,0.0,0
439,0.441,0.491,1.612,1.573,-0.893,0.0,0
440,0.531,1.082,0.871,0.459,0.193,1.0,0
441,2.811,0.693,-0.251,0.187,-0.059,0.0,0
442,0.854,1.438,1.193,0.592,1.016,1.0,0
443,0.278,0.259,-0.193,0.651,-0.851,1.0,0
444,2.191,0.415,0.195,0.235,-0.078,0.0,0
445,0.648,1.715,1.036,0.418,-0.181,0.0,0
446,1.012,1.509,-0.351,0.208,-0.102,0.0,0
447,0.748,1.016,1.663,0.562,-0.257,1.0,0
448,0.519,2.655,-0.505,-0.241,-0.173,0.0,0
449,0.381,0.529,1.753,1.572,1.454,1.0,0
0,0.737,2.504,-0.467,0.255,-0.257,0.0,1
1,1.601,2.2,1.09,0.576,-0.168,0.0,1
2,2.131,1.245,0.448,0.45,0.656,0.0,1
3,0.208,0.406,0.625,1.704,1.572,1.0,1
4,0.345,1.708,0.567,0.246,0.138,0.0,1
5,1.364,0.808,1.355,-0.511,-0.38,1.0,1
6,0.598,1.798,0.479,-0.177,0.0,0.0,1
7,0.4,1.334,1.457,1.883,0.0,1.0,1
8,0.292,1.056,2.459,-0.652,-0.338,0.0,1
9,0.794,1.828,0.782,0.201,0.12,0.0,1
10,1.047,2.068,1.532,-0.297,-0.138,1.0,1
11,0.352,0.733,2.174,1.247,1.489,1.0,1
12,0.312,0.847,0.564,1.911,-0.682,0.0,1
13,2.957,0.36,1.436,-0.266,-0.128,0.0,1
14,0.58,1.224,1.911,1.786,-0.516,1.0,1
15,0.788,2.615,1.061,0.653,0.542,1.0,1
16,0.062,0.311,0.418,-0.534,0.0,0.0,1
17,0.207,0.799,1.264,2.152,-0.641,0.0,1
18,0.639,2.275,1.741,-0.418,-0.247,0.0,1
19,-0.15,1.436,2.41,-0.653,0.0,0.0,1
20,0.528,3.087,-0.664,-0.29,-0.186,0.0,1
21,2.041,0.906,0.385,0.279,0.474,0.0,1
22,0.544,0.698,2.078,-0.483,0.685,1.0,1
23,0.487,2.897,-0.553,0.567,0.831,1.0,1
24,0.271,0.641,0.805,2.283,-1.064,1.0,1
25,0.122,0.434,1.069,2.338,0.0,0.0,1
26,1.067,2.209,-0.336,-0.142,0.106,0.0,1
27,0.249,1.039,3.199,-0.81,-0.372,0.0,1
28,1.181,1.305,0.7,1.809,-0.498,0.0,1
