,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,real_identifier
23,6.0,306.0,0.0,0.0,85.0,1823.8095,0.0085,0.0261,0.0,0.0,9.0,2.0,2.0,6.0,3.0,2.0,0.0,0.0,0
24,3.0,135.0,0.0,0.0,19.0,641.0,0.0054,0.0119,0.0,0.0,5.0,3.0,2.0,1.0,2.0,2.0,1.0,0.0,0
25,0.0,0.0,1.0,15.0,10.0,403.0,0.0417,0.0455,0.0,0.0,6.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0
26,2.0,83.0,0.0,0.0,8.0,317.5,0.0,0.0588,0.0,0.0,6.0,1.0,2.0,3.0,2.0,2.0,1.0,0.0,0
27,5.0,215.0,0.0,0.0,43.0,1559.0,0.0035,0.0081,20.0,0.0,5.0,4.0,2.0,2.0,2.0,0.0,1.0,0.0,0
28,0.0,0.0,3.0,294.0,65.0,1503.3077,0.0,0.0059,140.0,0.0,6.0,2.0,4.0,3.0,3.0,2.0,1.0,1.0,0
29,7.0,161.0,4.0,54.0,72.0,2022.0833,0.0,0.0093,16.0,0.0,6.0,2.0,6.0,2.0,3.0,2.0,0.0,0.0,0
30,1.0,48.0,0.0,0.0,5.0,250.0,0.0,0.0667,0.0,0.0,6.0,1.0,2.0,3.0,2.0,2.0,1.0,0.0,0
31,3.0,201.5,2.0,291.0,25.0,1039.9583,0.0063,0.0319,10.3589,0.0,3.0,1.0,3.0,6.0,3.0,2.0,1.0,0.0,0
32,2.0,143.0,1.0,19.0,17.0,831.4118,0.0049,0.0215,0.0,1.0,5.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0
33,0.0,0.0,3.0,421.0,29.0,1241.6897,0.0085,0.0448,16.1933,0.0,2.0,3.0,2.0,4.0,2.0,2.0,0.0,1.0,0
34,1.0,54.5,0.0,0.0,35.0,1155.2069,0.0072,0.0384,0.0,0.0,6.0,2.0,4.0,7.0,3.0,2.0,1.0,0.0,0
35,5.0,421.5,0.0,0.0,20.0,941.6833,0.0056,0.0291,12.0751,1.0,4.0,1.0,3.0,5.0,1.0,2.0,0.0,0.0,0
36,0.0,0.0,1.0,15.0,32.0,1091.1875,0.0093,0.0462,0.0,0.0,3.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,0
37,2.0,161.0,2.0,306.0,24.0,1015.2083,0.0068,0.0336,10.9822,0.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,0
38,1.0,34.5,0.0,0.0,38.0,1206.7632,0.0081,0.0419,0.0,0.0,5.0,3.0,4.0,6.0,1.0,2.0,0.0,0.0,0
39,0.0,0.0,0.0,0.0,30.0,1059.2361,0.0075,0.0395,14.5198,1.0,2.0,1.0,2.0,4.0,2.0,2.0,0.0,1.0,0
40,4.0,383.5,1.0,20.0,26.0,1046.2692,0.0059,0.0283,12.4139,0.0,6.0,2.0,3.0,7.0,3.0,2.0,1.0,0.0,0
41,3.0,215.5,2.0,322.0,22.0,958.2273,0.0079,0.0406,11.6348,0.0,4.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0
42,3.0,45.8,2.0,120.0,18.0,501.8,0.005,0.045,0.0,0.0,4.0,2.0,2.0,5.0,5.0,2.0,0.0,0.0,0
43,2.0,31.2,1.0,60.0,22.0,732.2,0.002,0.012,0.0,0.0,3.0,1.0,2.0,4.0,6.0,2.0,0.0,0.0,0
44,0.0,0.0,3.0,180.0,15.0,390.0,0.007,0.056,0.0,0.0,2.0,3.0,2.0,7.0,9.0,2.0,0.0,0.0,0
45,1.0,25.0,0.0,0.0,10.0,200.0,0.01,0.09,0.0,0.0,10.0,2.0,2.0,8.0,7.0,2.0,1.0,0.0,0
46,0.0,0.0,0.0,0.0,25.0,625.0,0.005,0.02,0.0,0.0,11.0,2.0,2.0,9.0,10.0,2.0,0.0,0.0,0
47,2.0,40.0,0.0,0.0,12.0,240.0,0.003,0.036,0.0,0.0,12.0,1.0,2.0,10.0,11.0,2.0,0.0,0.0,0
48,1.0,20.0,2.0,100.0,20.0,500.0,0.006,0.048,0.0,0.0,1.0,2.0,2.0,1.0,12.0,2.0,1.0,0.0,0
49,0.0,0.0,0.0,0.0,30.0,750.0,0.004,0.016,0.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0
50,3.0,50.0,1.0,80.0,18.0,450.0,0.008,0.064,0.0,0.0,3.0,3.0,2.0,3.0,2.0,2.0,0.0,0.0,0
51,0.0,0.0,0.0,0.0,28.0,700.0,0.007,0.056,0.0,0.0,4.0,2.0,2.0,4.0,3.0,2.0,0.0,0.0,0
52,7.0,402.0,2.0,85.0,69.0,3021.0,0.005,0.021,3.0,0.0,4.0,2.0,3.0,5.0,3.0,2.0,0.0,1.0,0
53,1.0,35.0,1.0,40.0,29.0,2019.0,0.004,0.018,0.0,0.0,8.0,1.0,4.0,2.0,1.0,2.0,0.0,0.0,0
54,4.0,270.0,0.0,0.0,46.0,2819.0,0.007,0.014,2.0,0.0,5.0,3.0,1.0,6.0,5.0,2.0,0.0,1.0,0
55,0.0,0.0,0.0,0.0,21.0,1509.0,0.003,0.026,0.0,0.0,3.0,2.0,6.0,8.0,2.0,2.0,0.0,0.0,0
56,2.0,140.0,4.0,170.0,58.0,3109.0,0.002,0.012,5.0,0.0,9.0,1.0,5.0,4.0,4.0,2.0,0.0,1.0,0
57,6.0,390.0,0.0,0.0,82.0,4019.0,0.008,0.024,1.0,0.0,2.0,3.0,2.0,7.0,3.0,2.0,0.0,0.0,0
58,1.0,50.0,0.0,0.0,17.0,1209.0,0.006,0.022,0.0,0.0,10.0,2.0,3.0,3.0,1.0,2.0,0.0,0.0,0
59,3.0,220.0,2.0,80.0,49.0,2909.0,0.005,0.019,4.0,0.0,6.0,1.0,4.0,5.0,4.0,2.0,0.0,1.0,0
60,0.0,0.0,0.0,0.0,11.0,901.0,0.004,0.027,0.0,0.0,8.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,0
61,5.0,340.0,1.0,60.0,75.0,3809.0,0.007,0.016,3.0,0.0,5.0,2.0,6.0,9.0,5.0,2.0,0.0,1.0,0
62,2.0,57.3333,1.0,18.0,28.0,1042.7857,0.0074,0.0174,0.0,0.0,5.0,2.0,2.0,5.0,5.0,2.0,0.0,0.0,0
63,1.0,30.0,0.0,0.0,18.0,551.1111,0.0111,0.0222,0.0,0.0,3.0,3.0,2.0,2.0,12.0,2.0,1.0,0.0,0
64,0.0,0.0,2.0,40.5,39.0,1436.5385,0.0059,0.0159,0.0,0.0,2.0,2.0,2.0,6.0,9.0,2.0,0.0,0.0,0
65,3.0,90.0,0.0,0.0,22.0,831.3636,0.0085,0.0185,0.0,0.0,8.0,2.0,2.0,4.0,11.0,2.0,1.0,1.0,0
66,0.0,0.0,1.0,10.0,49.0,1817.6735,0.0063,0.0163,0.0,0.0,9.0,3.0,2.0,8.0,6.0,2.0,0.0,0.0,0
67,2.0,60.0,0.0,0.0,35.0,1303.9714,0.0095,0.0195,0.0,0.0,10.0,2.0,2.0,9.0,8.0,2.0,1.0,1.0,0
68,1.0,20.0,1.0,15.0,26.0,971.1538,0.0078,0.0178,0.0,0.0,11.0,2.0,2.0,5.0,7.0,2.0,0.0,0.0,0
69,0.0,0.0,0.0,0.0,42.0,1568.8095,0.0055,0.0155,0.0,0.0,1.0,3.0,2.0,10.0,4.0,2.0,1.0,1.0,0
70,4.0,120.0,2.0,36.0,58.0,2151.0345,0.0082,0.0182,0.0,0.0,6.0,2.0,2.0,2.0,10.0,2.0,0.0,0.0,0
71,3.0,90.0,1.0,12.0,31.0,1154.0323,0.0072,0.0172,0.0,0.0,4.0,2.0,2.0,1.0,3.0,2.0,1.0,0.0,0
72,8.0,218.5,2.0,120.0,18.0,1800.0,0.005,0.0333,10.0,0.0,3.0,3.0,3.0,5.0,6.0,1.0,1.0,0.0,0
73,1.0,15.0,0.0,0.0,8.0,480.0,0.0,0.02,0.0,0.0,9.0,1.0,1.0,2.0,5.0,2.0,0.0,0.0,0
74,4.0,120.0,1.0,90.0,12.0,900.0,0.01,0.04,20.0,0.0,8.0,2.0,4.0,8.0,3.0,1.0,1.0,1.0,0
75,3.0,60.0,0.0,0.0,10.0,600.0,0.005,0.03,0.0,0.0,4.0,3.0,3.0,6.0,2.0,2.0,0.0,0.0,0
76,6.0,180.0,2.0,120.0,16.0,1200.0,0.01,0.04,30.0,0.0,2.0,2.0,2.0,9.0,4.0,1.0,1.0,1.0,0
77,2.0,30.0,0.0,0.0,6.0,360.0,0.005,0.03,0.0,0.0,10.0,1.0,1.0,3.0,6.0,2.0,0.0,0.0,0
78,5.0,150.0,1.0,90.0,14.0,1050.0,0.01,0.04,25.0,0.0,5.0,3.0,4.0,7.0,3.0,1.0,1.0,1.0,0
79,1.0,10.0,0.0,0.0,4.0,240.0,0.005,0.03,0.0,0.0,11.0,2.0,2.0,4.0,5.0,2.0,0.0,0.0,0
80,4.0,120.0,1.0,90.0,12.0,900.0,0.01,0.04,20.0,0.0,6.0,3.0,3.0,5.0,2.0,1.0,1.0,1.0,0
81,3.0,90.0,0.0,0.0,10.0,600.0,0.005,0.03,0.0,0.0,7.0,2.0,4.0,8.0,4.0,2.0,0.0,0.0,0
82,1.0,23.1,1.0,15.6,18.0,451.2,0.0025,0.0123,15.2,0.0,9.0,3.0,3.0,4.0,5.0,1.0,0.0,0.0,0
83,5.0,90.5,2.0,30.8,22.0,631.9,0.0051,0.0182,8.5,0.0,4.0,2.0,4.0,5.0,9.0,1.0,0.0,0.0,0
84,2.0,51.9,0.0,0.0,15.0,395.1,0.0019,0.0095,12.1,0.0,10.0,4.0,1.0,6.0,6.0,0.0,0.0,1.0,0
85,4.0,77.3,1.0,20.4,20.0,533.9,0.0038,0.0149,10.9,0.0,3.0,1.0,2.0,2.0,4.0,2.0,0.0,0.0,0
86,1.0,29.5,0.0,0.0,12.0,316.2,0.0021,0.0103,14.5,0.0,11.0,3.0,3.0,3.0,7.0,1.0,0.0,0.0,0
87,3.0,63.8,1.0,18.2,19.0,503.5,0.0045,0.0168,9.3,0.0,2.0,2.0,1.0,4.0,8.0,0.0,0.0,0.0,0
88,6.0,101.9,2.0,34.9,25.0,654.8,0.0063,0.0204,7.7,0.0,12.0,1.0,4.0,1.0,10.0,2.0,0.0,0.0,0
89,2.0,46.1,0.0,0.0,14.0,373.4,0.0027,0.0115,13.2,0.0,1.0,4.0,2.0,6.0,5.0,1.0,0.0,1.0,0
90,5.0,92.9,2.0,32.5,24.0,638.9,0.0059,0.0192,8.1,0.0,5.0,2.0,3.0,5.0,9.0,0.0,0.0,0.0,0
91,3.0,69.2,1.0,22.9,21.0,574.8,0.0042,0.0156,10.5,0.0,6.0,1.0,1.0,2.0,6.0,2.0,0.0,0.0,0
92,5.0,115.0,2.0,201.0,50.0,1200.0,0.012,0.03,10.0,0.0,4.0,3.0,1.0,5.0,1.0,2.0,0.0,0.0,0
93,1.0,20.0,1.0,150.0,20.0,500.0,0.02,0.04,5.0,0.0,2.0,2.0,3.0,4.0,3.0,0.0,1.0,1.0,0
94,3.0,80.0,0.0,0.0,60.0,1800.0,0.01,0.02,20.0,0.0,8.0,1.0,2.0,6.0,2.0,2.0,0.0,0.0,0
95,2.0,40.0,2.0,200.0,30.0,900.0,0.015,0.035,15.0,0.0,5.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0
96,4.0,100.0,1.0,100.0,40.0,1200.0,0.01,0.025,25.0,0.0,9.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,0
97,1.0,20.0,0.0,0.0,10.0,300.0,0.025,0.05,10.0,0.0,1.0,1.0,3.0,5.0,2.0,0.0,1.0,1.0,0
98,3.0,60.0,2.0,250.0,50.0,1500.0,0.012,0.03,20.0,0.0,6.0,3.0,1.0,4.0,1.0,2.0,0.0,0.0,0
99,2.0,40.0,1.0,150.0,20.0,600.0,0.02,0.04,15.0,0.0,3.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0
100,4.0,80.0,0.0,0.0,60.0,1800.0,0.01,0.025,25.0,0.0,7.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0
101,1.0,20.0,2.0,200.0,30.0,900.0,0.015,0.035,20.0,0.0,4.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,0
102,2.0,50.0,0.0,0.0,20.0,1200.0,0.015,0.025,0.0,0.4,5.0,2.0,3.0,4.0,5.0,2.0,1.0,0.0,0
103,0.0,0.0,0.0,0.0,15.0,900.0,0.02,0.03,0.0,0.2,4.0,3.0,4.0,5.0,4.0,2.0,0.0,0.0,0
104,1.0,30.0,1.0,25.0,10.0,600.0,0.01,0.02,0.0,0.6,7.0,1.0,5.0,3.0,6.0,2.0,1.0,0.0,0
105,0.0,0.0,0.0,0.0,12.0,800.0,0.025,0.035,0.0,0.3,6.0,2.0,3.0,2.0,7.0,2.0,0.0,0.0,0
106,3.0,100.0,0.0,0.0,25.0,1300.0,0.015,0.025,0.0,0.5,5.0,3.0,4.0,6.0,3.0,2.0,1.0,0.0,0
107,0.0,0.0,1.0,20.0,18.0,1100.0,0.02,0.03,0.0,0.4,4.0,2.0,5.0,4.0,5.0,2.0,0.0,0.0,0
108,2.0,60.0,0.0,0.0,22.0,1200.0,0.01,0.02,0.0,0.7,7.0,1.0,6.0,1.0,8.0,2.0,1.0,0.0,0
109,0.0,0.0,0.0,0.0,8.0,500.0,0.025,0.035,0.0,0.2,6.0,3.0,4.0,5.0,4.0,2.0,0.0,0.0,0
110,1.0,40.0,1.0,30.0,15.0,1000.0,0.01,0.02,0.0,0.5,5.0,2.0,5.0,3.0,6.0,2.0,1.0,0.0,0
111,0.0,0.0,0.0,0.0,10.0,600.0,0.02,0.03,0.0,0.3,4.0,3.0,4.0,2.0,7.0,2.0,0.0,0.0,0
112,5.0,69.3333,0.0,0.0,20.0,441.1333,0.0241,0.0339,0.0,0.0,7.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,0
113,1.0,33.4,1.0,193.0,9.0,392.8667,0.0,0.0059,0.0,0.0,4.0,3.0,3.0,5.0,1.0,2.0,0.0,0.0,0
114,3.0,56.2667,0.0,0.0,14.0,276.0,0.0,0.0385,0.0,0.0,2.0,2.0,5.0,3.0,2.0,0.0,0.0,1.0,0
115,6.0,81.9667,0.0,0.0,10.0,249.6333,0.0192,0.0294,0.0,0.0,9.0,1.0,2.0,6.0,3.0,2.0,0.0,0.0,0
116,2.0,40.0,0.0,0.0,13.0,322.0,0.0,0.0071,0.0,0.0,8.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,0
117,8.0,143.4,0.0,0.0,18.0,384.1333,0.0,0.0179,0.0,0.0,6.0,2.0,5.0,1.0,2.0,0.0,0.0,0.0,0
118,1.0,23.0,1.0,164.0,8.0,351.8667,0.0,0.0063,0.0,0.0,5.0,3.0,3.0,4.0,3.0,2.0,0.0,0.0,0
119,4.0,60.0,0.0,0.0,12.0,294.0,0.0245,0.0351,0.0,0.0,3.0,2.0,2.0,5.0,1.0,2.0,0.0,0.0,0
120,3.0,51.5,0.0,0.0,16.0,366.3333,0.0,0.0085,0.0,0.0,1.0,2.0,5.0,3.0,2.0,0.0,0.0,1.0,0
121,6.0,93.0,0.0,0.0,11.0,258.0,0.0163,0.0263,0.0,0.0,7.0,1.0,4.0,2.0,3.0,2.0,0.0,0.0,0
122,1.0,90.5,3.0,201.3333,25.0,1459.2333,0.0123,0.0291,11.8909,0.0,8.0,2.0,3.0,6.0,5.0,2.0,1.0,1.0,0
123,3.0,130.0,5.0,283.8,50.0,2156.3667,0.0189,0.0356,9.1947,0.0,3.0,3.0,4.0,5.0,9.0,2.0,0.0,1.0,0
124,2.0,74.2,2.0,151.4,30.0,1839.2333,0.0085,0.0219,18.4038,0.0,2.0,2.0,6.0,8.0,7.0,2.0,1.0,0.0,0
125,1.0,46.0,1.0,93.6,20.0,1056.9,0.0156,0.0308,6.0945,0.0,9.0,3.0,5.0,2.0,6.0,2.0,0.0,0.0,0
126,4.0,198.0,6.0,345.3333,55.0,2465.9667,0.0208,0.0385,14.5992,0.0,6.0,2.0,7.0,9.0,11.0,2.0,1.0,1.0,0
127,0.0,0.0,0.0,0.0,12.0,961.2333,0.0063,0.0192,4.5129,0.0,1.0,1.0,8.0,7.0,4.0,2.0,0.0,0.0,0
128,3.0,87.0,4.0,236.5,40.0,1923.05,0.0117,0.0265,7.6538,0.0,4.0,3.0,3.0,1.0,8.0,2.0,1.0,1.0,0
129,2.0,60.0,3.0,201.3333,35.0,1739.6333,0.0099,0.0242,16.0808,0.0,7.0,2.0,9.0,6.0,5.0,2.0,0.0,0.0,0
130,1.0,69.0,2.0,138.0,28.0,1423.3667,0.0074,0.0206,5.2441,0.0,10.0,3.0,4.0,5.0,9.0,2.0,1.0,1.0,0
131,4.0,141.0,7.0,407.4286,60.0,2831.2333,0.0234,0.0409,12.8904,0.0,8.0,2.0,6.0,4.0,10.0,2.0,0.0,1.0,0
132,2.0,10.5,1.0,0.0,15.0,421.25,0.0111,0.025,0.0,0.0,4.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,0
133,1.0,0.0,0.0,0.0,18.0,935.5,0.0278,0.0357,0.0,0.0,7.0,3.0,2.0,4.0,1.0,2.0,1.0,0.0,0
134,0.0,0.0,2.0,18.0,12.0,316.0,0.0154,0.0286,0.0,0.0,3.0,2.0,2.0,5.0,2.0,2.0,0.0,0.0,0
135,3.0,20.75,0.0,0.0,21.0,1021.25,0.0083,0.02,0.0,0.0,8.0,1.0,1.0,6.0,4.0,2.0,0.0,1.0,0
136,0.0,0.0,0.0,0.0,10.0,285.0,0.04,0.0556,0.0,0.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,0.0,0
137,1.0,5.0,1.0,10.0,14.0,381.0,0.0185,0.03,0.0,0.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0
138,0.0,0.0,0.0,0.0,16.0,742.5,0.0231,0.0333,0.0,0.0,6.0,3.0,2.0,1.0,3.0,2.0,0.0,0.0,0
139,2.0,12.5,0.0,0.0,19.0,956.25,0.01,0.025,0.0,0.0,9.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,0
140,0.0,0.0,1.0,5.0,11.0,306.0,0.0222,0.0375,0.0,0.0,4.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,0
141,1.0,7.5,0.0,0.0,17.0,819.0,0.0143,0.0269,0.0,0.0,3.0,3.0,3.0,6.0,4.0,2.0,0.0,1.0,0
142,0.0,0.0,0.0,0.0,18.0,2010.8,0.0119,0.0619,0.0,0.0,4.0,1.0,3.0,2.0,5.0,2.0,0.0,0.0,0
143,0.0,0.0,0.0,0.0,9.0,1350.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,5.0,3.0,2.0,0.0,0.0,0
144,0.0,0.0,0.0,0.0,24.0,2500.0,0.0071,0.0143,0.0,0.0,2.0,2.0,4.0,1.0,6.0,0.0,0.0,0.0,0
145,0.0,0.0,0.0,0.0,5.0,900.0,0.0,0.0,100.0,0.0,8.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,0
146,0.0,0.0,0.0,0.0,15.0,1800.0,0.0588,0.1176,0.0,0.8,5.0,2.0,4.0,6.0,6.0,2.0,0.0,0.0,0
147,0.0,0.0,0.0,0.0,10.0,1200.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,3.0,2.0,0.0,0.0,0
148,0.0,0.0,0.0,0.0,20.0,2200.0,0.0053,0.0105,0.0,0.0,7.0,3.0,2.0,2.0,13.0,2.0,1.0,0.0,0
149,0.0,0.0,0.0,0.0,8.0,1100.0,0.2,0.2,0.0,0.0,5.0,2.0,2.0,6.0,1.0,2.0,0.0,0.0,0
150,0.0,0.0,0.0,0.0,12.0,1400.0,0.0,0.0,0.0,0.0,6.0,2.0,4.0,5.0,6.0,2.0,0.0,0.0,0
151,0.0,0.0,0.0,0.0,6.0,1000.0,0.0714,0.1429,0.0,0.0,4.0,1.0,3.0,2.0,5.0,2.0,0.0,0.0,0
152,5.0,93.0,1.0,20.0,15.0,521.0,0.0063,0.0419,0.0,0.0,3.0,2.0,1.0,2.0,3.0,2.0,0.0,0.0,0
153,1.0,23.0,0.0,0.0,8.0,193.0,0.0382,0.0835,0.0,0.0,9.0,1.0,2.0,5.0,2.0,2.0,0.0,0.0,0
154,3.0,63.0,2.0,58.0,18.0,731.0,0.0048,0.0321,0.0,0.0,4.0,3.0,1.0,3.0,1.0,0.0,1.0,0.0,0
155,0.0,0.0,0.0,0.0,6.0,121.0,0.0231,0.0613,0.0,0.0,2.0,2.0,2.0,1.0,11.0,2.0,0.0,0.0,0
156,2.0,51.0,1.0,30.0,10.0,256.0,0.0074,0.0438,0.0,0.0,6.0,1.0,1.0,4.0,3.0,2.0,0.0,0.0,0
157,0.0,0.0,0.0,0.0,4.0,93.0,0.0185,0.0513,0.0,0.0,8.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,0
158,1.0,25.0,0.0,0.0,9.0,221.0,0.0394,0.0851,0.0,0.0,5.0,2.0,1.0,5.0,2.0,0.0,1.0,0.0,0
159,4.0,82.0,1.0,24.0,12.0,312.0,0.0055,0.0374,0.0,0.0,9.0,1.0,2.0,3.0,3.0,2.0,0.0,0.0,0
160,0.0,0.0,0.0,0.0,7.0,164.0,0.0263,0.0659,0.0,0.0,1.0,2.0,2.0,1.0,11.0,2.0,0.0,0.0,0
161,3.0,65.0,2.0,55.0,16.0,623.0,0.0042,0.0295,0.0,0.0,4.0,3.0,1.0,3.0,1.0,0.0,1.0,0.0,0
162,2.0,49.0,1.0,28.0,11.0,281.0,0.0079,0.0463,0.0,0.0,6.0,1.0,1.0,4.0,3.0,2.0,0.0,0.0,0
163,0.0,0.0,0.0,0.0,10.0,456.2,0.0,0.0111,0.0,0.0,3.0,2.0,2.0,2.0,11.0,2.0,0.0,0.0,0
164,0.0,0.0,0.0,0.0,25.0,1023.4,0.0,0.0063,0.0,0.0,9.0,3.0,2.0,1.0,15.0,2.0,0.0,0.0,0
165,0.0,0.0,0.0,0.0,9.0,391.9,0.0,0.0145,0.0,0.0,2.0,2.0,2.0,3.0,10.0,2.0,0.0,0.0,0
166,1.0,120.0,0.0,0.0,11.0,143.8,0.0,0.0039,0.0,1.0,5.0,3.0,2.0,1.0,5.0,2.0,1.0,0.0,0
167,3.0,48.0,0.0,0.0,28.0,1267.1,0.0074,0.0284,17.5145,0.0,6.0,2.0,2.0,1.0,14.0,2.0,0.0,1.0,0
168,0.0,0.0,0.0,0.0,7.0,276.3,0.0,0.0103,0.0,0.0,4.0,2.0,2.0,2.0,9.0,2.0,0.0,0.0,0
169,0.0,0.0,2.0,101.0,30.0,871.5,0.0335,0.0394,4.3819,0.0,8.0,1.0,1.0,5.0,3.0,2.0,1.0,0.0,0
170,2.0,21.0,0.0,0.0,6.0,46.7,0.0,0.0361,0.0,0.0,6.0,2.0,2.0,1.0,4.0,2.0,0.0,0.0,0
171,0.0,0.0,0.0,0.0,8.0,259.4,0.0278,0.0938,0.0,0.0,5.0,2.0,2.0,2.0,12.0,2.0,0.0,0.0,0
172,5.0,361.0,0.0,0.0,15.0,994.2,0.0,0.0455,0.0,0.0,7.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0
173,3.0,121.2,2.0,71.0,15.0,519.8,0.0134,0.0313,0.0,0.0,3.0,2.0,2.0,4.0,5.0,2.0,1.0,0.0,0
174,0.0,0.0,0.0,0.0,8.0,201.1,0.0191,0.0623,0.0,0.0,8.0,1.0,1.0,3.0,4.0,2.0,1.0,0.0,0
175,1.0,50.0,0.0,0.0,12.0,402.2,0.0085,0.0265,0.0,0.0,5.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,0
