,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,real_identifier
57,6.5,3.0,5.3,2.0,2.0,0
58,6.2,2.9,4.8,1.7,2.0,0
59,5.8,2.7,3.8,1.3,1.0,0
60,6.3,2.9,4.8,1.6,1.0,0
61,5.1,3.3,2.1,0.7,0.0,0
62,6.8,2.5,6.3,2.1,2.0,0
63,5.5,3.1,3.9,1.3,1.0,0
64,5.9,2.8,4.4,1.5,1.0,0
65,6.5,2.7,5.5,1.8,2.0,0
66,5.2,3.4,2.4,0.9,0.0,0
67,6.2,2.6,5.1,1.7,2.0,0
68,5.8,3.0,4.1,1.4,1.0,0
69,5.4,3.2,3.5,1.2,1.0,0
70,5.5,3.2,3.2,1.1,1.0,0
71,6.1,2.8,4.5,1.4,2.0,0
72,5.3,3.5,2.1,0.8,0.0,0
73,6.3,3.0,4.2,1.3,1.0,0
74,5.6,2.9,3.5,1.2,1.0,0
75,5.9,3.1,4.1,1.3,2.0,0
76,5.1,3.3,2.5,0.9,0.0,0
77,6.5,2.7,4.8,1.5,2.0,0
78,5.4,3.2,3.0,1.1,1.0,0
79,6.0,3.0,4.4,1.4,2.0,0
80,5.6,2.9,3.1,1.1,1.0,0
81,6.3,3.1,5.5,2.2,2.0,0
82,5.1,3.4,1.8,0.4,0.0,0
83,6.8,2.7,5.2,2.0,2.0,0
84,5.9,3.3,4.9,2.1,2.0,0
85,6.2,2.8,4.7,1.9,2.0,0
86,5.4,3.5,1.9,0.5,0.0,0
87,6.6,2.9,5.3,2.1,2.0,0
88,5.7,3.2,4.3,1.8,2.0,0
89,6.1,2.9,4.9,2.0,2.0,0
90,5.6,3.1,3.9,1.3,1.0,0
91,6.2,2.9,4.4,1.5,1.0,0
92,5.1,3.3,3.1,1.1,0.0,0
93,6.5,3.0,4.7,1.6,1.0,0
94,5.8,3.2,4.1,1.4,1.0,0
95,6.0,3.1,4.3,1.5,1.0,0
96,5.4,3.3,3.5,1.2,0.0,0
97,6.1,2.9,4.5,1.6,1.0,0
98,5.7,3.2,4.0,1.4,1.0,0
99,6.3,3.0,4.6,1.6,1.0,0
100,5.3,3.1,3.5,1.2,1.0,0
101,6.2,2.8,5.1,2.0,2.0,0
102,5.8,3.3,4.2,1.5,1.0,0
103,6.5,3.0,5.5,2.2,2.0,0
104,5.1,3.2,3.2,1.1,1.0,0
105,6.8,2.9,5.8,2.3,2.0,0
106,5.6,3.1,4.5,1.6,1.0,0
107,6.1,2.7,5.2,2.1,2.0,0
108,5.4,3.4,3.8,1.3,1.0,0
109,6.9,2.8,6.1,2.4,2.0,0
110,5.95,2.98,3.35,1.23,1.0,0
111,6.51,3.21,4.92,1.83,2.0,0
112,5.13,3.43,1.81,0.61,0.0,0
113,6.85,2.63,5.48,2.04,2.0,0
114,5.67,3.08,2.91,1.03,1.0,0
115,6.29,2.85,4.19,1.56,2.0,0
116,5.41,3.39,2.15,0.76,0.0,0
117,6.93,2.51,5.93,2.24,2.0,0
118,5.79,3.17,3.54,1.29,1.0,0
119,6.11,2.93,4.06,1.48,2.0,0
120,5.5,3.3,4.2,1.5,1.0,0
121,6.2,2.9,5.5,2.1,2.0,0
122,5.1,3.6,2.8,1.1,0.0,0
123,5.8,3.1,4.5,1.7,1.0,0
124,6.5,2.7,5.8,2.3,2.0,0
125,5.3,3.4,3.2,1.2,0.0,0
126,5.9,3.0,4.8,1.8,1.0,0
127,6.1,2.9,5.2,2.0,2.0,0
128,5.6,3.2,3.9,1.5,1.0,0
129,5.4,3.5,3.1,1.1,0.0,0
130,5.8,3.1,3.6,1.2,1.0,0
131,6.1,2.8,4.3,1.6,2.0,0
132,5.5,3.3,2.9,1.0,0.0,0
133,6.4,2.9,4.8,1.8,2.0,0
134,5.2,3.5,2.5,0.9,0.0,0
135,6.7,2.6,5.1,2.0,2.0,0
136,5.9,3.0,3.9,1.4,1.0,0
137,6.3,2.7,4.5,1.7,2.0,0
138,5.6,3.2,3.2,1.1,0.0,0
139,6.5,2.8,4.9,1.9,2.0,0
140,5.5,3.2,3.8,1.2,1.0,0
141,6.2,2.8,4.9,1.7,2.0,0
142,5.1,3.5,1.6,0.5,0.0,0
143,6.6,2.5,5.3,1.9,2.0,0
144,5.3,3.1,2.2,0.8,0.0,0
145,6.0,3.3,4.2,1.4,1.0,0
146,5.9,2.9,4.6,1.6,2.0,0
147,4.9,3.6,1.8,0.6,0.0,0
148,6.4,2.7,5.1,1.8,2.0,0
149,5.7,3.0,3.4,1.2,1.0,0
0,5.8,2.8,5.1,2.4,2.0,1
1,6.0,2.2,4.0,1.0,1.0,1
2,5.5,4.2,1.4,0.2,0.0,1
3,7.3,2.9,6.3,1.8,2.0,1
4,5.0,3.4,1.5,0.2,0.0,1
5,6.3,3.3,6.0,2.5,2.0,1
6,5.0,3.5,1.3,0.3,0.0,1
7,6.7,3.1,4.7,1.5,1.0,1
8,6.8,2.8,4.8,1.4,1.0,1
9,6.1,2.8,4.0,1.3,1.0,1
10,6.1,2.6,5.6,1.4,2.0,1
11,6.4,3.2,4.5,1.5,1.0,1
12,6.1,2.8,4.7,1.2,1.0,1
13,6.5,2.8,4.6,1.5,1.0,1
14,6.1,2.9,4.7,1.4,1.0,1
15,4.9,3.1,1.5,0.1,0.0,1
16,6.0,2.9,4.5,1.5,1.0,1
17,5.5,2.6,4.4,1.2,1.0,1
18,4.8,3.0,1.4,0.3,0.0,1
19,5.4,3.9,1.3,0.4,0.0,1
20,5.6,2.8,4.9,2.0,2.0,1
21,5.6,3.0,4.5,1.5,1.0,1
22,4.8,3.4,1.9,0.2,0.0,1
23,4.4,2.9,1.4,0.2,0.0,1
24,6.2,2.8,4.8,1.8,2.0,1
25,4.6,3.6,1.0,0.2,0.0,1
26,5.1,3.8,1.9,0.4,0.0,1
27,6.2,2.9,4.3,1.3,1.0,1
28,5.0,2.3,3.3,1.0,1.0,1
29,5.0,3.4,1.6,0.4,0.0,1
30,6.4,3.1,5.5,1.8,2.0,1
31,5.4,3.0,4.5,1.5,1.0,1
32,5.2,3.5,1.5,0.2,0.0,1
33,6.1,3.0,4.9,1.8,2.0,1
34,6.4,2.8,5.6,2.2,2.0,1
35,5.2,2.7,3.9,1.4,1.0,1
36,5.7,3.8,1.7,0.3,0.0,1
37,6.0,2.7,5.1,1.6,1.0,1
38,5.9,3.0,4.2,1.5,1.0,1
39,5.8,2.6,4.0,1.2,1.0,1
40,6.8,3.0,5.5,2.1,2.0,1
41,4.7,3.2,1.3,0.2,0.0,1
42,6.9,3.1,5.1,2.3,2.0,1
43,5.0,3.5,1.6,0.6,0.0,1
44,5.4,3.7,1.5,0.2,0.0,1
45,5.0,2.0,3.5,1.0,1.0,1
46,6.5,3.0,5.5,1.8,2.0,1
47,6.7,3.3,5.7,2.5,2.0,1
48,6.0,2.2,5.0,1.5,2.0,1
49,6.7,2.5,5.8,1.8,2.0,1
50,5.6,2.5,3.9,1.1,1.0,1
51,7.7,3.0,6.1,2.3,2.0,1
52,6.3,3.3,4.7,1.6,1.0,1
53,5.5,2.4,3.8,1.1,1.0,1
54,6.3,2.7,4.9,1.8,2.0,1
55,6.3,2.8,5.1,1.5,2.0,1
56,4.9,2.5,4.5,1.7,2.0,1
57,6.3,2.5,5.0,1.9,2.0,1
58,7.0,3.2,4.7,1.4,1.0,1
59,6.5,3.0,5.2,2.0,2.0,1
60,6.0,3.4,4.5,1.6,1.0,1
61,4.8,3.1,1.6,0.2,0.0,1
62,5.8,2.7,5.1,1.9,2.0,1
63,5.6,2.7,4.2,1.3,1.0,1
64,5.6,2.9,3.6,1.3,1.0,1
65,5.5,2.5,4.0,1.3,1.0,1
66,6.1,3.0,4.6,1.4,1.0,1
67,7.2,3.2,6.0,1.8,2.0,1
68,5.3,3.7,1.5,0.2,0.0,1
69,4.3,3.0,1.1,0.1,0.0,1
70,6.4,2.7,5.3,1.9,2.0,1
71,5.7,3.0,4.2,1.2,1.0,1
72,5.4,3.4,1.7,0.2,0.0,1
73,5.7,4.4,1.5,0.4,0.0,1
74,6.9,3.1,4.9,1.5,1.0,1
75,4.6,3.1,1.5,0.2,0.0,1
76,5.9,3.0,5.1,1.8,2.0,1
77,5.1,2.5,3.0,1.1,1.0,1
78,4.6,3.4,1.4,0.3,0.0,1
79,6.2,2.2,4.5,1.5,1.0,1
80,7.2,3.6,6.1,2.5,2.0,1
81,5.7,2.9,4.2,1.3,1.0,1
82,4.8,3.0,1.4,0.1,0.0,1
83,7.1,3.0,5.9,2.1,2.0,1
84,6.9,3.2,5.7,2.3,2.0,1
85,6.5,3.0,5.8,2.2,2.0,1
86,6.4,2.8,5.6,2.1,2.0,1
87,5.1,3.8,1.6,0.2,0.0,1
88,4.8,3.4,1.6,0.2,0.0,1
89,6.5,3.2,5.1,2.0,2.0,1
90,6.7,3.3,5.7,2.1,2.0,1
91,4.5,2.3,1.3,0.3,0.0,1
92,6.2,3.4,5.4,2.3,2.0,1
93,4.9,3.0,1.4,0.2,0.0,1
94,5.7,2.5,5.0,2.0,2.0,1
95,6.9,3.1,5.4,2.1,2.0,1
96,4.4,3.2,1.3,0.2,0.0,1
97,5.0,3.6,1.4,0.2,0.0,1
98,7.2,3.0,5.8,1.6,2.0,1
99,5.1,3.5,1.4,0.3,0.0,1
100,4.4,3.0,1.3,0.2,0.0,1
101,5.4,3.9,1.7,0.4,0.0,1
102,5.5,2.3,4.0,1.3,1.0,1
103,6.8,3.2,5.9,2.3,2.0,1
104,7.6,3.0,6.6,2.1,2.0,1
105,5.1,3.5,1.4,0.2,0.0,1
106,4.9,3.1,1.5,0.1,0.0,1
107,5.2,3.4,1.4,0.2,0.0,1
108,5.7,2.8,4.5,1.3,1.0,1
109,6.6,3.0,4.4,1.4,1.0,1
110,5.0,3.2,1.2,0.2,0.0,1
111,5.1,3.3,1.7,0.5,0.0,1
112,6.4,2.9,4.3,1.3,1.0,1
113,5.4,3.4,1.5,0.4,0.0,1
114,7.7,2.6,6.9,2.3,2.0,1
115,4.9,2.4,3.3,1.0,1.0,1
116,7.9,3.8,6.4,2.0,2.0,1
117,6.7,3.1,4.4,1.4,1.0,1
118,5.2,4.1,1.5,0.1,0.0,1
119,6.0,3.0,4.8,1.8,2.0,1
120,5.8,4.0,1.2,0.2,0.0,1
121,7.7,2.8,6.7,2.0,2.0,1
122,5.1,3.8,1.5,0.3,0.0,1
123,4.7,3.2,1.6,0.2,0.0,1
124,7.4,2.8,6.1,1.9,2.0,1
125,5.0,3.3,1.4,0.2,0.0,1
126,6.3,3.4,5.6,2.4,2.0,1
127,5.7,2.8,4.1,1.3,1.0,1
128,5.8,2.7,3.9,1.2,1.0,1
129,5.7,2.6,3.5,1.0,1.0,1
130,6.4,3.2,5.3,2.3,2.0,1
131,6.7,3.0,5.2,2.3,2.0,1
132,6.3,2.5,4.9,1.5,1.0,1
133,6.7,3.0,5.0,1.7,1.0,1
134,5.0,3.0,1.6,0.2,0.0,1
135,5.5,2.4,3.7,1.0,1.0,1
136,6.7,3.1,5.6,2.4,2.0,1
137,5.8,2.7,5.1,1.9,2.0,1
138,5.1,3.4,1.5,0.2,0.0,1
139,6.6,2.9,4.6,1.3,1.0,1
140,5.6,3.0,4.1,1.3,1.0,1
141,5.9,3.2,4.8,1.8,1.0,1
142,6.3,2.3,4.4,1.3,1.0,1
143,5.5,3.5,1.3,0.2,0.0,1
144,5.1,3.7,1.5,0.4,0.0,1
145,4.9,3.1,1.5,0.1,0.0,1
146,6.3,2.9,5.6,1.8,2.0,1
147,5.8,2.7,4.1,1.0,1.0,1
148,7.7,3.8,6.7,2.2,2.0,1
149,4.6,3.2,1.4,0.2,0.0,1
