,parents,has_nurs,form,children,housing,finance,social,health,class,real_identifier
257,0,3,1,3,2,1,2,2,4,0
258,1,2,0,1,0,0,0,1,1,0
259,2,0,2,2,1,0,1,2,3,0
260,0,3,2,2,1,1,0,0,3,0
261,1,2,1,1,2,1,1,1,0,0
262,0,4,3,0,0,0,0,2,3,0
263,2,1,0,3,1,1,2,0,1,0
264,0,2,3,1,2,0,1,1,3,0
265,1,3,1,2,1,1,0,2,0,0
266,0,1,2,3,0,0,0,1,3,0
267,2,4,2,0,2,1,1,1,1,0
268,0,3,0,1,1,0,0,2,3,0
269,1,2,3,2,2,0,1,0,0,0
270,1,3,2,2,1,1,1,0,2,0
271,0,3,0,2,0,0,2,1,0,0
272,2,1,3,1,2,1,0,1,3,0
273,1,2,1,3,0,0,1,2,1,0
274,0,3,0,2,1,0,2,1,2,0
275,1,4,0,1,0,1,0,0,3,0
276,0,2,3,3,1,0,1,2,3,0
277,2,0,2,1,0,1,2,1,0,0
278,1,3,1,2,1,0,1,2,2,0
279,0,1,0,3,0,0,1,1,1,0
280,1,2,2,1,1,0,1,0,1,0
281,0,2,3,2,1,1,1,1,2,0
282,1,1,2,1,0,0,0,1,0,0
283,2,3,1,2,2,1,2,2,3,0
284,0,0,0,0,1,0,2,2,3,0
285,1,3,3,3,2,1,1,1,1,0
286,0,4,2,1,1,0,0,2,3,0
287,2,1,3,2,0,1,1,0,1,0
288,1,2,0,2,1,0,1,1,0,0
289,0,3,1,1,1,1,2,1,2,0
290,1,2,2,1,1,0,1,2,2,0
291,0,1,3,3,2,1,1,1,3,0
292,1,0,1,2,0,0,0,1,1,0
293,0,3,2,2,1,1,2,2,3,0
294,1,1,0,1,0,0,0,1,0,0
295,2,2,3,2,2,0,1,1,1,0
296,0,0,1,3,1,1,2,2,2,0
297,1,2,2,1,0,0,1,1,0,0
298,2,1,1,2,2,1,2,2,3,0
299,1,3,3,3,1,0,1,0,0,0
300,1,2,1,2,1,0,1,1,2,0
301,0,3,2,0,2,1,2,1,0,0
302,1,4,1,1,1,0,0,2,3,0
303,2,1,2,2,0,1,1,0,1,0
304,0,2,1,3,1,1,2,2,4,0
305,1,0,0,0,0,0,0,0,0,0
306,2,3,3,1,2,1,2,1,0,0
307,0,1,1,2,0,0,0,2,3,0
308,1,3,2,1,1,0,1,0,1,0
309,2,2,1,0,2,1,2,2,4,0
310,1,3,2,2,1,1,1,0,0,0
311,2,1,3,1,2,0,0,1,1,0
312,0,2,1,0,0,1,2,2,1,0
313,1,4,3,2,1,1,0,0,0,0
314,2,2,0,1,0,0,2,1,1,0
315,0,3,2,0,1,1,1,0,0,0
316,1,1,2,3,2,0,0,2,1,0
317,2,0,1,0,0,1,2,1,1,0
318,0,4,3,1,1,1,0,0,0,0
319,1,3,2,2,2,0,1,2,1,0
320,0,2,1,1,1,0,0,2,1,0
321,1,2,2,2,2,1,1,0,3,0
322,0,3,3,0,1,0,2,1,3,0
323,1,0,1,2,0,0,1,2,1,0
324,2,1,0,0,1,0,0,0,0,0
325,0,2,2,1,2,1,1,2,3,0
326,1,1,1,0,1,0,0,1,1,0
327,0,0,3,3,0,1,2,2,3,0
328,1,2,1,1,1,0,1,0,0,0
329,0,1,2,2,0,0,1,1,3,0
330,2,1,2,1,1,0,1,1,2,0
331,0,2,3,0,1,1,1,2,3,0
332,1,3,1,2,2,0,0,1,4,0
333,2,0,0,1,0,1,2,2,1,0
334,1,4,3,0,1,0,0,2,3,0
335,0,1,2,1,2,1,1,1,2,0
336,1,0,1,2,0,0,2,2,1,0
337,2,2,0,0,1,1,0,1,4,0
338,1,3,2,1,2,0,1,2,3,0
339,2,1,3,2,1,1,0,2,1,0
340,1,2,1,2,1,1,1,1,1,0
341,0,3,2,1,1,0,0,1,3,0
342,1,4,3,1,0,0,0,2,1,0
343,0,1,3,2,2,1,2,1,3,0
344,2,4,2,2,1,1,1,2,3,0
345,0,3,0,1,2,1,1,0,0,0
346,1,2,3,2,1,0,0,1,1,0
347,0,4,1,1,0,1,2,2,1,0
348,2,3,1,2,0,0,1,2,3,0
349,1,1,2,1,1,1,0,1,3,0
350,1,2,2,1,1,0,1,2,1,0
351,2,3,1,0,2,1,0,1,3,0
352,1,4,3,2,0,1,2,2,3,0
353,0,1,2,0,1,0,0,1,1,0
354,1,3,2,1,2,0,1,2,1,0
355,2,0,1,0,0,1,1,0,0,0
356,1,2,3,0,2,1,0,2,3,0
357,1,3,2,1,1,0,1,1,1,0
358,2,4,0,0,1,1,0,0,0,0
359,1,1,2,2,2,1,1,2,1,0
360,1,1,2,1,1,1,1,0,0,0
361,0,3,0,0,1,0,0,0,0,0
362,2,1,1,2,2,1,1,1,1,0
363,1,2,0,1,0,0,0,0,0,0
364,0,4,1,0,1,1,1,0,0,0
365,1,0,1,1,0,0,1,1,1,0
366,0,2,0,2,1,0,0,0,0,0
367,1,3,0,1,1,1,1,0,0,0
368,2,1,1,1,2,1,0,1,1,0
369,0,1,0,0,0,0,0,0,0,0
370,1,2,1,1,2,1,1,1,1,0
371,2,2,3,0,1,0,0,1,0,0
372,1,0,2,2,2,1,1,2,3,0
373,0,1,3,1,0,1,0,1,1,0
374,2,4,2,2,1,0,1,0,0,0
375,0,2,1,0,2,1,2,2,3,0
376,1,1,0,1,0,0,0,1,1,0
377,2,3,3,0,2,1,0,1,3,0
378,0,0,2,3,1,0,1,2,3,0
379,1,3,2,1,2,1,1,0,0,0
380,1,2,1,0,1,1,1,1,1,0
381,0,3,2,2,2,0,1,2,0,0
382,2,1,2,1,1,0,1,1,1,0
383,1,0,3,0,2,1,2,2,1,0
384,0,2,1,3,0,0,0,0,0,0
385,2,3,0,2,2,1,1,2,1,0
386,1,2,3,1,1,0,2,1,3,0
387,0,1,2,0,2,1,0,1,0,0
388,2,2,1,3,0,0,1,2,1,0
389,1,3,2,2,1,1,2,1,3,0
390,1,2,3,1,1,1,1,1,1,0
391,2,1,2,0,2,0,2,1,2,0
392,0,4,3,2,1,1,0,2,3,0
393,2,2,1,1,0,0,1,1,0,0
394,1,3,2,3,2,1,2,0,3,0
395,0,1,3,2,1,0,2,1,2,0
396,2,0,1,0,0,1,1,0,0,0
397,1,3,3,1,2,1,0,2,1,0
398,0,2,2,2,1,0,1,1,2,0
399,2,4,2,1,0,1,2,2,3,0
400,1,1,0,1,0,0,1,1,1,0
401,0,3,1,2,1,1,1,1,2,0
402,1,2,1,0,2,0,2,1,1,0
403,0,4,3,1,1,1,2,0,2,0
404,1,0,0,2,1,0,1,1,0,0
405,0,1,2,0,0,1,2,1,1,0
406,0,2,1,3,2,1,1,2,3,0
407,1,3,0,1,0,1,0,0,0,0
408,0,2,2,0,2,0,1,1,1,0
409,1,4,1,2,1,1,2,0,0,0
410,1,2,2,1,1,1,1,2,2,0
411,0,1,3,0,2,0,2,1,1,0
412,2,3,1,2,0,1,0,2,4,0
413,1,0,2,1,1,0,2,1,0,0
414,0,3,0,0,2,1,1,2,1,0
415,2,4,3,3,0,0,2,2,4,0
416,1,2,1,0,1,0,0,1,2,0
417,0,4,2,2,2,0,2,2,3,0
418,2,1,0,1,0,0,1,2,1,0
419,1,3,3,0,2,1,1,2,3,0
420,1,2,1,0,1,1,1,1,3,0
421,0,4,2,1,0,1,1,2,3,0
422,2,3,0,0,2,0,0,1,1,0
423,1,0,3,2,1,1,2,0,0,0
424,0,3,1,3,0,0,0,1,3,0
425,2,1,3,1,2,1,1,2,1,0
426,1,4,2,0,0,0,0,1,0,0
427,0,2,0,2,1,1,1,0,3,0
428,2,0,1,1,0,0,0,2,1,0
429,1,3,3,2,2,1,2,1,0,0
430,1,3,0,1,1,0,2,1,1,0
431,0,1,2,2,2,1,0,0,0,0
432,2,3,1,1,2,0,2,2,3,0
433,1,2,3,0,1,1,1,0,0,0
434,0,0,1,2,0,1,2,1,3,0
435,2,1,0,3,1,0,1,2,1,0
436,1,4,2,0,0,1,2,0,0,0
437,0,2,0,1,2,1,1,1,3,0
438,2,0,1,2,1,0,2,2,1,0
439,1,3,3,1,0,1,1,0,0,0
440,1,2,3,1,1,1,2,1,3,0
441,2,1,2,2,0,0,1,2,1,0
442,0,3,3,0,1,0,2,2,3,0
443,1,0,2,1,1,1,1,1,1,0
444,2,4,3,2,1,0,2,2,3,0
445,0,1,3,1,0,1,2,1,0,0
446,1,2,2,0,1,0,1,2,3,0
447,2,3,1,1,0,0,2,1,1,0
448,0,2,3,1,1,1,2,2,3,0
449,1,4,3,0,1,1,0,2,3,0
450,0,2,2,1,1,1,1,1,1,0
451,1,2,3,2,1,0,2,1,2,0
452,2,1,1,2,0,1,1,0,0,0
453,1,3,2,1,2,0,2,1,3,0
454,0,1,3,3,1,1,0,1,2,0
455,2,3,0,1,1,0,2,0,1,0
456,1,2,3,0,0,1,2,2,3,0
457,0,0,1,2,2,0,1,1,2,0
458,1,3,2,1,1,1,2,1,3,0
459,2,1,3,2,0,0,1,2,1,0
460,1,2,2,2,1,0,1,2,1,0
461,0,3,1,1,1,0,0,1,0,0
462,2,2,2,0,2,1,1,2,1,0
463,0,1,2,3,0,0,2,1,3,0
464,1,3,1,2,2,0,0,2,1,0
465,2,1,3,1,0,1,2,0,0,0
466,0,2,0,2,1,0,1,2,1,0
467,1,2,2,3,1,0,1,2,3,0
468,0,1,1,1,2,0,0,1,1,0
469,2,2,2,2,0,1,2,1,1,0
470,1,1,2,1,1,1,0,0,0,0
471,0,1,1,2,1,0,1,1,3,0
472,1,2,1,0,0,1,0,2,1,0
473,2,1,3,1,2,0,0,1,0,0
474,0,2,2,2,0,1,1,0,1,0
475,2,0,1,3,2,1,2,2,1,0
476,1,1,2,1,0,0,0,1,0,0
477,0,1,3,0,1,0,1,0,3,0
478,2,2,0,2,1,1,0,1,0,0
479,1,1,2,3,2,0,1,2,1,0
480,1,2,1,2,1,1,1,1,0,0
481,2,3,2,2,0,0,2,1,1,0
482,1,1,0,3,2,0,1,2,1,0
483,2,4,1,1,1,1,2,0,0,0
484,1,3,2,3,0,0,1,1,1,0
485,2,1,0,2,1,0,2,2,1,0
486,1,2,1,0,2,1,1,0,0,0
487,2,3,2,2,1,1,2,1,1,0
488,1,4,1,3,1,0,2,2,0,0
489,2,2,1,1,0,0,1,2,1,0
0,0,3,3,2,2,1,0,1,3,1
1,1,3,1,2,1,0,2,1,1,1
2,0,2,3,2,2,0,0,2,1,1
3,1,2,1,1,0,1,1,0,0,1
4,0,0,3,3,0,0,2,1,3,1
5,2,3,1,1,1,1,2,1,1,1
6,0,0,2,0,0,1,1,2,3,1
7,2,0,3,2,2,0,2,1,3,1
8,1,4,3,1,1,0,2,1,3,1
9,0,4,0,1,0,0,2,0,0,1
10,2,1,1,3,1,0,0,0,0,1
11,1,4,0,2,0,0,2,1,3,1
12,1,3,2,3,2,1,2,0,0,1
13,1,0,1,2,0,1,2,1,3,1
14,0,4,0,3,2,0,0,1,3,1
15,1,4,3,0,0,0,1,1,3,1
16,0,0,3,3,1,0,2,2,3,1
17,2,2,3,2,0,0,0,1,1,1
18,1,0,1,2,2,0,0,0,0,1
19,1,2,3,3,0,0,1,1,1,1
20,1,1,3,0,1,1,2,0,0,1
21,0,1,0,0,2,1,2,0,0,1
22,2,0,2,3,0,0,0,0,0,1
23,1,3,2,0,0,0,0,2,4,1
24,0,3,3,0,0,0,1,0,0,1
25,0,2,1,3,1,1,2,1,3,1
26,1,0,0,2,0,1,2,1,3,1
27,1,1,2,2,1,0,1,0,0,1
28,0,0,0,2,0,0,2,0,0,1
29,1,3,2,1,2,1,2,0,0,1
30,2,1,2,3,0,1,1,1,1,1
31,1,3,2,2,1,1,0,2,1,1
32,2,0,0,1,0,1,2,2,1,1
33,2,3,1,1,2,1,0,1,1,1
34,2,0,0,0,1,1,0,2,1,1
35,2,2,1,2,2,0,2,1,1,1
36,2,0,0,0,0,0,1,1,1,1
37,2,1,2,2,2,1,1,2,1,1
38,2,4,3,2,1,1,0,1,3,1
39,0,4,3,0,2,0,0,0,0,1
40,2,0,3,0,2,0,2,2,1,1
41,2,2,3,2,0,0,2,0,0,1
42,1,4,2,2,1,1,2,0,0,1
43,0,2,3,2,1,0,0,1,3,1
44,0,1,0,3,0,0,0,1,3,1
45,0,0,3,3,0,0,1,1,3,1
46,0,0,0,3,0,0,0,1,3,1
47,2,1,3,3,0,0,0,2,4,1
48,2,4,2,0,1,0,1,1,3,1
49,0,3,1,2,1,0,1,1,3,1
50,1,2,3,2,1,0,2,1,1,1
51,0,4,0,2,2,0,2,0,0,1
52,0,0,1,1,2,1,2,2,1,1
53,2,0,0,0,1,1,2,2,1,1
54,2,3,0,3,0,1,1,2,1,1
55,0,2,1,3,0,1,1,0,0,1
56,1,4,2,0,0,1,0,0,0,1
57,2,0,0,3,1,0,2,0,0,1
58,1,3,2,2,2,1,0,0,0,1
59,1,4,1,3,0,1,1,0,0,1
60,1,2,1,1,1,1,1,1,1,1
61,1,2,2,0,2,1,2,0,0,1
62,2,2,3,1,1,0,0,1,1,1
63,1,0,3,2,2,0,1,0,0,1
64,0,2,1,3,0,1,0,2,1,1
65,1,4,2,1,1,1,1,1,3,1
66,2,1,0,1,0,1,0,2,4,1
67,0,2,1,3,2,0,0,1,3,1
68,1,4,0,0,2,0,2,0,0,1
69,2,0,1,3,1,1,1,1,3,1
70,0,0,2,1,0,1,2,1,3,1
71,1,0,0,1,2,0,2,2,1,1
72,1,3,3,3,2,0,0,2,1,1
73,1,3,0,1,0,1,2,2,4,1
74,2,3,3,2,0,0,0,0,0,1
75,1,2,3,1,2,0,0,0,0,1
76,0,4,3,2,0,1,0,2,3,1
77,1,4,1,1,1,1,1,1,3,1
78,1,4,3,2,2,1,1,1,3,1
79,2,2,2,0,2,1,2,2,1,1
80,0,3,1,3,0,1,2,1,3,1
81,1,1,3,1,2,0,2,1,3,1
82,2,0,1,2,0,0,2,2,1,1
83,2,2,2,2,1,1,1,1,1,1
84,0,3,3,1,0,0,0,2,1,1
85,1,0,0,1,0,1,0,1,3,1
86,2,0,0,2,1,0,0,1,3,1
87,1,4,3,1,1,0,2,0,0,1
88,0,2,2,2,2,0,0,1,3,1
89,1,1,3,3,2,0,1,2,3,1
90,2,1,3,2,0,0,0,0,0,1
91,2,1,1,0,2,1,1,0,0,1
92,1,4,0,0,1,1,0,0,0,1
93,1,1,2,2,2,0,2,1,3,1
94,0,2,1,1,2,0,0,0,0,1
95,2,4,1,0,1,1,1,2,3,1
96,1,2,1,0,2,0,1,2,1,1
97,1,3,2,2,0,0,2,1,1,1
98,2,0,0,3,2,1,2,0,0,1
99,0,4,2,3,0,1,0,1,3,1
100,2,0,1,1,0,0,1,0,0,1
101,0,2,0,1,0,1,1,0,0,1
102,1,4,2,0,1,0,1,1,3,1
103,2,4,1,0,1,0,1,2,3,1
104,2,3,0,3,0,0,2,1,1,1
105,1,3,1,0,1,0,1,2,1,1
106,2,1,2,0,1,1,0,0,0,1
107,2,0,3,1,2,0,2,0,0,1
108,0,3,0,0,1,0,2,0,0,1
109,1,0,2,3,1,0,0,1,3,1
110,0,4,3,0,0,1,2,0,0,1
111,2,4,3,2,0,0,2,2,1,1
112,1,4,3,3,1,1,1,2,3,1
113,2,4,0,0,0,1,1,2,3,1
114,2,3,3,3,2,1,0,0,0,1
115,1,0,2,0,1,1,2,0,0,1
116,2,1,2,1,2,1,1,0,0,1
117,1,1,0,3,1,0,1,2,3,1
118,1,3,3,1,0,1,0,0,0,1
119,1,1,0,1,2,1,1,1,1,1
120,2,2,2,2,0,1,2,0,0,1
121,0,2,1,3,0,1,2,0,0,1
122,1,2,0,1,0,1,1,2,1,1
123,2,2,1,3,1,1,2,0,0,1
124,1,2,0,1,2,1,2,1,1,1
125,1,4,3,2,1,1,0,0,0,1
126,0,1,3,2,0,0,1,2,3,1
127,2,4,0,3,0,0,1,0,0,1
128,1,4,1,3,0,1,0,0,0,1
129,1,1,3,2,1,1,1,2,3,1
130,0,0,3,3,2,1,0,1,3,1
131,2,2,0,3,2,0,1,1,1,1
132,1,0,0,0,2,0,1,1,3,1
133,1,1,3,2,0,0,2,0,0,1
134,2,2,1,0,1,0,0,1,1,1
135,0,0,1,3,1,1,0,2,3,1
136,0,2,3,1,2,0,2,0,0,1
137,1,3,3,3,1,1,0,0,0,1
138,2,3,1,1,1,0,2,2,1,1
139,2,4,2,1,0,0,0,2,1,1
140,2,4,0,3,0,0,2,0,0,1
141,1,1,1,3,0,0,0,1,1,1
142,0,0,0,1,0,0,0,0,0,1
