,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,class,real_identifier
38,2,21,3,2,2604,1,3,3,1,0,2,1,32,2,1,2,2,1,0,0,1,0
39,1,23,2,3,2692,0,2,2,1,0,3,2,29,2,1,1,2,1,0,0,2,0
40,1,24,2,2,1918,0,2,3,1,0,2,2,32,2,1,1,2,1,0,0,1,0
41,2,30,2,4,3519,0,2,4,2,0,3,2,29,2,1,1,2,1,0,0,1,0
42,1,18,2,3,1691,0,1,3,1,0,2,1,41,2,1,1,2,1,0,0,2,0
43,2,36,2,4,4021,0,2,4,2,0,2,2,25,2,1,1,3,1,0,0,1,0
44,1,12,2,2,1018,0,2,4,2,0,2,1,34,2,1,1,1,1,0,0,1,0
45,0,18,2,4,1593,0,2,4,2,0,2,2,31,2,1,1,2,1,0,0,2,0
46,2,24,2,3,2857,0,2,3,1,0,2,2,37,2,1,1,2,1,0,0,1,0
47,1,12,2,4,1188,0,2,4,2,0,2,1,28,2,1,1,2,1,0,0,1,0
48,2,30,2,3,3698,0,2,4,2,0,2,2,39,2,1,1,2,1,0,0,2,0
49,1,18,2,4,2068,0,1,3,1,0,3,1,35,2,1,1,2,1,0,0,1,0
50,2,12,3,1,4821,0,3,2,1,0,3,1,31,2,1,2,2,1,0,0,2,0
51,0,21,2,2,5941,0,2,3,1,0,3,2,33,2,1,2,2,1,1,0,1,0
52,1,18,3,4,4521,0,1,3,2,0,3,1,28,2,1,2,2,1,0,0,2,0
53,0,24,2,3,3819,0,2,2,1,0,3,2,30,2,1,2,2,1,1,0,1,0
54,2,12,2,1,5210,0,3,3,1,0,3,1,29,2,1,2,2,1,0,0,2,0
55,1,15,3,2,4120,0,2,2,1,0,3,2,32,2,1,2,2,1,1,0,1,0
56,0,21,2,4,5010,0,1,3,2,0,3,1,27,2,1,2,2,1,0,0,2,0
57,2,18,3,3,4710,0,3,2,1,0,3,2,31,2,1,2,2,1,1,0,1,0
58,1,12,2,2,4419,0,2,3,1,0,3,1,29,2,1,2,2,1,0,0,2,0
59,0,15,3,1,3910,0,1,2,2,0,3,2,28,2,1,2,2,1,1,0,1,0
60,2,18,3,3,4021,1,3,2,2,1,3,2,29,2,1,2,2,1,1,0,1,0
61,2,22,3,2,1917,0,2,3,2,1,2,2,25,2,1,1,2,1,0,0,2,0
62,3,14,2,3,2789,1,3,2,2,0,3,2,30,2,1,2,2,1,1,0,1,0
63,1,20,3,2,2350,0,2,3,1,1,2,2,26,2,1,2,2,1,0,0,1,0
64,2,16,3,3,3698,1,3,2,2,0,3,2,28,2,1,1,2,1,1,0,2,0
65,3,19,2,2,2019,0,2,3,2,1,2,2,24,2,1,2,2,1,0,0,1,0
66,2,25,3,3,4432,1,3,2,2,0,3,2,29,2,1,1,2,1,1,0,2,0
67,1,17,2,2,2498,0,2,3,1,1,2,2,25,2,1,2,2,1,0,0,1,0
68,3,21,3,3,3981,1,3,2,2,0,3,2,28,2,1,1,2,1,1,0,1,0
69,2,13,2,2,1839,0,2,3,2,1,2,2,24,2,1,2,2,1,0,0,2,0
70,2,15,3,2,1839,2,2,3,2,0,3,2,39,1,1,2,2,1,1,0,1,0
71,1,12,3,1,2682,1,3,2,2,0,2,3,28,2,0,2,3,1,0,1,1,0
72,3,9,1,3,1302,0,2,4,1,0,1,2,34,1,1,1,2,1,1,0,2,0
73,2,18,2,2,2469,3,4,1,2,0,4,1,49,2,2,2,2,2,1,0,2,0
74,0,15,4,0,1956,1,3,3,2,0,3,2,31,0,1,2,2,1,0,0,1,0
75,3,12,3,9,2013,0,0,4,2,0,2,2,44,1,1,2,3,1,1,0,2,0
76,1,9,2,9,1647,0,3,3,1,0,2,2,29,2,1,2,2,1,0,0,1,0
77,0,18,2,1,7122,4,4,1,2,0,4,1,53,2,2,1,2,2,1,0,2,0
78,3,6,4,3,1011,0,2,4,1,0,1,1,32,2,1,1,2,1,0,0,2,0
79,2,24,4,1,2415,0,3,4,2,0,3,2,37,2,1,2,2,1,1,0,1,0
80,2,19,2,2,4211,1,3,3,1,0,3,2,39,2,1,2,1,1,1,0,1,0
81,1,8,4,1,4821,4,2,2,2,0,2,0,35,2,1,1,2,2,0,0,1,0
82,0,22,2,2,2691,0,1,3,1,0,2,1,26,2,0,2,1,1,1,0,1,0
83,3,15,4,0,3987,4,2,2,2,0,3,2,48,2,1,1,2,2,0,0,1,0
84,2,13,2,3,5142,1,3,2,1,0,2,0,31,2,1,2,1,1,0,0,1,0
85,1,20,4,1,6231,0,2,3,2,0,3,3,50,2,2,1,2,2,0,0,1,0
86,0,10,2,2,4368,4,1,2,1,0,2,1,25,2,0,2,1,1,1,0,1,0
87,3,16,4,0,5529,0,3,3,2,0,3,2,46,2,1,1,2,2,0,0,1,0
88,2,14,2,3,4819,1,2,2,1,0,2,0,32,2,1,2,1,1,0,0,1,0
89,1,18,4,1,5918,0,2,3,2,0,3,3,52,2,2,1,2,2,0,0,1,0
90,2,15,3,2,2581,0,2,3,2,0,3,1,36,2,0,1,2,2,0,0,1,0
91,1,20,2,3,3100,1,2,2,2,0,2,1,28,2,1,2,1,1,0,1,1,0
92,0,12,3,2,2200,0,3,3,2,0,4,1,33,2,0,2,2,2,1,0,1,0
93,3,18,2,4,2800,0,2,4,2,0,3,2,31,2,1,1,3,1,0,0,1,0
94,2,24,2,3,3500,1,2,3,2,0,2,1,29,2,1,2,2,2,1,0,1,0
95,1,12,3,2,2400,0,3,3,2,0,4,1,35,2,0,2,2,2,0,0,1,0
96,0,18,2,4,3000,0,2,4,2,0,3,2,32,2,1,1,3,1,1,0,1,0
97,3,20,3,2,2600,1,2,3,2,0,2,1,30,2,1,2,2,2,0,1,1,0
98,2,15,2,3,2900,0,2,3,2,0,3,1,34,2,0,2,2,2,1,0,1,0
99,1,12,3,2,2100,0,3,3,2,0,4,1,37,2,0,2,2,2,0,0,1,0
100,2,22,2,6,2911,3,3,3,1,0,3,1,39,2,1,2,1,1,1,0,1,0
101,1,32,1,2,4673,4,1,2,2,0,1,1,32,1,1,1,2,2,0,0,1,0
102,3,20,4,5,3821,2,4,3,1,0,2,3,44,2,1,2,1,1,1,0,1,0
103,1,38,2,1,5492,4,3,4,2,0,3,2,41,1,1,1,2,2,0,0,1,0
104,3,29,2,6,2511,3,2,4,1,0,2,1,46,2,1,2,1,1,1,0,1,0
105,2,25,1,4,4023,4,4,2,2,0,3,2,30,1,1,1,2,2,0,0,2,0
106,0,35,4,3,5198,0,2,4,1,0,3,3,37,0,1,1,1,1,1,0,2,0
107,2,31,2,0,2781,4,1,3,2,0,2,2,43,2,1,1,2,1,0,0,1,0
108,1,26,4,4,4675,4,4,4,1,0,2,2,50,2,1,1,1,1,1,0,1,0
109,3,33,2,6,3421,2,3,4,2,0,1,2,36,1,1,2,1,1,0,0,1,0
110,2,28,2,3,3056,1,1,3,2,0,3,2,31,2,1,1,2,1,0,0,1,0
111,1,40,3,5,4211,0,2,2,1,0,2,1,22,2,0,2,1,1,0,0,2,0
112,3,20,2,2,1987,1,3,4,2,0,1,2,28,2,1,1,2,1,1,0,1,0
113,0,30,3,3,2769,0,1,3,1,0,4,1,24,2,0,2,2,1,0,0,2,0
114,2,48,2,1,5099,1,2,2,2,0,3,0,21,2,1,1,1,1,0,0,1,0
115,1,26,4,4,2541,0,2,3,1,0,2,2,26,2,1,2,2,1,0,0,1,0
116,3,16,3,0,1439,0,0,4,2,0,1,0,42,2,2,2,2,2,0,0,2,0
117,2,38,2,0,3632,4,3,3,1,0,4,1,23,2,0,1,2,1,0,0,1,0
118,1,8,2,0,3918,0,2,2,2,2,3,1,25,2,0,1,2,1,0,0,1,0
119,3,14,3,4,649,0,2,4,3,1,4,0,19,2,0,2,2,1,0,0,1,0
120,2,21,3,2,3011,0,3,3,2,0,2,0,29,2,1,2,2,1,1,0,2,0
121,1,17,2,4,1839,0,2,2,2,0,3,0,35,2,1,2,2,1,0,0,1,0
122,3,13,3,3,2487,0,4,3,2,0,2,0,41,2,1,2,2,1,1,0,1,0
123,2,20,2,2,3948,0,2,4,2,0,3,0,32,2,1,2,2,1,0,0,2,0
124,1,16,3,4,2756,0,3,2,2,0,2,0,38,2,1,2,2,1,1,0,1,0
125,3,19,2,3,3621,0,4,3,2,0,2,0,44,2,1,2,2,1,0,0,1,0
126,2,14,3,2,3174,0,2,2,2,0,3,0,39,2,1,2,2,1,1,0,2,0
127,3,22,2,4,4218,0,3,4,2,0,2,0,49,2,1,2,2,1,0,0,1,0
128,1,11,3,3,2369,0,2,3,2,0,3,0,26,2,1,2,2,1,1,0,2,0
129,3,23,2,2,4509,0,4,3,2,0,2,0,51,2,1,2,2,1,0,0,1,0
130,1,22,3,3,4211,0,2,3,1,0,3,2,29,2,1,2,2,1,0,0,2,0
131,0,20,2,4,2881,0,2,2,2,0,4,2,32,2,1,1,1,1,0,0,1,0
132,2,25,3,3,3980,0,2,3,1,0,4,2,27,2,1,2,2,1,0,0,1,0
133,0,21,2,4,3491,0,2,2,2,0,4,2,30,2,1,1,1,1,0,0,2,0
134,3,19,3,3,4682,0,2,3,1,0,4,2,28,2,1,2,2,1,0,0,1,0
135,1,23,2,4,3071,0,2,2,2,0,4,2,31,2,1,1,1,1,0,0,1,0
136,0,24,3,3,4219,0,2,3,1,0,4,2,29,2,1,2,2,1,0,0,2,0
137,2,20,2,4,2881,0,2,2,2,0,4,2,32,2,1,1,1,1,0,0,1,0
138,0,22,3,3,3980,0,2,3,1,0,4,2,27,2,1,2,2,1,0,0,1,0
139,3,21,2,4,3491,0,2,2,2,0,4,2,30,2,1,1,1,1,0,0,2,0
140,2,18,3,2,1056,2,2,3,2,0,3,1,32,2,1,2,2,1,1,0,1,0
141,3,20,2,5,2018,3,1,3,1,0,2,2,41,2,1,1,1,1,0,0,1,0
142,1,16,3,3,1189,2,2,2,2,0,3,1,33,2,1,2,2,1,1,0,1,0
143,2,19,4,4,1328,3,2,3,2,0,3,2,38,2,2,1,2,1,0,0,2,0
144,3,17,3,1,980,2,2,4,2,0,2,1,29,2,1,2,2,1,1,0,1,0
145,2,14,2,5,1632,2,1,3,1,0,3,2,40,2,1,1,1,1,0,0,1,0
146,3,22,4,2,2619,3,2,3,2,0,2,1,31,2,1,2,2,1,1,0,1,0
147,1,13,3,4,1492,2,2,2,2,0,3,1,34,2,1,2,2,1,0,0,1,0
148,3,21,3,3,2048,3,2,4,2,0,2,2,28,2,2,1,2,1,1,0,1,0
149,2,16,4,1,1080,2,2,3,1,0,3,1,36,2,1,2,2,1,0,0,1,0
150,2,39,1,2,3911,1,3,3,2,0,3,1,34,1,2,2,2,1,0,0,2,0
151,1,27,3,1,1739,0,2,2,1,0,1,2,26,0,1,1,3,1,1,0,1,0
152,3,33,2,4,5018,1,4,4,2,0,3,1,36,2,2,2,2,1,0,0,2,0
153,2,18,1,3,2489,0,3,2,1,0,2,1,30,1,1,2,2,1,0,0,1,0
154,1,42,3,2,6192,1,4,4,2,0,3,2,40,2,2,1,3,1,1,0,2,0
155,3,24,2,1,1873,0,2,2,2,0,2,1,27,0,1,1,2,1,0,0,2,0
156,2,30,1,4,4398,1,3,3,1,0,2,2,32,1,2,2,2,1,1,0,1,0
157,1,36,3,3,5349,0,4,4,2,0,3,1,38,2,2,1,3,1,0,0,2,0
158,3,21,2,2,3091,1,3,2,1,0,2,2,29,1,1,2,2,1,1,0,1,0
159,2,45,1,1,7431,0,4,4,2,0,3,2,41,2,2,1,3,1,0,0,2,0
160,2,19,3,2,2019,1,2,3,2,0,3,2,25,2,1,2,2,2,0,0,1,0
161,1,22,4,8,3111,3,3,4,1,0,3,2,31,2,1,1,2,1,0,0,1,0
162,3,15,2,4,1866,0,2,1,1,0,2,1,26,2,0,2,2,1,0,0,1,0
163,0,20,2,0,1091,4,4,4,2,0,2,2,28,0,1,1,2,1,0,0,2,0
164,2,24,4,9,2583,4,3,4,2,0,3,3,35,2,1,2,2,2,1,0,1,0
165,1,18,2,0,1421,0,1,1,1,0,2,2,24,2,1,1,1,1,0,0,2,0
166,3,21,4,3,2049,0,1,4,1,0,4,1,25,2,1,1,2,1,1,0,1,0
167,0,15,3,2,1757,1,2,3,2,0,3,2,27,2,1,2,2,2,0,0,1,0
168,2,19,2,0,1189,4,4,4,1,0,2,2,30,0,1,1,2,1,0,0,2,0
169,1,22,4,8,2941,3,3,4,2,0,3,2,32,2,1,1,2,1,0,0,1,0
170,2,30,3,2,3968,1,3,3,2,0,3,1,40,1,1,2,2,1,0,0,1,0
171,1,20,3,3,1928,0,2,4,2,0,3,2,35,1,1,1,2,1,0,0,1,0
172,2,42,4,1,5298,1,4,3,2,0,4,1,45,1,1,2,2,1,0,0,1,0
173,0,18,2,4,2039,0,3,4,2,0,3,2,30,2,1,1,2,1,0,0,2,0
174,1,36,3,3,3158,1,2,3,2,0,3,1,42,1,1,2,2,1,0,0,1,0
175,2,12,4,2,1878,0,4,4,2,0,3,2,38,2,1,1,2,1,0,0,1,0
176,0,24,3,4,2443,1,3,4,2,0,3,1,40,1,1,2,2,1,0,0,1,0
177,3,18,4,1,2819,1,4,3,2,0,4,1,50,1,1,2,2,1,0,0,1,0
178,1,30,3,3,3629,1,2,3,2,0,3,1,45,1,1,2,2,1,0,0,1,0
179,2,42,4,2,4883,1,4,3,2,0,4,1,55,1,1,2,2,1,0,0,1,0
180,2,20,1,3,3511,3,3,3,2,0,3,1,31,2,1,2,1,2,1,0,2,0
181,1,18,3,5,2011,2,2,2,1,0,4,2,38,2,2,1,2,1,0,0,1,0
182,3,15,2,6,2841,1,3,3,2,0,4,1,41,2,1,1,2,2,1,0,2,0
183,2,12,1,4,1611,2,2,2,2,0,3,2,29,2,2,2,1,1,0,0,1,0
184,1,21,3,5,3519,3,4,1,2,0,4,1,40,2,1,2,2,1,0,0,2,0
185,3,9,2,3,1051,1,2,3,1,0,4,2,32,2,2,1,2,1,1,0,1,0
186,2,18,2,4,2351,2,3,2,2,0,4,1,36,2,1,1,2,2,0,0,2,0
187,1,15,3,6,2911,3,2,3,2,0,4,2,44,2,2,2,1,1,1,0,1,0
188,3,12,1,5,2019,2,4,2,2,0,3,1,34,2,1,2,2,1,0,0,2,0
189,2,9,3,4,1251,1,3,3,1,0,4,2,37,2,2,1,2,2,1,0,1,0
190,2,42,3,2,5039,1,2,3,2,0,3,2,38,2,1,1,2,1,0,0,1,0
191,1,39,2,1,2751,0,2,4,1,0,2,1,31,2,1,1,2,1,0,0,2,0
192,1,51,3,0,6219,1,1,4,1,0,2,1,28,2,1,1,3,1,0,0,2,0
193,2,18,2,1,2019,1,2,2,2,0,2,1,26,2,0,1,2,1,0,0,2,0
194,2,9,4,3,1881,0,3,1,1,0,2,2,29,2,0,2,2,1,1,0,1,0
195,1,24,4,8,4018,0,3,2,2,0,3,1,32,2,1,2,2,1,0,0,1,0
196,1,45,2,0,4346,0,3,4,2,0,4,3,43,2,2,1,2,2,0,0,2,0
197,0,9,4,0,1539,0,1,2,2,0,4,0,37,2,1,1,1,2,0,1,1,0
198,0,9,2,0,1346,1,4,3,2,0,2,1,40,2,1,1,2,1,1,0,1,0
199,3,15,2,0,3872,4,1,2,2,0,3,1,42,2,1,1,3,2,1,0,1,0
200,2,27,3,3,4119,2,2,3,2,0,3,1,32,1,1,2,2,1,1,0,1,0
201,1,21,2,2,2711,3,3,4,2,0,3,2,35,1,0,2,3,1,1,0,1,0
202,3,24,3,4,5011,4,3,3,2,0,3,1,28,1,1,1,2,1,1,0,2,0
203,2,30,2,3,3800,1,3,4,2,0,4,2,34,1,1,2,3,1,0,0,1,0
204,1,18,3,4,2938,4,2,2,2,0,3,1,26,0,1,1,2,1,1,0,1,0
205,3,36,3,3,6271,3,3,4,2,0,3,2,33,1,0,2,2,1,1,0,1,0
206,2,27,2,4,4391,2,2,3,2,0,4,1,29,1,1,1,3,1,1,0,2,0
207,1,24,3,3,3659,4,3,4,2,0,3,2,31,1,0,2,2,1,1,0,1,0
208,3,21,2,4,3489,3,3,3,2,0,4,1,30,0,1,2,3,1,1,0,2,0
209,2,30,3,4,5648,2,3,4,2,0,3,2,27,1,0,1,2,1,1,0,1,0
210,2,30,3,5,5012,2,3,3,2,0,3,2,30,2,1,2,2,2,0,0,1,0
211,1,42,2,8,8173,3,4,4,1,0,3,2,38,2,1,2,2,1,1,0,1,0
212,3,12,3,2,2349,1,2,3,2,0,2,1,25,2,1,1,2,1,0,0,1,0
213,2,36,2,6,4698,2,3,4,1,0,3,2,32,2,1,2,2,2,0,0,1,0
214,1,24,3,4,3987,2,3,3,2,0,2,2,28,2,1,1,2,1,0,0,1,0
215,3,48,3,8,9421,3,4,4,1,0,3,2,40,2,1,2,2,2,0,0,1,0
216,2,18,2,3,2019,1,2,3,2,0,2,1,22,2,1,1,2,1,0,0,1,0
217,1,30,3,5,4211,2,3,3,2,0,2,2,29,2,1,2,2,2,0,0,1,0
218,3,42,2,8,8812,3,4,4,1,0,3,2,39,2,1,2,2,1,1,0,1,0
219,2,12,3,2,1769,1,2,3,2,0,2,1,20,2,1,1,2,1,0,0,1,0
220,2,20,2,5,2781,1,3,2,2,0,3,1,35,1,1,2,2,1,0,0,1,0
221,1,32,1,8,4091,1,2,3,1,0,3,2,41,2,1,1,3,1,1,0,2,0
222,3,40,2,6,3519,2,3,3,2,0,2,1,26,2,1,2,2,1,0,0,1,0
223,2,28,2,4,2967,1,2,2,3,0,2,2,39,1,1,1,3,1,1,0,1,0
224,1,44,2,8,4631,2,3,3,1,0,3,1,48,2,1,2,2,1,0,0,2,0
225,3,16,2,5,2371,1,2,2,2,0,2,2,33,1,1,1,3,1,1,0,1,0
226,2,24,1,6,3819,2,3,3,1,0,3,1,44,2,1,2,2,1,0,0,1,0
227,1,36,2,7,4271,1,2,2,3,0,2,2,31,1,1,1,3,1,1,0,1,0
228,3,20,2,5,3147,2,3,3,1,0,3,1,46,2,1,2,2,1,0,0,2,0
229,2,32,1,6,3981,1,2,2,2,0,2,2,40,1,1,1,3,1,1,0,1,0
230,2,18,4,1,2019,1,3,3,1,0,3,1,43,1,1,2,1,1,0,0,1,0
231,3,15,2,4,1439,2,2,4,2,0,4,2,51,2,0,1,2,2,0,0,1,0
232,1,12,4,3,2617,1,4,2,2,0,3,1,40,1,1,2,3,1,0,0,2,0
233,3,9,2,7,1066,0,3,4,1,0,4,2,48,2,1,1,1,2,0,0,1,0
234,2,18,4,4,2369,2,2,3,2,0,4,1,42,1,0,2,2,1,0,0,1,0
235,3,12,2,1,1296,2,4,4,2,0,3,2,50,2,1,1,1,1,0,0,1,0
236,1,15,4,7,2039,0,3,2,1,0,4,1,45,1,1,2,3,2,0,0,1,0
237,3,9,2,4,1549,1,2,4,2,0,4,2,46,2,0,1,2,1,0,0,1,0
238,2,12,4,3,2217,2,4,3,2,0,3,1,44,1,1,2,1,1,0,0,2,0
239,3,18,2,7,1919,0,2,4,1,0,4,2,49,2,1,1,2,2,0,0,1,0
240,2,26,3,2,3819,1,3,3,2,0,3,2,41,2,1,2,2,1,0,0,1,0
241,1,20,2,5,2511,0,3,2,2,0,3,1,32,2,1,2,3,2,0,0,1,0
242,3,28,1,6,4028,0,2,3,2,0,2,2,45,2,1,2,2,1,0,0,1,0
243,0,15,3,4,1918,0,3,2,1,0,3,1,39,2,1,2,2,1,0,0,1,0
244,2,32,2,7,2739,1,2,4,2,0,3,3,50,2,1,2,3,2,0,0,1,0
245,3,18,3,3,3421,0,3,3,2,0,2,1,36,2,1,2,2,1,0,0,1,0
246,1,25,1,6,3129,0,2,3,2,0,3,2,42,2,1,2,3,2,0,0,1,0
247,0,22,2,5,2619,0,3,4,2,0,3,3,48,2,1,2,2,1,0,0,1,0
248,3,19,3,4,3519,1,2,3,2,0,2,2,38,2,1,2,2,2,0,0,1,0
249,2,29,2,7,2821,0,2,3,2,0,3,3,44,2,1,2,3,2,0,0,1,0
250,2,9,3,5,1181,1,2,3,2,0,3,1,39,1,1,2,1,1,0,0,1,0
251,1,21,1,3,2019,1,3,2,1,0,2,2,31,2,0,1,2,1,0,0,1,0
252,0,15,4,6,1058,0,1,3,3,0,4,1,26,1,1,2,1,1,0,0,2,0
253,3,12,2,1,2819,2,2,1,2,0,3,0,36,2,1,1,2,1,0,0,1,0
254,1,8,3,8,1439,0,3,4,1,0,1,2,29,0,2,1,1,1,0,0,2,0
255,0,18,2,4,2067,1,1,2,3,0,4,0,32,2,0,1,2,1,0,0,1,0
256,2,10,1,2,1631,0,2,3,2,0,2,1,38,1,1,2,1,1,0,0,1,0
257,1,14,4,5,1291,1,1,4,1,0,3,2,24,2,0,1,2,1,0,0,2,0
258,0,20,2,3,2391,0,3,2,2,0,1,1,35,0,2,1,1,1,0,0,1,0
259,3,11,1,6,1872,2,2,3,3,0,4,0,30,2,1,1,2,1,0,0,1,0
260,2,19,1,2,1849,3,3,3,2,0,3,1,38,1,1,2,2,1,1,0,2,0
261,2,14,3,5,1056,1,2,2,1,0,4,1,39,1,1,2,1,1,0,0,1,0
262,3,20,2,4,1291,3,4,4,2,0,3,1,37,2,1,1,2,1,1,0,1,0
263,1,16,1,3,2211,2,2,3,1,0,4,1,35,1,1,2,2,1,0,0,2,0
264,3,22,3,6,1489,1,4,4,2,0,3,1,40,2,1,1,2,1,1,0,1,0
265,2,11,2,5,2533,3,3,2,2,0,4,1,36,1,1,2,1,1,0,0,1,0
266,1,13,3,4,1000,2,2,4,1,0,3,1,34,2,1,2,2,1,1,0,2,0
267,3,17,1,6,1200,1,4,3,2,0,4,1,38,1,1,1,1,1,0,0,1,0
268,2,15,3,5,900,3,3,4,2,0,3,1,39,2,1,2,2,1,1,0,1,0
269,1,19,2,4,1100,2,2,3,1,0,4,1,36,1,1,1,1,1,0,0,2,0
270,2,21,4,2,4211,1,3,3,2,0,4,2,43,2,2,2,3,1,1,0,1,0
271,1,19,3,3,5518,2,1,3,1,0,3,3,51,2,2,1,2,1,0,0,1,0
272,3,25,4,2,3987,3,3,4,2,0,4,2,46,2,1,2,3,1,1,0,1,0
273,0,16,3,4,2751,1,2,3,2,0,4,1,39,2,2,2,2,1,0,0,1,0
274,2,20,4,3,4828,2,3,4,2,0,4,3,55,2,1,1,2,1,1,0,1,0
275,1,14,4,2,3695,3,2,3,1,0,4,2,42,2,2,2,3,1,0,0,1,0
276,3,22,3,4,5132,1,3,4,2,0,4,3,49,2,1,2,2,1,1,0,1,0
277,0,18,4,3,4362,2,2,3,2,0,4,2,44,2,2,1,2,1,0,0,1,0
278,2,24,4,2,5015,3,3,4,2,0,4,3,53,2,1,2,3,1,1,0,1,0
279,1,17,3,3,4081,1,2,3,2,0,4,2,45,2,2,2,2,1,0,0,1,0
280,2,10,3,2,1987,1,3,3,2,0,3,1,26,2,1,2,2,1,0,0,1,0
281,1,18,2,3,2639,2,2,3,1,0,2,2,28,2,1,1,1,1,0,0,1,0
282,3,8,4,4,1419,1,4,2,2,0,3,1,32,2,0,2,2,1,0,0,1,0
283,2,14,2,2,2291,1,3,3,2,0,3,2,25,2,1,2,1,1,0,0,2,0
284,1,20,3,3,3051,2,2,3,1,0,2,1,29,2,1,1,2,1,0,0,1,0
285,3,12,4,4,1867,1,4,2,2,0,3,1,31,2,0,2,2,1,0,0,1,0
286,2,16,2,3,2485,2,3,3,2,0,3,2,27,2,1,2,1,1,0,0,2,0
287,1,10,3,2,1625,1,2,3,1,0,2,1,24,2,1,1,2,1,0,0,1,0
288,3,18,4,4,2763,2,4,2,2,0,3,1,30,2,0,2,2,1,0,0,1,0
289,2,14,2,3,2019,1,3,3,2,0,3,2,26,2,1,2,1,1,0,0,2,0
290,2,30,3,2,2911,1,2,3,1,0,3,1,40,1,1,2,2,1,1,0,2,0
291,1,21,1,5,1234,0,3,2,2,0,2,1,34,2,2,1,1,2,0,0,1,0
