,height,length,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans,class,real_identifier
81,7.0,10.0,70.0,1.43,0.401,0.936,2.13,28.0,67.0,16.0,1.0,0
82,4.0,172.0,688.0,43.0,0.476,0.613,28.42,328.0,360.0,11.0,2.0,0
83,12.0,98.0,1176.0,8.17,0.259,0.837,1.62,303.0,973.0,168.0,1.0,0
84,2.0,42.0,84.0,21.0,0.731,1.0,4.98,61.0,84.0,5.0,2.0,0
85,11.0,25.0,275.0,2.27,0.332,0.953,2.09,91.0,261.0,33.0,1.0,0
86,5.0,190.0,950.0,38.0,0.467,0.589,27.35,443.0,507.0,11.0,2.0,0
87,30.0,32.0,960.0,1.07,0.102,0.263,5.57,98.0,247.0,14.0,5.0,0
88,6.0,8.0,48.0,1.33,0.412,0.892,2.56,20.0,43.0,9.0,1.0,0
89,10.0,154.0,1540.0,15.4,0.269,0.811,1.98,414.0,1126.0,244.0,1.0,0
90,8.0,160.0,1280.0,20.0,0.333,0.75,2.2,426.0,960.0,183.0,1.0,0
91,7.0,110.0,770.0,15.714,0.35,0.8,2.0,269.0,592.0,120.0,1.0,0
92,6.0,28.0,168.0,4.667,0.32,0.78,1.3,54.0,131.0,36.0,1.0,0
93,9.0,220.0,1980.0,24.444,0.29,0.74,2.3,574.0,1465.0,319.0,1.0,0
94,5.0,17.0,85.0,3.4,0.25,0.35,5.0,21.0,30.0,3.0,2.0,0
95,10.0,58.0,580.0,5.8,0.3,0.72,1.9,174.0,417.0,89.0,1.0,0
96,8.0,65.0,520.0,8.125,0.42,0.93,2.8,218.0,494.0,66.0,1.0,0
97,9.0,190.0,1710.0,21.111,0.27,0.76,2.1,461.0,1300.0,246.0,1.0,0
98,4.0,21.0,84.0,5.25,0.26,0.4,4.8,22.0,33.0,5.0,2.0,0
99,7.0,130.0,910.0,18.571,0.1,0.4,1.3,91.0,364.0,70.0,1.0,0
100,7.0,22.0,154.0,3.143,0.48,0.83,2.45,74.0,128.0,26.0,1.0,0
101,1.0,9.0,9.0,9.0,0.778,0.986,5.0,7.0,8.9,1.0,2.0,0
102,11.0,108.0,1188.0,9.818,0.234,0.698,1.72,278.0,819.0,182.0,1.0,0
103,8.0,17.0,136.0,2.125,0.52,0.81,7.4,70.0,110.0,12.0,1.0,0
104,2.0,48.0,96.0,24.0,0.47,0.53,15.0,45.0,50.0,2.0,2.0,0
105,10.0,210.0,2100.0,21.0,0.23,0.96,1.65,483.0,2016.0,282.0,1.0,0
106,9.0,16.0,144.0,1.778,0.532,0.82,7.5,76.0,118.0,10.0,1.0,0
107,6.0,30.0,180.0,5.0,0.31,0.72,2.2,56.0,129.0,24.0,1.0,0
108,1.0,7.0,7.0,7.0,0.857,1.0,6.0,6.0,7.0,1.0,2.0,0
109,13.0,112.0,1456.0,8.615,0.24,0.71,1.6,349.0,1015.0,183.0,1.0,0
110,10.0,95.0,950.0,9.5,0.312,0.88,2.3,296.0,828.0,102.0,1.0,0
111,3.0,58.0,174.0,19.333,0.475,0.522,19.4,83.0,91.0,2.0,2.0,0
112,14.0,73.0,1022.0,5.214,0.256,0.714,1.78,261.0,733.0,128.0,1.0,0
113,2.0,34.0,68.0,17.0,0.503,0.568,17.0,34.0,38.0,1.0,2.0,0
114,6.0,28.0,168.0,4.667,0.315,0.892,1.42,53.0,150.0,25.0,1.0,0
115,20.0,2.0,40.0,0.1,1.0,1.0,20.0,40.0,40.0,1.0,4.0,0
116,11.0,57.0,627.0,5.182,0.271,0.698,1.63,169.0,437.0,99.0,1.0,0
117,8.0,77.0,616.0,9.625,0.345,0.953,2.02,212.0,586.0,117.0,1.0,0
118,1.0,63.0,63.0,63.0,0.932,1.0,21.0,59.0,63.0,3.0,2.0,0
119,7.0,41.0,287.0,5.857,0.45,0.917,2.89,129.0,261.0,43.0,1.0,0
120,7.0,100.0,700.0,14.286,0.429,0.912,2.33,300.0,637.0,98.0,1.0,0
121,5.0,15.0,75.0,3.0,0.167,0.333,4.2,12.0,25.0,5.0,5.0,0
122,8.0,30.0,240.0,3.75,0.408,0.783,2.11,98.0,187.0,49.0,1.0,0
123,9.0,100.0,900.0,11.111,0.42,0.93,2.5,378.0,837.0,162.0,1.0,0
124,6.0,10.0,60.0,1.667,0.25,0.833,1.8,15.0,50.0,12.0,1.0,0
125,7.0,20.0,140.0,2.857,0.35,0.943,1.78,49.0,133.0,21.0,1.0,0
126,4.0,11.0,44.0,2.75,0.182,0.364,3.9,8.0,16.0,3.0,5.0,0
127,8.0,50.0,400.0,6.25,0.375,0.75,1.95,150.0,300.0,75.0,1.0,0
128,10.0,120.0,1200.0,12.0,0.433,0.958,2.6,520.0,1148.0,200.0,1.0,0
129,6.0,24.0,144.0,4.0,0.458,0.992,1.89,66.0,142.0,38.0,1.0,0
130,10.0,28.0,280.0,2.8,0.352,0.823,2.12,99.0,230.0,45.0,1.0,0
131,9.0,22.0,198.0,2.444,0.371,0.845,1.89,74.0,163.0,30.0,1.0,0
132,11.0,34.0,374.0,3.091,0.415,0.798,2.76,153.0,297.0,55.0,1.0,0
133,6.0,18.0,108.0,3.0,0.31,0.871,1.45,34.0,95.0,22.0,1.0,0
134,10.0,40.0,400.0,4.0,0.468,0.832,3.02,187.0,333.0,67.0,1.0,0
135,8.0,15.0,120.0,1.875,0.583,0.802,6.14,70.0,96.0,14.0,1.0,0
136,12.0,27.0,324.0,2.25,0.294,0.768,1.98,95.0,247.0,38.0,1.0,0
137,7.0,32.0,224.0,4.571,0.333,0.814,1.71,75.0,183.0,50.0,1.0,0
138,9.0,19.0,171.0,2.111,0.392,0.856,2.03,67.0,145.0,26.0,1.0,0
139,4.0,4.0,16.0,1.0,0.889,0.889,7.5,14.0,14.0,2.0,1.0,0
140,7.0,14.0,98.0,2.0,0.41,0.89,1.95,40.0,88.0,20.0,1.0,0
141,9.0,120.0,1080.0,13.333,0.25,0.75,1.3,270.0,810.0,150.0,1.0,0
142,6.0,22.0,132.0,3.667,0.4,0.85,2.2,53.0,112.0,24.0,1.0,0
143,10.0,300.0,3000.0,30.0,0.21,0.76,1.35,630.0,2280.0,490.0,1.0,0
144,8.0,18.0,144.0,2.25,0.43,0.91,1.8,62.0,130.0,26.0,1.0,0
145,5.0,12.0,60.0,2.4,0.38,0.93,1.2,23.0,56.0,14.0,1.0,0
146,11.0,200.0,2200.0,18.182,0.33,0.79,2.6,726.0,1738.0,334.0,1.0,0
147,7.0,28.0,196.0,4.0,0.45,0.77,2.4,88.0,150.0,34.0,1.0,0
148,12.0,100.0,1200.0,8.333,0.36,0.72,2.7,432.0,864.0,168.0,1.0,0
149,9.0,80.0,720.0,8.889,0.34,0.78,1.9,245.0,561.0,114.0,1.0,0
150,8.0,45.0,360.0,5.625,0.32,0.89,1.75,115.0,324.0,26.0,1.0,0
151,1.0,104.0,104.0,104.0,1.0,1.0,104.0,104.0,104.0,1.0,4.0,0
152,5.0,96.0,480.0,19.2,0.36,0.78,1.45,173.0,371.0,49.0,2.0,0
153,11.0,13.0,143.0,1.182,0.29,0.55,6.95,41.0,78.0,10.0,1.0,0
154,2.0,67.0,134.0,67.0,1.0,1.0,67.0,134.0,134.0,1.0,2.0,0
155,9.0,34.0,306.0,3.778,0.34,0.88,1.93,104.0,270.0,47.0,1.0,0
156,14.0,3.0,42.0,0.214,0.54,0.61,14.0,23.0,26.0,1.0,2.0,0
157,6.0,290.0,1740.0,48.333,0.33,0.45,23.05,574.0,783.0,30.0,1.0,0
158,12.0,21.0,252.0,1.75,0.31,0.44,7.2,78.0,110.0,12.0,1.0,0
159,1.0,189.0,189.0,189.0,1.0,1.0,189.0,189.0,189.0,1.0,4.0,0
160,7.0,19.0,133.0,2.714,0.368,0.889,2.43,49.0,119.0,19.0,1.0,0
161,10.0,45.0,450.0,4.5,0.321,0.783,1.67,144.0,348.0,58.0,1.0,0
162,9.0,135.0,1215.0,15.0,0.375,0.833,2.29,454.0,1013.0,172.0,1.0,0
163,7.0,23.0,161.0,3.286,0.341,0.907,1.85,55.0,146.0,23.0,1.0,0
164,10.0,27.0,270.0,2.7,0.398,0.816,3.04,107.0,221.0,32.0,1.0,0
165,8.0,35.0,280.0,4.375,0.412,0.756,1.98,115.0,212.0,41.0,1.0,0
166,11.0,48.0,528.0,4.364,0.289,0.741,2.12,153.0,396.0,84.0,1.0,0
167,9.0,112.0,1008.0,12.444,0.343,0.864,2.36,347.0,861.0,160.0,1.0,0
168,8.0,28.0,224.0,3.5,0.379,0.821,2.91,85.0,183.0,35.0,1.0,0
169,12.0,200.0,2400.0,16.667,0.513,0.772,5.18,1225.0,1873.0,245.0,1.0,0
170,9.0,40.0,360.0,4.444,0.321,0.876,1.45,115.0,310.0,50.0,1.0,0
171,12.0,250.0,3000.0,20.833,0.192,0.615,1.38,576.0,1812.0,340.0,1.0,0
172,7.0,35.0,245.0,5.0,0.312,0.917,1.24,76.0,223.0,45.0,1.0,0
173,11.0,13.0,143.0,1.182,0.425,0.943,2.55,61.0,135.0,17.0,1.0,0
174,6.0,25.0,150.0,4.167,0.293,0.902,1.08,44.0,136.0,30.0,1.0,0
175,14.0,260.0,3640.0,18.857,0.165,0.587,1.42,594.0,2156.0,322.0,1.0,0
176,5.0,18.0,90.0,3.6,0.256,0.889,1.05,23.0,81.0,15.0,1.0,0
177,10.0,15.0,150.0,1.5,0.35,0.92,2.45,53.0,138.0,18.0,1.0,0
178,9.0,240.0,2160.0,26.667,0.183,0.601,1.47,395.0,1300.0,285.0,1.0,0
179,7.0,12.0,84.0,1.714,0.309,0.864,2.89,26.0,73.0,10.0,1.0,0
180,10.0,38.0,380.0,3.8,0.45,0.93,2.98,171.0,354.0,52.0,1.0,0
181,13.0,15.0,195.0,1.154,0.47,0.86,4.31,92.0,166.0,19.0,1.0,0
182,5.0,39.0,195.0,7.8,0.38,0.97,1.59,74.0,189.0,37.0,1.0,0
183,10.0,46.0,460.0,4.6,0.57,0.99,3.12,262.0,455.0,78.0,1.0,0
184,11.0,134.0,1474.0,12.182,0.32,0.74,2.99,472.0,1096.0,178.0,1.0,0
185,9.0,6.0,54.0,0.667,0.43,1.0,2.11,23.0,54.0,10.0,1.0,0
186,8.0,51.0,408.0,6.375,0.61,0.995,3.03,248.0,405.0,83.0,1.0,0
187,7.0,10.0,70.0,1.429,0.31,1.0,1.72,21.0,70.0,12.0,1.0,0
188,34.0,6.0,204.0,0.176,0.67,0.82,7.91,137.0,167.0,17.0,1.0,0
189,9.0,152.0,1368.0,16.889,0.21,0.73,1.23,287.0,1001.0,203.0,1.0,0
190,9.0,18.0,162.0,2.0,0.512,0.765,2.1,83.0,124.0,24.0,1.0,0
191,12.0,6.0,72.0,0.5,0.187,0.523,9.2,13.0,38.0,1.0,5.0,0
192,6.0,95.0,570.0,15.833,0.398,0.741,1.85,227.0,424.0,63.0,1.0,0
193,3.0,130.0,390.0,43.333,0.615,0.812,11.2,239.0,316.0,12.0,2.0,0
194,14.0,4.0,56.0,0.286,0.741,0.741,27.0,20.0,20.0,1.0,4.0,0
195,10.0,15.0,150.0,1.5,0.476,0.724,2.3,71.0,109.0,27.0,1.0,0
196,4.0,240.0,960.0,60.0,0.281,0.678,1.92,270.0,645.0,72.0,1.0,0
197,8.0,17.0,136.0,2.125,0.632,0.854,6.9,87.0,116.0,12.0,1.0,0
198,11.0,7.0,77.0,0.636,0.889,0.889,31.0,27.0,27.0,1.0,1.0,0
199,7.0,60.0,420.0,8.571,0.357,0.802,1.78,150.0,337.0,57.0,1.0,0
200,12.0,130.0,1560.0,10.833,0.29,0.734,2.05,452.0,1150.0,210.0,1.0,0
201,9.0,28.0,252.0,3.111,0.46,0.945,3.32,116.0,239.0,38.0,1.0,0
202,11.0,55.0,605.0,5.0,0.38,0.82,2.95,230.0,497.0,83.0,1.0,0
203,10.0,105.0,1050.0,10.5,0.25,0.746,1.42,263.0,792.0,175.0,1.0,0
204,10.0,140.0,1400.0,14.0,0.37,0.778,3.38,520.0,1085.0,150.0,1.0,0
205,8.0,48.0,384.0,6.0,0.34,0.975,1.47,131.0,373.0,91.0,1.0,0
206,5.0,22.0,110.0,4.4,0.41,0.915,1.76,45.0,100.0,21.0,1.0,0
207,10.0,12.0,120.0,1.2,0.28,0.931,1.56,34.0,112.0,20.0,1.0,0
208,18.0,16.0,288.0,0.889,0.49,0.59,18.75,142.0,170.0,8.0,1.0,0
209,16.0,22.0,352.0,1.375,0.39,0.842,4.67,137.0,298.0,31.0,1.0,0
210,9.0,23.0,207.0,2.556,0.397,0.829,2.32,81.0,170.0,20.0,1.0,0
211,8.0,114.0,912.0,14.25,0.218,0.641,1.39,198.0,583.0,126.0,1.0,0
212,10.0,47.0,470.0,4.7,0.475,0.853,3.5,223.0,399.0,73.0,1.0,0
213,7.0,18.0,126.0,2.571,0.323,0.764,1.64,40.0,96.0,18.0,1.0,0
214,12.0,35.0,420.0,2.917,0.256,0.682,1.47,107.0,287.0,64.0,1.0,0
215,8.0,55.0,440.0,6.875,0.425,0.837,2.84,187.0,366.0,91.0,1.0,0
216,12.0,28.0,336.0,2.333,0.344,0.798,1.91,115.0,267.0,58.0,1.0,0
217,9.0,14.0,126.0,1.556,0.38,0.69,1.53,48.0,87.0,10.0,1.0,0
218,30.0,112.0,3360.0,3.733,0.317,0.694,6.9,1063.0,2330.0,250.0,5.0,0
219,25.0,30.0,750.0,1.2,0.463,0.735,7.1,347.0,551.0,54.0,3.0,0
220,10.0,50.0,500.0,5.0,0.3,0.85,1.5,150.0,425.0,75.0,1.0,0
221,14.0,200.0,2800.0,14.286,0.22,0.75,1.8,616.0,2100.0,316.0,1.0,0
222,7.0,25.0,175.0,3.571,0.35,1.0,2.0,61.0,175.0,39.0,1.0,0
223,9.0,40.0,360.0,4.444,0.4,0.95,2.0,144.0,342.0,54.0,1.0,0
224,12.0,150.0,1800.0,12.5,0.25,0.8,1.6,450.0,1440.0,210.0,1.0,0
225,8.0,70.0,560.0,8.75,0.2,0.85,1.3,112.0,476.0,92.0,1.0,0
226,10.0,100.0,1000.0,10.0,0.28,0.78,1.7,280.0,780.0,160.0,1.0,0
227,11.0,25.0,275.0,2.273,0.35,0.7,3.0,96.0,192.0,33.0,1.0,0
228,6.0,30.0,180.0,5.0,0.33,1.0,2.2,59.0,180.0,41.0,1.0,0
229,13.0,180.0,2340.0,13.846,0.24,0.76,1.9,561.0,1778.0,329.0,1.0,0
230,8.0,54.0,432.0,6.75,0.382,0.856,1.97,164.0,367.0,65.0,1.0,0
231,2.0,33.0,66.0,16.5,0.894,0.987,13.22,60.0,65.0,1.0,2.0,0
232,10.0,93.0,930.0,9.3,0.276,0.812,2.19,257.0,752.0,123.0,1.0,0
233,7.0,26.0,182.0,3.714,0.319,0.936,1.35,58.0,165.0,32.0,1.0,0
234,13.0,307.0,3991.0,23.615,0.347,0.624,4.58,1390.0,2487.0,313.0,1.0,0
235,4.0,21.0,84.0,5.25,0.395,0.978,1.14,33.0,82.0,1.0,1.0,0
236,9.0,77.0,693.0,8.556,0.285,0.843,1.76,197.0,590.0,103.0,1.0,0
237,3.0,40.0,120.0,13.333,0.912,0.996,11.89,109.0,118.0,2.0,2.0,0
238,6.0,42.0,252.0,7.0,0.308,0.849,1.56,78.0,215.0,53.0,1.0,0
239,11.0,158.0,1738.0,14.364,0.371,0.738,4.12,645.0,1293.0,253.0,1.0,0
240,6.0,68.0,408.0,11.333,0.268,0.693,1.3,109.0,280.0,90.0,1.0,0
241,11.0,108.0,1188.0,9.818,0.383,0.892,2.48,454.0,1053.0,164.0,1.0,0
242,4.0,110.0,440.0,27.5,0.532,0.601,24.12,234.0,265.0,14.0,2.0,0
243,12.0,90.0,1080.0,7.5,0.329,0.841,1.83,355.0,904.0,107.0,1.0,0
244,8.0,18.0,144.0,2.25,0.394,0.805,1.61,56.0,116.0,28.0,1.0,0
245,40.0,320.0,12800.0,8.0,0.284,0.637,5.89,3635.0,8127.0,657.0,5.0,0
246,10.0,55.0,550.0,5.5,0.371,0.909,2.05,204.0,499.0,72.0,1.0,0
247,3.0,100.0,300.0,33.333,0.482,0.574,18.67,145.0,173.0,10.0,2.0,0
248,15.0,120.0,1800.0,8.0,0.336,0.864,1.98,599.0,1555.0,142.0,1.0,0
249,7.0,75.0,525.0,10.714,0.293,0.721,1.45,153.0,380.0,88.0,1.0,0
250,8.0,180.0,1440.0,22.5,0.489,0.873,3.42,697.0,1273.0,300.0,1.0,0
251,7.0,18.0,126.0,2.571,0.437,0.982,1.73,55.0,124.0,30.0,1.0,0
252,6.0,15.0,90.0,2.5,0.511,0.724,1.94,46.0,65.0,19.0,1.0,0
253,1.0,19.0,19.0,19.0,0.895,1.0,14.3,17.0,19.0,3.0,2.0,0
254,11.0,60.0,660.0,5.455,0.451,0.91,2.76,297.0,603.0,104.0,1.0,0
255,4.0,24.0,96.0,6.0,0.625,1.0,2.1,60.0,96.0,25.0,1.0,0
256,1.0,17.0,17.0,17.0,0.412,1.0,15.0,7.0,17.0,4.0,2.0,0
257,9.0,85.0,765.0,9.444,0.314,0.891,2.1,239.0,688.0,133.0,1.0,0
258,10.0,58.0,580.0,5.8,0.448,0.874,2.69,260.0,513.0,98.0,1.0,0
259,6.0,12.0,72.0,2.0,0.389,0.804,1.63,28.0,58.0,13.0,1.0,0
260,9.0,210.0,1890.0,23.333,0.389,0.834,2.68,730.0,1570.0,321.0,1.0,0
261,14.0,10.0,140.0,0.714,0.14,0.401,1.85,19.0,56.0,9.0,5.0,0
262,10.0,250.0,2500.0,25.0,0.22,0.705,1.63,550.0,1775.0,378.0,1.0,0
263,6.0,22.0,132.0,3.667,0.235,0.821,1.22,31.0,108.0,15.0,1.0,0
264,13.0,7.0,91.0,0.538,0.095,0.281,1.97,8.0,25.0,6.0,4.0,0
265,12.0,270.0,3240.0,22.5,0.374,0.812,2.36,1200.0,2630.0,490.0,1.0,0
266,7.0,35.0,245.0,5.0,0.51,0.967,3.0,125.0,235.0,37.0,1.0,0
267,11.0,120.0,1320.0,10.909,0.425,0.798,4.1,560.0,1050.0,185.0,1.0,0
268,9.0,160.0,1440.0,17.778,0.476,0.935,2.95,685.0,1360.0,240.0,1.0,0
269,10.0,20.0,200.0,2.0,0.28,0.816,2.2,56.0,165.0,28.0,1.0,0
270,6.0,55.0,330.0,9.167,0.312,0.689,1.83,102.0,231.0,64.0,1.0,0
271,8.0,108.0,864.0,13.5,0.264,0.745,1.68,227.0,641.0,125.0,1.0,0
272,2.0,138.0,276.0,69.0,0.158,0.993,1.02,43.0,274.0,21.0,1.0,0
273,6.0,38.0,228.0,6.333,0.405,0.976,1.27,92.0,223.0,48.0,1.0,0
274,10.0,50.0,500.0,5.0,0.289,0.817,1.72,144.0,406.0,81.0,1.0,0
275,7.0,201.0,1407.0,28.714,0.432,0.795,3.15,607.0,1113.0,251.0,1.0,0
276,10.0,10.0,100.0,1.0,0.61,0.789,5.05,61.0,78.0,12.0,1.0,0
277,91.0,340.0,30940.0,3.736,0.302,0.663,8.92,9362.0,20422.0,992.0,5.0,0
278,12.0,197.0,2364.0,16.417,0.471,0.838,4.47,1112.0,1978.0,224.0,1.0,0
279,8.0,16.0,128.0,2.0,0.368,0.962,1.49,47.0,123.0,25.0,1.0,0
280,11.0,55.0,605.0,5.0,0.312,0.789,2.04,185.0,473.0,42.0,1.0,0
281,8.0,23.0,184.0,2.875,0.395,0.831,1.99,72.0,151.0,36.0,1.0,0
282,9.0,150.0,1350.0,16.667,0.324,0.718,2.54,437.0,971.0,183.0,1.0,0
283,42.0,68.0,2856.0,1.619,0.439,0.532,34.9,1230.0,1509.0,37.0,1.0,0
284,7.0,22.0,154.0,3.143,0.398,0.907,1.88,61.0,139.0,32.0,1.0,0
285,13.0,72.0,936.0,5.538,0.615,0.869,6.52,567.0,798.0,85.0,1.0,0
