,input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,class,real_identifier
53,58,68,98,96,46,98,37,66,65,31,39,2,2,24,44,56,8,0
54,92,81,31,79,98,43,80,2,2,13,47,58,94,98,12,77,8,0
55,36,90,18,53,41,11,86,2,98,45,81,87,37,98,2,68,0,0
56,24,98,11,70,2,37,24,18,98,20,90,39,52,35,59,2,4,0
57,52,98,7,84,73,44,93,2,9,20,80,58,98,90,2,88,8,0
58,44,98,22,82,2,49,41,40,98,39,100,68,85,33,85,2,4,0
59,2,68,39,75,75,92,98,98,96,76,98,50,92,24,89,2,1,0
60,10,77,30,40,15,5,12,30,60,45,95,75,50,95,5,85,8,0
61,5,50,35,70,80,90,95,95,85,70,70,55,65,30,60,5,1,0
62,95,95,65,95,25,70,5,45,5,10,45,5,70,20,30,35,6,0
63,25,90,5,85,20,70,95,70,55,95,50,80,40,35,45,5,4,0
64,5,85,45,95,80,85,55,65,95,40,95,20,60,5,5,5,3,0
65,95,95,60,80,20,60,5,30,30,5,80,10,55,25,5,20,6,0
66,95,80,55,90,5,95,5,60,35,50,80,35,50,5,5,15,5,0
67,25,70,50,95,65,65,35,40,10,5,5,15,45,10,95,5,2,0
68,75,90,25,95,35,85,90,75,95,55,90,15,40,5,5,25,9,0
69,15,95,10,60,5,20,30,5,70,20,95,50,90,80,50,85,0,0
70,25,81,47,95,55,68,35,45,10,12,5,15,52,5,95,10,2,0
71,15,85,39,50,45,3,22,5,2,52,8,85,49,98,95,95,5,0
72,78,98,60,70,20,42,3,10,70,3,95,25,30,30,50,2,6,0
73,85,99,70,82,30,58,5,20,55,2,95,18,42,35,32,15,6,0
74,18,85,65,98,98,90,65,70,60,45,78,22,49,10,2,2,3,0
75,10,75,45,95,60,72,35,50,5,20,2,12,50,18,95,2,2,0
76,2,40,10,2,65,8,90,35,98,85,58,98,25,60,15,20,0,0
77,95,80,60,95,2,80,28,68,98,80,88,50,60,25,40,2,9,0
78,28,95,78,95,40,98,12,60,55,55,98,25,45,2,2,20,5,0
79,58,95,48,95,18,68,2,35,10,10,80,2,95,20,15,25,6,0
80,2,95,45,98,72,81,50,55,65,30,98,10,50,2,1,1,3,0
81,1,99,60,97,99,73,86,40,69,4,41,1,21,18,99,28,7,0
82,55,68,70,99,66,59,37,22,1,6,21,29,65,20,99,1,2,0
83,33,98,20,66,1,35,35,24,85,29,99,60,92,34,90,1,4,0
84,99,97,25,99,7,67,79,42,69,1,1,8,33,52,82,92,8,0
85,76,96,43,67,99,29,64,1,37,34,83,76,74,99,1,71,8,0
86,1,99,36,93,46,54,45,14,36,1,5,28,52,35,99,36,7,0
87,22,76,41,99,84,93,66,62,99,42,94,12,46,1,1,14,3,0
88,57,55,97,84,95,99,78,63,51,28,1,1,11,4,99,6,1,0
89,52,78,1,91,18,57,81,26,56,1,25,33,79,67,99,99,8,0
90,10,85,45,95,75,70,30,50,20,10,10,5,60,10,90,5,3,0
91,5,90,35,80,95,85,20,90,5,70,75,60,50,20,15,2,8,0
92,2,88,50,60,55,95,40,70,85,65,95,25,65,5,35,10,7,0
93,20,75,42,90,60,80,45,40,15,20,5,2,55,8,95,8,3,0
94,3,82,38,95,45,92,35,55,30,25,2,3,50,12,85,4,2,0
95,35,95,10,75,5,50,35,25,75,40,95,70,80,30,70,5,5,0
96,12,70,55,85,90,95,85,75,65,55,35,45,25,15,10,3,2,0
97,15,80,50,60,80,30,25,5,5,35,50,55,95,90,12,95,7,0
98,8,75,25,65,70,45,55,5,8,20,5,60,30,95,95,95,4,0
99,75,85,20,95,10,65,5,35,40,5,90,20,95,55,80,80,1,0
100,25,81,47,90,60,80,10,45,95,35,78,15,50,30,5,10,6,0
101,70,92,25,55,85,65,35,60,10,25,40,5,95,45,15,20,9,0
102,15,70,55,35,50,10,5,10,20,30,60,70,90,95,40,85,7,0
103,5,60,45,70,75,90,20,95,25,65,85,80,85,35,90,5,8,0
104,20,85,70,95,55,75,40,55,90,45,85,25,60,10,5,5,4,0
105,10,80,5,35,30,15,70,10,90,20,80,70,55,95,20,65,1,0
106,5,95,45,95,70,85,50,40,55,5,30,30,55,40,95,35,6,0
107,20,70,5,80,40,95,95,90,75,70,65,55,50,15,35,5,6,0
108,95,95,65,95,50,70,40,50,70,35,70,10,40,5,5,10,4,0
109,30,85,95,95,35,85,5,55,35,45,85,30,55,10,5,5,5,0
110,12,91,10,84,55,60,75,22,40,19,33,8,45,10,100,15,3,0
111,95,88,65,100,30,82,60,44,92,78,74,28,40,5,10,2,6,0
112,33,64,49,100,68,75,55,33,25,11,5,10,52,20,100,5,5,0
113,5,80,35,90,95,70,85,40,60,6,15,12,20,30,85,25,8,0
114,85,95,70,78,40,65,35,55,20,50,10,35,5,20,5,1,0,0
115,40,98,45,80,5,50,50,50,95,70,85,60,65,25,35,2,3,0
116,10,50,15,60,45,75,95,90,98,85,80,50,60,30,55,3,4,0
117,20,70,30,95,50,68,40,30,10,5,2,6,55,8,90,10,6,0
118,8,85,20,98,60,90,70,75,55,60,45,30,60,12,95,8,2,0
119,70,99,68,65,20,60,50,90,90,80,95,40,55,5,2,4,7,0
120,70,92,94,85,81,95,55,60,93,68,95,20,50,5,5,10,9,0
121,30,95,45,60,95,90,30,95,25,50,5,5,70,15,35,60,8,0
122,80,95,35,70,10,45,5,25,55,5,95,15,70,50,10,55,6,0
123,45,95,25,70,5,50,20,30,85,45,95,50,70,20,55,5,4,0
124,5,70,15,95,65,95,95,90,80,70,55,50,35,25,45,5,7,0
125,5,65,40,90,60,95,50,65,35,30,5,5,45,5,95,10,1,0
126,5,70,50,80,95,95,80,85,75,55,60,35,50,10,60,5,1,0
127,15,80,5,65,25,95,80,95,95,85,70,50,55,10,50,5,7,0
128,5,75,35,95,50,65,35,40,15,10,5,10,55,10,95,5,2,0
129,60,95,30,75,5,50,5,25,40,5,95,10,85,30,30,35,6,0
130,10,85,25,95,60,80,55,35,45,5,30,40,55,50,95,50,7,0
131,95,90,65,95,50,75,85,90,80,65,60,40,35,25,5,5,9,0
132,40,95,15,60,15,15,60,5,95,20,90,60,45,80,5,60,0,0
133,65,95,40,75,10,45,5,25,65,20,95,40,90,25,85,5,4,0
134,95,95,55,85,20,60,5,30,10,5,65,5,45,25,5,15,6,0
135,10,85,5,50,35,30,40,5,10,20,5,65,40,90,95,95,5,0
136,5,70,35,95,85,85,85,45,70,5,50,5,45,40,95,50,7,0
137,15,95,5,75,5,50,60,45,95,65,80,50,75,25,70,5,4,0
138,95,95,50,90,15,60,5,30,15,5,75,5,70,35,15,25,6,0
139,95,85,70,95,40,75,60,50,90,25,80,5,40,5,5,5,5,0
140,42,89,90,100,60,90,5,75,50,63,100,42,84,12,24,3,5,0
141,95,70,65,100,5,88,42,55,85,88,92,37,65,7,2,1,9,0
142,3,78,35,100,80,90,47,72,70,47,98,18,60,2,15,8,3,0
143,2,65,25,100,59,85,42,45,12,17,15,3,58,8,98,14,2,0
144,53,85,88,100,83,87,83,60,90,33,58,8,2,3,98,4,1,0
145,37,80,60,100,98,92,78,65,92,39,82,11,37,4,2,20,3,0
146,48,80,14,72,2,26,41,3,87,22,98,63,70,98,37,81,0,0
147,5,35,10,28,45,2,90,20,98,61,75,98,25,98,3,64,0,0
148,58,90,18,70,3,26,40,2,88,18,98,62,78,98,32,95,0,0
149,30,85,68,100,98,88,83,62,92,45,95,20,56,2,5,5,3,0
150,5,70,55,95,75,92,66,50,68,15,12,5,5,2,95,5,1,0
151,95,95,60,80,25,60,5,30,30,5,85,10,85,30,10,40,6,0
152,15,95,5,85,10,55,70,60,95,80,75,65,50,35,40,5,4,0
153,75,85,35,60,80,35,70,5,5,15,45,40,95,70,65,95,8,0
154,5,75,35,95,80,95,70,60,40,40,10,15,50,5,95,5,2,0
155,35,80,50,55,50,20,5,5,5,35,15,70,55,90,95,95,5,0
156,95,95,60,85,20,55,40,10,90,5,90,45,25,55,5,20,6,0
157,35,75,60,85,95,95,75,75,50,65,25,40,5,25,5,5,1,0
158,15,70,35,40,20,5,5,5,15,40,25,70,50,90,95,95,5,0
159,80,95,30,95,5,65,5,20,50,5,95,20,95,60,85,95,0,0
160,15,78,5,72,50,40,60,10,20,5,30,55,28,90,95,95,5,0
161,22,60,15,30,40,5,80,25,95,60,70,95,35,95,5,70,0,0
162,3,65,30,80,90,95,95,95,70,70,50,45,40,30,25,5,1,0
163,8,85,5,95,35,85,35,50,10,30,5,10,55,5,95,5,2,0
164,50,95,40,55,5,25,65,20,95,40,70,85,70,45,70,5,4,0
165,5,75,30,95,60,80,60,35,55,5,30,30,50,35,95,40,7,0
166,10,70,10,45,30,20,25,5,15,35,5,60,30,85,95,95,5,0
167,20,65,95,70,90,95,5,90,20,70,95,60,85,35,75,5,9,0
168,25,95,10,65,5,20,25,5,60,15,90,40,95,80,60,90,0,0
169,10,80,40,95,70,75,50,30,25,5,5,35,55,40,95,50,7,0
170,70,97,24,99,32,74,85,92,86,67,98,24,59,1,1,11,9,0
171,66,89,83,99,98,76,77,55,87,35,85,11,43,1,1,5,3,0
172,98,99,31,94,1,59,46,29,47,1,6,20,41,58,88,93,8,0
173,99,99,53,86,20,61,1,32,3,4,51,1,55,23,2,18,6,0
174,28,81,4,48,14,5,66,1,99,35,95,77,50,99,1,83,0,0
175,24,89,1,48,15,1,75,13,99,58,77,99,21,78,3,32,0,0
176,1,86,42,99,93,95,99,60,83,22,59,1,39,30,86,35,7,0
177,1,95,34,99,51,63,37,20,15,1,3,42,45,51,99,54,7,0
178,1,90,40,99,76,71,81,38,78,1,30,13,39,28,99,28,7,0
179,99,99,51,97,18,68,1,35,11,1,57,9,53,42,17,30,6,0
180,22,95,35,68,90,56,45,23,10,5,7,50,60,85,90,99,5,0
181,50,88,15,65,40,35,20,10,55,15,95,30,75,70,40,85,1,0
182,5,90,50,100,70,80,60,50,40,30,25,10,20,30,50,45,6,0
183,30,85,25,75,60,45,35,15,20,10,50,40,55,60,75,80,4,0
184,0,100,70,95,85,90,75,65,55,45,35,15,25,5,10,20,8,0
185,60,70,30,50,40,60,50,40,30,20,10,5,15,25,35,45,2,0
186,10,80,40,90,100,85,70,55,45,35,25,15,5,20,30,40,9,0
187,70,60,20,40,30,50,40,30,20,10,5,25,35,45,55,65,0,0
188,15,75,45,85,95,70,55,35,25,15,5,10,20,30,40,50,7,0
189,55,65,35,45,25,35,45,55,65,75,85,95,100,90,80,70,3,0
190,20,60,50,80,90,95,70,65,50,40,30,10,5,10,20,5,1,0
191,40,90,10,85,60,50,80,5,15,20,85,50,95,90,15,70,8,0
192,30,75,45,95,70,75,55,40,20,15,5,5,45,10,95,10,2,0
193,25,95,5,70,10,40,50,30,95,35,60,55,55,35,45,5,4,0
194,5,80,30,95,65,85,55,60,25,25,20,5,60,5,95,20,2,0
195,35,70,70,95,75,80,60,30,40,5,10,10,45,5,95,10,1,0
196,20,85,20,95,75,85,45,60,55,45,95,30,75,5,5,5,3,0
197,10,30,65,60,35,95,5,35,40,5,95,45,90,95,25,80,0,0
198,15,95,5,85,10,60,30,55,70,55,95,50,85,30,85,5,4,0
199,50,75,90,75,70,95,60,75,95,50,80,20,40,10,5,5,9,0
200,15,70,20,60,50,75,85,95,80,70,65,55,60,30,90,5,1,0
201,68,95,15,70,10,45,95,50,90,80,70,90,65,40,60,5,4,0
202,50,95,5,40,30,10,95,55,35,75,20,50,60,55,10,10,0,0
203,5,60,30,85,80,95,95,85,85,65,75,40,70,25,80,5,1,0
204,60,95,25,75,5,50,5,25,40,5,95,15,65,30,10,20,6,0
205,80,85,35,95,20,60,70,75,95,80,85,40,55,15,5,5,9,0
206,95,95,65,90,30,65,10,30,5,5,40,5,45,20,15,15,6,0
207,85,95,50,70,25,45,30,15,65,5,95,20,50,35,5,30,6,0
208,20,65,25,95,50,70,40,35,5,10,20,15,55,5,95,5,2,0
209,35,85,5,65,70,50,65,15,5,5,10,50,25,90,95,95,5,0
210,50,90,80,95,70,65,40,30,5,5,5,25,50,20,98,10,2,0
211,5,80,45,98,65,78,48,40,45,5,25,20,48,35,98,40,7,0
212,2,98,20,90,10,58,52,35,95,50,85,70,72,40,60,2,4,0
213,85,98,35,80,15,60,2,40,75,30,98,40,65,25,55,5,4,0
214,55,88,85,98,98,88,80,65,75,42,70,18,40,5,2,5,3,0
215,5,95,40,98,72,70,65,35,55,5,30,35,50,50,98,50,7,0
216,2,98,48,98,70,85,78,65,85,50,98,28,90,15,55,2,3,0
217,20,85,60,98,95,75,70,48,65,40,98,18,50,2,5,15,3,0
218,98,98,55,85,25,62,2,32,20,2,65,2,55,30,5,30,6,0
219,90,95,40,98,45,60,98,85,90,78,95,28,50,2,5,20,9,0
220,85,95,60,88,25,70,0,30,25,5,90,5,95,20,35,30,6,0
221,98,100,50,95,15,85,0,60,20,50,60,45,40,10,5,5,5,0
222,5,65,35,45,95,75,55,95,15,70,85,60,75,25,10,5,9,0
223,75,95,25,85,5,50,0,15,50,5,85,30,95,75,70,95,0,0
224,20,95,55,95,70,60,60,20,30,5,5,25,55,30,95,30,7,0
225,40,70,50,95,85,80,75,40,35,20,5,10,45,10,95,5,2,0
226,25,95,5,50,20,15,95,10,90,60,65,95,55,55,55,5,4,0
227,5,90,45,95,90,85,55,60,55,35,95,15,55,5,5,5,3,0
228,95,95,75,85,35,60,0,20,30,5,90,10,80,30,15,15,6,0
229,10,90,5,90,50,95,90,90,95,70,75,50,50,20,25,5,7,0
230,5,78,27,58,64,77,98,98,97,82,82,54,75,28,65,3,1,0
231,62,94,19,98,23,57,39,23,14,2,2,33,50,67,97,91,8,0
232,49,96,13,72,2,29,28,2,73,8,98,44,87,87,47,98,0,0
233,66,81,84,98,98,74,70,55,92,38,76,13,42,5,2,2,3,0
234,53,98,15,70,2,27,32,2,77,18,98,58,72,98,29,81,0,0
235,20,80,8,48,54,37,34,2,2,7,13,65,51,97,98,98,5,0
236,20,57,43,98,78,79,52,37,17,2,2,16,51,16,98,3,2,0
237,98,52,76,98,32,90,2,50,16,3,64,2,97,42,82,77,0,0
238,34,66,51,98,93,90,57,49,15,13,2,25,48,2,98,7,2,0
239,2,80,37,98,70,79,70,41,55,2,28,25,63,42,98,50,7,0
240,50,98,60,100,30,80,12,50,10,30,70,5,90,15,25,20,6,0
241,90,85,50,95,25,60,20,40,60,45,80,10,50,5,5,15,5,0
242,30,75,70,100,80,85,50,60,90,40,90,20,40,0,0,10,3,0
243,95,65,40,90,35,55,80,20,5,10,35,50,85,85,15,95,8,0
244,100,92,55,98,10,65,5,30,20,3,95,2,89,25,28,18,6,0
245,38,80,65,100,95,88,70,65,78,50,75,15,35,0,0,17,3,0
246,98,78,68,60,20,70,60,95,95,85,92,35,55,8,0,2,9,0
247,40,88,90,100,85,78,45,48,88,42,98,18,55,0,0,3,3,0
248,92,100,62,85,18,60,2,38,12,12,65,5,70,18,22,20,6,0
249,45,95,72,100,88,80,55,58,80,47,85,10,45,0,0,12,3,0
250,3,65,19,95,30,78,28,33,8,6,15,5,53,3,96,7,1,0
251,8,70,48,98,84,80,52,47,12,15,3,15,60,2,98,12,2,0
252,2,78,50,88,97,97,74,79,58,63,42,38,30,18,8,3,1,0
253,6,72,10,18,46,2,90,20,98,67,65,98,23,95,3,55,0,0
254,80,98,35,88,68,72,85,84,98,54,90,20,47,4,3,2,9,0
255,16,95,3,78,2,39,29,3,84,23,98,60,67,97,8,98,0,0
256,76,98,18,90,3,56,8,25,51,2,95,25,97,57,91,93,0,0
257,9,98,2,76,7,40,60,46,98,80,89,79,85,42,84,3,4,0
258,51,95,5,73,45,36,25,2,3,31,57,61,98,98,11,96,8,0
259,57,80,55,98,98,84,79,61,36,41,76,26,52,5,3,2,3,0
260,45,85,10,65,5,20,45,5,90,28,95,72,60,95,20,60,0,0
261,80,78,30,95,40,60,90,35,70,5,10,20,25,55,95,85,8,0
262,60,88,20,75,10,30,35,10,85,25,95,65,70,95,35,70,0,0
263,65,95,35,80,5,50,50,40,95,45,70,75,60,40,65,5,4,0
264,35,60,80,90,80,95,75,55,55,25,5,5,20,5,95,10,1,0
265,10,95,15,85,10,60,50,50,95,70,70,50,45,30,25,5,4,0
266,70,85,20,95,30,65,80,30,60,10,5,25,50,60,95,85,8,0
267,95,95,65,85,35,60,10,35,5,10,45,5,50,25,10,30,6,0
268,15,55,5,20,45,5,85,25,95,70,85,95,35,80,5,50,0,0
269,5,65,20,95,50,75,40,40,10,5,10,5,55,5,95,5,2,0
270,45,92,17,85,3,75,45,28,90,15,69,22,83,36,77,12,2,0
271,10,66,31,78,48,88,41,50,23,20,29,9,60,6,95,3,2,0
272,5,81,40,99,82,90,48,62,98,52,93,26,58,2,2,1,3,0
273,70,85,5,95,4,66,94,38,95,3,15,18,50,55,76,95,8,0
274,3,60,35,70,70,90,98,95,83,78,55,53,35,28,30,2,1,0
275,15,76,2,35,32,5,64,3,95,25,92,78,60,99,42,70,0,0
276,98,60,49,65,3,73,25,98,68,95,70,62,75,30,85,2,9,0
277,35,98,15,75,2,32,35,2,80,8,98,45,78,82,25,85,0,0
278,2,94,45,98,65,75,50,35,46,2,22,29,52,42,98,48,7,0
279,40,98,2,70,8,42,88,43,98,50,52,70,50,30,65,3,4,0
280,37,92,19,78,3,47,17,6,65,2,98,33,89,75,49,100,0,0
281,52,100,10,65,0,29,30,0,79,15,100,53,85,94,46,89,0,0
282,21,100,2,72,10,53,58,50,97,60,85,59,79,31,82,4,4,0
283,67,51,98,82,60,100,3,81,26,70,90,60,90,24,63,1,9,0
284,48,100,13,75,5,24,36,2,73,18,100,58,86,95,45,93,0,0
285,18,100,4,79,12,49,64,44,100,64,80,55,80,30,88,6,4,0
286,98,100,60,86,25,65,2,28,10,3,58,12,61,37,10,45,6,0
287,2,97,47,100,70,74,39,36,19,1,7,43,56,41,100,43,7,0
288,61,95,15,93,0,52,13,19,57,3,92,27,98,66,84,98,0,0
289,31,80,20,83,2,38,23,7,67,4,100,30,93,73,55,98,0,0
290,72,65,98,95,50,85,40,55,30,5,10,15,35,45,85,60,8,0
291,48,90,80,98,78,65,50,40,95,30,90,12,50,5,5,5,3,0
292,20,70,70,95,98,80,65,35,25,10,5,10,30,40,80,35,7,0
293,10,60,5,35,30,5,75,10,95,50,75,90,40,95,5,70,0,0
294,25,95,5,70,55,45,50,5,15,5,25,45,30,90,95,95,5,0
295,5,70,40,80,95,95,85,75,60,55,40,35,25,15,10,5,1,0
296,95,75,50,95,20,70,80,65,90,75,85,30,60,5,5,5,9,0
297,95,95,75,85,40,60,25,45,10,15,30,5,55,15,5,20,6,0
298,90,95,35,85,10,50,5,20,55,5,95,25,35,30,20,5,6,0
299,5,90,60,95,95,75,85,45,75,25,65,5,20,15,80,25,7,0
300,50,95,20,90,60,40,65,5,3,10,15,50,35,90,95,95,5,0
301,70,98,10,95,55,55,90,10,5,5,12,40,95,80,60,97,8,0
302,5,90,45,98,95,90,95,55,75,20,55,5,40,40,85,35,7,0
303,80,88,95,80,70,95,75,85,95,50,85,10,45,5,5,25,9,0
304,10,98,55,95,70,80,70,60,90,40,95,20,65,10,10,5,3,0
305,85,85,50,95,40,75,85,90,95,85,65,45,40,15,5,10,9,0
306,25,98,15,85,5,55,5,35,60,25,95,40,90,30,85,5,4,0
307,95,98,65,75,35,60,10,25,15,5,50,5,45,25,5,25,6,0
308,45,98,35,60,5,35,40,30,95,45,85,75,85,35,95,5,4,0
309,60,85,30,65,55,30,25,5,10,15,5,55,45,85,95,95,5,0
310,33,97,22,88,15,70,5,46,45,29,95,38,79,19,84,2,4,0
311,83,87,37,98,30,69,97,31,94,3,2,16,26,56,95,88,8,0
312,5,67,21,89,98,98,83,71,64,39,42,2,28,27,92,45,7,0
313,7,69,28,98,75,96,74,62,39,36,3,9,44,6,97,3,2,0
314,48,98,12,73,37,67,97,68,73,75,50,50,22,29,3,2,4,0
315,37,92,97,98,29,82,13,56,75,63,84,26,40,2,2,8,5,0
316,24,98,21,67,29,97,48,49,60,10,3,2,31,11,97,16,1,0
317,4,80,34,98,45,54,47,7,32,2,35,26,63,41,97,59,7,0
318,36,91,44,98,44,58,29,21,5,2,2,36,47,53,97,60,7,0
319,53,83,93,98,97,94,44,92,10,74,54,49,45,2,2,14,5,0
320,45,60,70,95,90,80,50,60,30,55,85,20,60,5,5,10,8,0
321,70,75,80,90,10,70,40,40,60,5,5,10,30,50,95,70,8,0
322,50,85,75,95,95,75,65,50,95,40,90,15,45,5,5,5,3,0
323,40,80,80,95,90,70,60,45,60,50,95,20,40,5,5,20,3,0
324,5,90,10,95,50,95,35,65,20,30,20,5,65,10,95,20,2,0
325,50,95,25,75,5,55,35,35,95,40,90,60,90,35,90,5,4,0
326,5,70,45,80,85,95,95,90,75,70,50,45,35,25,20,5,1,0
327,5,65,45,70,75,90,95,95,90,75,85,50,80,20,90,5,1,0
328,85,85,95,95,40,80,15,60,70,60,75,30,35,5,5,15,5,0
329,60,85,10,80,55,70,95,95,10,85,80,60,50,30,5,5,9,0
330,63,95,29,54,97,68,72,98,60,67,98,60,64,2,1,10,9,0
331,98,90,98,97,85,81,67,68,44,52,30,31,13,15,1,1,1,0
332,55,95,2,70,68,40,93,2,31,13,73,53,98,96,17,98,8,0
333,11,98,2,79,2,60,12,37,60,35,77,46,79,19,98,2,4,0
334,14,98,10,81,2,54,42,42,86,57,98,59,73,27,58,2,4,0
335,21,98,2,63,47,38,35,2,3,12,6,65,43,92,98,95,5,0
336,78,90,41,98,11,72,2,33,30,2,76,13,98,44,88,83,0,0
337,98,92,57,98,23,82,2,57,43,64,69,42,53,13,6,2,5,0
338,79,98,24,82,2,43,20,2,80,20,98,62,59,94,15,67,0,0
339,59,98,31,92,10,61,5,24,46,2,98,17,55,30,2,21,6,0
340,45,92,50,85,92,15,60,3,5,18,60,56,90,95,30,89,8,0
341,98,80,20,95,10,68,85,38,70,3,5,25,45,60,95,98,8,0
342,72,89,85,75,70,98,75,76,97,48,90,15,40,2,3,22,9,0
343,50,98,12,84,3,50,2,18,42,2,98,8,62,20,14,10,6,0
344,2,60,35,76,58,98,70,83,74,62,76,40,80,25,98,2,1,0
345,30,98,2,68,9,22,54,2,98,20,92,66,53,96,17,75,0,0
346,10,68,28,98,40,87,35,45,30,11,2,2,51,7,98,5,1,0
347,67,70,22,42,19,2,67,6,98,45,88,90,40,98,2,72,0,0
348,77,98,44,60,2,34,35,40,92,42,98,80,70,40,54,2,4,0
349,22,84,60,98,86,78,48,54,70,34,98,16,51,2,2,4,3,0
350,21,95,5,61,18,24,60,2,98,33,90,70,50,98,3,88,0,0
351,30,58,46,98,40,88,40,47,45,5,2,3,48,4,97,4,1,0
352,2,98,53,96,98,78,96,49,78,24,70,2,89,30,69,41,7,0
353,14,78,50,98,81,71,20,57,69,47,98,17,38,2,2,15,3,0
354,77,65,90,98,38,93,66,72,98,72,92,31,54,2,2,2,9,0
355,48,94,78,98,79,74,75,62,98,38,73,14,34,2,2,4,3,0
356,27,87,63,53,98,19,18,2,2,32,53,60,92,93,20,98,8,0
357,71,67,98,98,2,93,37,56,83,15,5,2,11,42,87,71,8,0
358,32,92,24,61,60,27,49,2,66,37,98,67,81,98,2,84,8,0
359,98,98,56,87,32,53,23,20,56,2,77,34,37,46,2,25,6,0
360,95,98,65,92,30,66,2,36,1,1,45,3,47,34,7,25,6,0
361,58,98,43,55,1,25,29,16,98,16,95,59,78,45,80,2,4,0
362,14,78,30,96,47,50,30,2,2,16,52,58,98,98,32,94,8,0
363,72,98,45,82,2,68,25,55,82,44,98,46,58,25,35,2,4,0
364,2,89,53,98,82,84,53,45,27,2,3,18,37,42,98,43,7,0
